dataset,node_a,node_b,distance_km,level_rho,native_change_rho
UCI-Beijing,0,1,29.741920005817374,0.8713919267041913,0.13632530301645615
UCI-Beijing,0,2,37.61128942301057,0.8597826317267205,0.09887511477964345
UCI-Beijing,0,3,6.134933060020311,0.9602196191439238,0.501034912279624
UCI-Beijing,0,4,7.692285005635852,0.9629339526689278,0.4628746566738243
UCI-Beijing,0,5,19.668664315824017,0.9200449391443308,0.2733108280508021
UCI-Beijing,0,6,43.19274946935321,0.8752493177374686,0.15301412150575897
UCI-Beijing,0,7,7.402176971998921,0.9602048076519412,0.46622688598758716
UCI-Beijing,0,8,27.242507843277835,0.9081497349333812,0.2629663441707758
UCI-Beijing,0,9,10.708709826240524,0.9499173221792152,0.3798054900511181
UCI-Beijing,0,10,9.388430734295131,0.9506424953303059,0.39108249582344945
UCI-Beijing,0,11,12.184221130089547,0.9377339864590525,0.38079696173421074
UCI-Beijing,1,2,8.382685003130776,0.9255099258225,0.2779635536740652
UCI-Beijing,1,3,35.75926197943262,0.8504437036054466,0.11354393155852624
UCI-Beijing,1,4,33.34014424171939,0.8659551166985617,0.1258505432402224
UCI-Beijing,1,5,33.91870474697114,0.8745904870164856,0.16083588027367537
UCI-Beijing,1,6,35.951144078489634,0.8663050987033938,0.1988195227438513
UCI-Beijing,1,7,36.819235991130206,0.8509949709261638,0.11001011841173908
UCI-Beijing,1,8,37.47129781812481,0.8391170762313438,0.12307214858601634
UCI-Beijing,1,9,39.76951647697253,0.8428642788544192,0.09994914349213566
UCI-Beijing,1,10,26.03027527136715,0.8751425023895065,0.1543779802978044
UCI-Beijing,1,11,39.09937694900406,0.8356198534706478,0.10828285734477117
UCI-Beijing,2,3,43.702446048930824,0.8385705479233132,0.0845024802190757
UCI-Beijing,2,4,41.61306128138321,0.853502391244659,0.09642185103318252
UCI-Beijing,2,5,42.14305620626383,0.8590043914766397,0.12999394671580392
UCI-Beijing,2,6,34.826048852370555,0.8626331892233188,0.1731175416736105
UCI-Beijing,2,7,44.47708431707761,0.8362315266606156,0.0743564955014489
