dataset,lag_h,edge_count,median_rho,mean_rho,best_lag_zero_edge_fraction
UCI-Beijing,0,48,0.3991428389760723,0.36050439596435874,0.9791666666666666
UCI-Beijing,1,48,0.28277421683392645,0.25754360752771066,0.9791666666666666
UCI-Beijing,6,48,-0.024157444238140386,-0.0212040867192711,0.9791666666666666
UCI-Beijing,12,48,-0.02596695240291784,-0.022599367891965705,0.9791666666666666
KDD-Beijing,0,210,0.28030920047576335,0.2984990120675613,0.9571428571428572
KDD-Beijing,1,210,0.2250061171065006,0.2152795645596058,0.9571428571428572
KDD-Beijing,6,210,-0.015996839034616673,-0.014461678221206354,0.9571428571428572
KDD-Beijing,12,210,-0.013138800600800773,-0.011500757221627779,0.9571428571428572
KDD-London,0,395,0.1816547331741845,0.19397763979362376,0.9493670886075949
KDD-London,1,395,0.12339872709940339,0.12740646779860423,0.9493670886075949
KDD-London,6,395,-0.029048518213652487,-0.029345692349405705,0.9493670886075949
KDD-London,12,395,0.007001785516559313,0.005343768548194264,0.9493670886075949
KnowAir,0,400,0.24365237463291686,0.24917434598486615,0.95
KnowAir,3,400,0.07468235037056416,0.0742444296129771,0.95
KnowAir,6,400,-0.06522389056956251,-0.07325801651357039,0.95
KnowAir,12,400,0.030782678288046532,0.03738371688341838,0.95
AirQualityBench,0,400,0.13334747729477736,0.15660336857846138,0.96
AirQualityBench,1,400,0.06258666603266147,0.07319059642123282,0.96
AirQualityBench,6,400,-0.024162784862930987,-0.024170539392482572,0.96
AirQualityBench,12,400,-0.0038440510234947958,-0.0025072818273331066,0.96
