dataset,event_rate_test,local_event_coherence,local_event_expected_if_time_independent,local_event_lift_over_independent,active_node_fraction_median,active_node_fraction_p90,spike_duration_h_median,spike_duration_h_p90,coverage_mean,missing_gap_h_p90,missing_gap_h_max,timestamps_10pct_nodes_missing_rate,seasonal_amplitude_over_iqr,diurnal_amplitude_over_iqr,weekend_minus_weekday_over_iqr,node_median_spread_over_global_iqr,native_change_up_p99_over_down_p99,test_minus_train_median_over_train_iqr,current_over_p90_bin,n,onset_24h_rate,limitation
UCI-Beijing,0.12927535294403028,0.8494912981987,0.13452044580286673,6.314960479736328,0.6666666666666666,1.0,5.0,25.100000000000023,0.97923083504449,4.0,343.0,0.03348163358430299,0.3186813294887543,0.1895604431629181,0.021978022530674934,0.07083912193775177,0.8095238208770752,-0.04395604506134987,,,,
UCI-Beijing,,,,,,,,,,,,,,,,,,,0.00-0.25,182097.0,0.047820667007144546,
UCI-Beijing,,,,,,,,,,,,,,,,,,,0.25-0.50,99031.0,0.15933394593612102,
UCI-Beijing,,,,,,,,,,,,,,,,,,,0.50-0.75,57531.0,0.35712919990961395,
UCI-Beijing,,,,,,,,,,,,,,,,,,,0.75-1.00,31508.0,0.620096483432779,
KDD-Beijing,0.14149990648962035,0.8224755525588989,0.13543793110337196,6.072711944580078,0.35294117647058826,1.0,4.0,28.0,0.8681042393099652,6.0,3061.0,0.27023307028812626,0.5692307949066162,0.14615385234355927,0.01923076994717121,0.11266303062438965,0.7799999713897705,0.06451612710952759,,,,
KDD-Beijing,,,,,,,,,,,,,,,,,,,0.00-0.25,147234.0,0.04613064917070785,
KDD-Beijing,,,,,,,,,,,,,,,,,,,0.25-0.50,81384.0,0.13623070873881843,
KDD-Beijing,,,,,,,,,,,,,,,,,,,0.50-0.75,44738.0,0.3505073986320354,
KDD-Beijing,,,,,,,,,,,,,,,,,,,0.75-1.00,23573.0,0.6645314554787256,
KDD-London,0.10620838097800497,0.7201562523841858,0.08985366208477205,8.014768600463867,0.16666666666666666,1.0,2.0,19.0,0.8050862332112332,58.5,8106.0,0.8539377289377289,0.26546400785446167,0.3144329786300659,-0.010309318080544472,0.21414858102798462,0.9622640013694763,0.05263157933950424,,,,
KDD-London,,,,,,,,,,,,,,,,,,,0.00-0.25,51303.0,0.0813402724986843,
KDD-London,,,,,,,,,,,,,,,,,,,0.25-0.50,82765.0,0.1586056908113333,
KDD-London,,,,,,,,,,,,,,,,,,,0.50-0.75,38114.0,0.34989767539486805,
KDD-London,,,,,,,,,,,,,,,,,,,0.75-1.00,16913.0,0.6346597292023887,
KnowAir,0.04113888751177433,0.45351359248161316,0.042997277808890795,10.547494888305664,0.021739130434782608,0.266304347826087,6.0,27.0,1.0,0.0,0.0,0.0,1.0357142686843872,0.261904776096344,0.011904762126505375,0.22605718672275543,0.875,-0.25,,,,
KnowAir,,,,,,,,,,,,,,,,,,,0.00-0.25,582325.0,0.027321512900871505,
KnowAir,,,,,,,,,,,,,,,,,,,0.25-0.50,771783.0,0.08096576369264417,
KnowAir,,,,,,,,,,,,,,,,,,,0.50-0.75,400779.0,0.25785532675115214,
KnowAir,,,,,,,,,,,,,,,,,,,0.75-1.00,189073.0,0.5527812009118171,
AirQualityBench,0.07764023164829414,0.4590599834918976,0.08380454544414856,5.477745532989502,0.05241935483870968,0.18863980512212786,2.0,10.0,0.773074297188755,13.0,4272.0,0.24650876232201532,0.35327863693237305,0.16885240375995636,-0.008196752518415451,0.7682119607925415,1.010416865348816,-0.10769227892160416,,,,
AirQualityBench,,,,,,,,,,,,,,,,,,,0.00-0.25,2065876.0,0.1549696109543845,
AirQualityBench,,,,,,,,,,,,,,,,,,,0.25-0.50,3163701.0,0.23080847399928123,
AirQualityBench,,,,,,,,,,,,,,,,,,,0.50-0.75,1695919.0,0.3896660158887305,
AirQualityBench,,,,,,,,,,,,,,,,,,,0.75-1.00,747216.0,0.6255045395173551,
AirFormer-tiny,,,,,,,,,1.0,0.0,0.0,0.0,,,,0.49435447093979346,,0.14736842105263157,,,,"Only 20 windows per split; event, season and episode statistics are invalid."
