dataset,horizon_h,stratum,n_timestamps,persistence_rho,current_level_vs_future_change_rho,spatial_gap_rho,spatial_gap_partial_current_rho,own_recent_trend_rho,neighbour_recent_trend_rho
UCI-Beijing,6,split:train,24544,0.7596288070790513,-0.2073297444614684,0.2098237335503528,0.17871601764171208,0.04108277181864325,0.1540960328661158
UCI-Beijing,6,split:val,5260,0.7731291953222423,-0.19252193305953647,0.2204823031767741,0.20272229997226024,0.038063734453072824,0.15321847099764002
UCI-Beijing,6,split:test,5254,0.7767658249809546,-0.1899309801491334,0.22594621733543072,0.21077431654290155,0.0699494987652244,0.17173967680779736
UCI-Beijing,6,season:winter,8658,0.7682671985491717,-0.1992885144418933,0.20810923393100053,0.18951452848307473,0.08951980873063221,0.1872191478068856
UCI-Beijing,6,season:spring,8832,0.7442257020310021,-0.20241030118549708,0.22132878251633603,0.1904539112450031,0.02031588247646177,0.14191099486676037
UCI-Beijing,6,season:summer,8832,0.7439875358007435,-0.249018650334728,0.21844114530683956,0.17450755369970572,-0.003125670255767686,0.12481274121565081
UCI-Beijing,6,season:autumn,8736,0.7981188115536254,-0.17783050971778322,0.21239195320592905,0.19788003297168513,0.06543016954656988,0.1671895151610622
UCI-Beijing,24,split:train,24544,0.34928481674928347,-0.4083275865747933,0.12667432928316466,0.06589985706757905,-0.0439937748512079,0.01155575075816349
UCI-Beijing,24,split:val,5260,0.3991605207443183,-0.38704921411281024,0.12402402535236401,0.08583723928424504,-0.049207858249927156,0.012978949133326964
UCI-Beijing,24,split:test,5236,0.3613904183351788,-0.3822601891021467,0.13844727954940925,0.10590345931480445,-0.015212141410500398,0.04101858560561009
UCI-Beijing,24,season:winter,8640,0.3404321159028759,-0.3732764975963431,0.1371497720208211,0.0992964045710279,-0.026126708234370362,0.03067459255038178
UCI-Beijing,24,season:spring,8832,0.32015911051297297,-0.44388908358848256,0.12929575950721794,0.05033422753239036,-0.06372712292486392,-0.010405600161956994
UCI-Beijing,24,season:summer,8832,0.4213231678029701,-0.4487826861168904,0.14776064789899773,0.06017628622400497,-0.0868271967270944,-0.02471635477860746
UCI-Beijing,24,season:autumn,8736,0.38819775322547023,-0.3529976615225936,0.11002714115600132,0.07904998551541434,0.009036750267754074,0.06737679170170921
KDD-Beijing,6,split:train,7628,0.7535875964414424,-0.21541687524868766,0.2479674903482437,0.21044380501676788,0.004578252624350247,0.1455856770800678
KDD-Beijing,6,split:val,1635,0.7257730365079846,-0.20276954951912937,0.2382104119322527,0.1968481282681284,0.04789539720038873,0.20711145121821886
KDD-Beijing,6,split:test,1629,0.7824911683974487,-0.1356112153291555,0.24590825284731818,0.22563151028349057,0.06058846635576555,0.2074000534833609
KDD-Beijing,6,season:winter,3562,0.7358275565797682,-0.18993253795110748,0.24180975899739393,0.20558871273001805,0.05582504505191608,0.19803030910886343
KDD-Beijing,6,season:spring,2938,0.7745810070559656,-0.18729313088461821,0.2448484187624127,0.21178003420520153,0.011300181652712423,0.1633966178459056
KDD-Beijing,6,season:summer,2208,0.6889126470451249,-0.2839019294708863,0.2696588620577177,0.20164723759337302,-0.07138701357347907,0.06839590560796373
KDD-Beijing,6,season:autumn,2184,0.7775243839475245,-0.203413871244966,0.2415798743242798,0.21410144112092028,0.03829077565758911,0.18477632877844039
KDD-Beijing,24,split:train,7628,0.35791344941595493,-0.413636610341797,0.1462177891774143,0.06221151172887725,-0.059856792814406236,0.008898689701226795
KDD-Beijing,24,split:val,1635,0.19947819344015888,-0.39738698039801557,0.14763754298960804,0.05160073279866179,-0.03890010325458342,0.02578264122778054
KDD-Beijing,24,split:test,1611,0.39809602201459776,-0.34351138977765994,0.12168584392347456,0.05756124420237821,0.0011137201866806045,0.07067172845123165
KDD-Beijing,24,season:winter,3562,0.29632187606507104,-0.3913645023487088,0.14403755628072124,0.05409955446144163,-0.043212741554143494,0.018529785806669617
KDD-Beijing,24,season:spring,2920,0.42946480852570745,-0.37856648071284626,0.14027713006713804,0.060668001438140606,-0.032762341714653045,0.03684759591412754
KDD-Beijing,24,season:summer,2208,0.36792680237326636,-0.4285852020879316,0.2119883005188811,0.09663472396716455,-0.11771072531662406,-0.03324528881217553
KDD-Beijing,24,season:autumn,2184,0.2688966660345344,-0.4423613778930277,0.10202346316605965,0.030596641226970523,-0.016688212069545693,0.055830386633080216
KDD-London,6,split:train,7643,0.6610632491677293,-0.34607134626941505,0.2814390956611321,0.1389114034934017,-0.1478955819719879,0.06820605707352806
KDD-London,6,split:val,1639,0.6174013560446434,-0.3892394761520781,0.2754471548579917,0.11355288972058626,-0.13837870282043785,0.11852628757806526
KDD-London,6,split:test,1632,0.6609642315363958,-0.33907431497214036,0.27421796556407235,0.13952460019188134,-0.1295174507606145,0.06694527517193855
KDD-London,6,season:winter,3576,0.7287594814838748,-0.31895894046207013,0.2663775017797647,0.1700282012038261,-0.11892534287701514,0.08262731072032584
KDD-London,6,season:spring,2946,0.621405425721955,-0.34525886872975514,0.2818647079263259,0.1365698763593812,-0.13491647466773432,0.07022914087500275
KDD-London,6,season:summer,2208,0.610873647965822,-0.3814579307939612,0.3218053013314464,0.10377106481728408,-0.2127951682240382,0.06659026613927575
KDD-London,6,season:autumn,2184,0.5871778183252804,-0.4123136775689758,0.26606834041868654,0.06458845741909083,-0.14360041400343804,0.07574598601668672
KDD-London,24,split:train,7643,0.4781928916324888,-0.4225262892392775,0.21898247578480226,0.019368478983250694,-0.1554756591846065,-0.011947174835311875
KDD-London,24,split:val,1639,0.37364318702088706,-0.5425662027872761,0.2234594440633183,-0.04271825296960682,-0.1764865315607466,-0.050120035103537706
KDD-London,24,split:test,1614,0.41553879428249646,-0.460516993653269,0.2109255250439199,-0.00372032006611362,-0.12912098650403422,0.0018788437497257045
KDD-London,24,season:winter,3576,0.525331004242835,-0.4377368177250027,0.20470481532443358,0.05363206733300183,-0.13632043912932573,-0.016705297790292045
