dataset,horizon_h,persistence_rho,persistence_mae_over_train_iqr,current_level_vs_future_change_rho,own_recent_trend_rho_median_node,neighbour_recent_trend_rho_median_node,spatial_gap_rho_median_node,spatial_gap_partial_current_rho_median_node,cross_node_mean_component_share
UCI-Beijing,1,0.9640247526589407,0.06382978723404255,-0.04729822409438317,0.21025699778107865,0.36873714326428875,0.22846336252188681,0.2256271267001948,0.36278843879699707
UCI-Beijing,6,0.7660988239933564,0.20212765957446807,-0.19980108054494192,0.04647024731310659,0.15657140900945693,0.21166802404001353,0.1812132419892007,0.6702691316604614
UCI-Beijing,24,0.36042859007991074,0.42857142857142855,-0.39871120843397506,-0.042451292534394114,0.009319786628716855,0.11416038374983359,0.07442117712628568,0.8467917442321777
KDD-Beijing,1,0.958925922535302,0.078125,-0.05877748154952975,0.14274680117644742,0.3154886271991213,0.25555947110955624,0.2447381467598441,0.2520202696323395
KDD-Beijing,6,0.7589869257207413,0.21311475409836064,-0.1951241978194497,0.014734041781503603,0.1633156983642908,0.24585269006564203,0.21896777039668677,0.5576176643371582
KDD-Beijing,24,0.35012863966795366,0.47540983606557374,-0.3918098618790873,-0.04591192825148653,0.018054015479157953,0.16885818880660644,0.08212917350378207,0.7623878717422485
KDD-London,1,0.8826109401633123,0.2178217756340353,-0.19781193422758053,-0.11985071615384787,0.23957259841227802,0.3845951720387595,0.3333575442892682,0.1977291703224182
KDD-London,6,0.6559733214727843,0.3974359609201368,-0.350164383111464,-0.13187548500596866,0.07239272624169249,0.3297368952886057,0.2071700329799967,0.6194069981575012
KDD-London,24,0.45441622815507415,0.5051546097815329,-0.4447152277687992,-0.14545143192032697,-0.018168373929851832,0.26050947133162444,0.0699401865457601,0.7947872281074524
KnowAir,3,0.8878649774092233,0.16666666666666666,-0.16455287626765017,0.04910841097738289,0.16755724851861475,0.2489821043910502,0.19953524405801804,0.103404700756073
KnowAir,6,0.777813225887972,0.2558139534883721,-0.24391066254686636,-0.08745461035571517,0.05766802041924058,0.321033722101728,0.24146576860756974,0.12082216143608093
KnowAir,24,0.5822912015363054,0.375,-0.34980161848882546,-0.10923237949066911,0.04734239778822083,0.3429764198390074,0.2215976665100709,0.11301583051681519
AirQualityBench,1,0.9139436160146576,0.10204082427050722,-0.15117529351524842,0.13326065943219378,0.13144505039045268,0.19722825663358867,0.14103810096450772,0.10382401198148727
AirQualityBench,6,0.6328160702293955,0.350877175370743,-0.3738373970560566,-0.08866047603489235,0.009840273607323638,0.3533375322056649,0.20288604156411988,0.1587330549955368
AirQualityBench,24,0.5643535667659343,0.41463422576704784,-0.38701556641889934,-0.13180643928533914,-0.006080318308097701,0.35124280470810465,0.19005447712551016,0.19344720244407654
AirFormer-tiny,1,0.8830155990075398,0.2,-0.12359169531965569,-0.16958656312282383,0.019582037143862113,0.4280610274937739,,0.021803281110538766
AirFormer-tiny,6,0.601363562784773,0.5428571428571428,-0.3233657927230992,-0.4100154051885939,-0.16738758935085907,0.5034871421430558,,0.011036693197656076
AirFormer-tiny,24,0.16064146545109023,0.8391830870279147,-0.669015367611063,-0.34073795180722893,-0.1077214716247409,0.4294317202903242,,0.02687541105273098
