dataset,feature,horizon_h,rho_median_node,partial_current_pm_rho_median_node
UCI-Beijing,temperature,6,0.006702127306804627,0.004104326716651244
UCI-Beijing,temperature,24,-0.07241917466868952,-0.0886014420500805
UCI-Beijing,pressure,6,0.01986726956736138,0.004083900495105975
UCI-Beijing,pressure,24,0.16261544460578137,0.13836628955860425
UCI-Beijing,dewpoint,6,-0.051383297713176526,-0.003743440469054912
UCI-Beijing,dewpoint,24,-0.17608585621267803,-0.08909719169028066
UCI-Beijing,precipitation,6,-0.05524059040344641,-0.0618321123205361
UCI-Beijing,precipitation,24,-0.05947531297586811,-0.07592696510532052
UCI-Beijing,wind_speed,6,-0.024498217130530627,-0.10963551992712754
UCI-Beijing,wind_speed,24,0.04567334565256213,-0.1118591539683651
UCI-Beijing,wind_east,6,0.01781814018499024,-0.026248343490555583
UCI-Beijing,wind_east,24,0.03787510815819832,-0.033368433387739406
UCI-Beijing,wind_north,6,0.13893521393011915,0.21578553300241374
UCI-Beijing,wind_north,24,-0.02166579219583277,0.1193849893417943
KnowAir,temperature,6,-0.0044722898180000435,-0.10588658990628078
KnowAir,temperature,24,-0.08134201420971633,-0.24096919225844315
KnowAir,pressure,6,0.0008253883093962331,0.07229573648045487
KnowAir,pressure,24,0.08978495897624905,0.21674623528413445
KnowAir,dewpoint,6,-0.04501545230063481,-0.14476353777113704
KnowAir,dewpoint,24,-0.10940697455428663,-0.2612051934360677
KnowAir,precipitation,6,-0.058421442288563274,-0.11874729561499818
KnowAir,precipitation,24,-0.05877317521395276,-0.14240399434842094
KnowAir,wind_speed,6,-0.057927678731011185,-0.10695128401800691
KnowAir,wind_speed,24,-0.014878574436366847,-0.07634665427799239
KnowAir,wind_east,6,0.04603324771789026,0.06297184353568672
KnowAir,wind_east,24,0.04103967536772368,0.07879664358624874
KnowAir,wind_north,6,0.04383755072834904,0.05919970575517497
KnowAir,wind_north,24,0.0108330562287772,0.033296353213769836
KnowAir,boundary_layer_height,6,-0.022269525122324996,-0.10588401176602918
KnowAir,boundary_layer_height,24,0.0017925144653557121,-0.10817714475358679
