horizon,variant,n,mae,rmse
1,local,61353,10.34115197792854,20.251799446211862
1,local_meteo,61353,10.554312592079542,20.140440467104458
1,local_spatial,61353,9.868164056053164,19.146590185555095
1,full,61353,10.019448217127614,19.097847350105322
6,local,61008,35.05419745538523,56.79001000781967
6,local_meteo,61008,33.92148847198942,55.720638340668145
6,local_spatial,61008,33.4556991055685,54.45614535225154
6,full,61008,32.454855310132594,53.637021078280966
12,local,60768,47.64763176097047,71.29073492704117
12,local_meteo,60768,45.92039670160282,69.90207852802213
12,local_spatial,60768,46.44869322959972,69.75390865984298
12,full,60768,44.90013908917867,68.54746543110208
24,local,60462,58.59410473511807,82.14913050007097
24,local_meteo,60462,56.55058669649888,80.30467388286365
24,local_spatial,60462,57.90888771759597,81.22912807564707
24,full,60462,55.94699188530995,79.41359012208919
