split,season,city_pm_bin,count,mean,max
test,autumn,q1,538,0.21561338289962825,2
test,autumn,q2,547,0.28884826325411334,2
test,autumn,q3,475,0.25684210526315787,6
test,autumn,q4,607,0.20593080724876442,3
test,summer,q1,275,0.22545454545454546,3
test,summer,q2,317,0.19873817034700317,2
test,summer,q3,274,0.22992700729927007,2
test,summer,q4,48,0.125,1
test,winter,q1,710,0.1056338028169014,11
test,winter,q2,298,0.27181208053691275,11
test,winter,q3,357,0.1092436974789916,3
test,winter,q4,788,0.07741116751269035,3
train,autumn,q1,1695,0.26194690265486725,8
train,autumn,q2,1565,0.1840255591054313,8
train,autumn,q3,1546,0.1054333764553687,2
train,autumn,q4,1737,0.20610247553252733,4
train,spring,q1,1257,0.17342879872712808,3
train,spring,q2,1745,0.264756446991404,4
train,spring,q3,1958,0.2522982635342186,4
train,spring,q4,1658,0.19360675512665862,4
train,summer,q1,1397,0.2684323550465283,6
train,summer,q2,2110,0.26872037914691943,4
train,summer,q3,1826,0.23055859802847756,5
train,summer,q4,1288,0.2515527950310559,4
train,winter,q1,1374,0.24963609898107714,6
train,winter,q2,735,0.2639455782312925,11
train,winter,q3,1003,0.2612163509471585,3
train,winter,q4,1604,0.23254364089775562,11
val,spring,q1,601,0.2928452579034942,3
val,spring,q2,642,0.3333333333333333,3
val,spring,q3,552,0.24818840579710144,3
val,spring,q4,405,0.21975308641975308,11
val,summer,q1,185,0.24864864864864866,2
val,summer,q2,457,0.2603938730853392,2
val,summer,q3,485,0.27628865979381445,2
val,summer,q4,165,0.44242424242424244,3
val,winter,q1,721,0.10124826629680998,3
val,winter,q2,327,0.1620795107033639,2
val,winter,q3,266,0.11278195488721804,3
val,winter,q4,445,0.10112359550561797,2
