source,target,distance_km,best_lag_h,best_rho
Dongsi,Aotizhongxin,6.134782,0,0.5010349116550902
Nongzhanguan,Aotizhongxin,7.4019027,0,0.4662268859875872
Guanyuan,Aotizhongxin,7.6922956,0,0.4628746566738243
Wanliu,Aotizhongxin,9.387864,0,0.39108249582297144
Dingling,Changping,8.382936,0,0.277963553263929
Wanliu,Changping,26.030325,0,0.15437797787165852
Aotizhongxin,Changping,29.741793,0,0.13632529910898608
Guanyuan,Changping,33.339878,0,0.12585053879097474
Changping,Dingling,8.382936,0,0.277963553263929
Wanliu,Dingling,34.38964,0,0.11485455991691555
Huairou,Dingling,34.825573,0,0.1731175416736105
Aotizhongxin,Dingling,37.61139,1,0.10085150783703385
Nongzhanguan,Dongsi,3.8556743,0,0.5579097302511793
Tiantan,Dongsi,4.8564234,0,0.5007264398530115
Aotizhongxin,Dongsi,6.134782,0,0.5010349116550903
Guanyuan,Dongsi,6.651028,0,0.503128557453069
Wanshouxigong,Guanyuan,5.7785316,0,0.4642726214898446
Dongsi,Guanyuan,6.651028,0,0.503128557453069
Tiantan,Guanyuan,7.5166388,0,0.4127991040160987
Aotizhongxin,Guanyuan,7.6922956,0,0.4628746566738243
Wanliu,Gucheng,11.95705,0,0.36810333987483224
Guanyuan,Gucheng,13.322119,0,0.3265548772274273
Wanshouxigong,Gucheng,14.880261,0,0.2866902785984859
Tiantan,Gucheng,19.275356,0,0.239941541112398
Shunyi,Huairou,22.467339,0,0.2300816728388495
Dingling,Huairou,34.825573,0,0.1731175416736105
Changping,Huairou,35.950787,0,0.1988195227438513
Aotizhongxin,Huairou,43.192665,0,0.15301412150575897
Dongsi,Nongzhanguan,3.8556743,0,0.5579097302511794
Tiantan,Nongzhanguan,7.3053765,0,0.4587778215705891
Aotizhongxin,Nongzhanguan,7.4019027,0,0.46622688598758716
Guanyuan,Nongzhanguan,10.440232,0,0.4072031821286951
Huairou,Shunyi,22.467339,0,0.2300816728388495
Nongzhanguan,Shunyi,26.817474,0,0.26369745951234697
Aotizhongxin,Shunyi,27.242853,0,0.2629663441707758
Dongsi,Shunyi,29.923244,0,0.25400368080941244
Wanshouxigong,Tiantan,4.776389,0,0.5225860041264906
Dongsi,Tiantan,4.8564234,0,0.5007264398530115
Nongzhanguan,Tiantan,7.3053765,0,0.4587778215705891
Guanyuan,Tiantan,7.5166388,0,0.41279910401609865
Guanyuan,Wanliu,7.824861,0,0.4559121862970121
Aotizhongxin,Wanliu,9.387864,0,0.3910824958229715
Gucheng,Wanliu,11.95705,0,0.36810333987483224
Dongsi,Wanliu,12.819843,0,0.3451662709144928
Tiantan,Wanshouxigong,4.776389,0,0.5225860041264906
Guanyuan,Wanshouxigong,5.7785316,0,0.4642726214898446
Dongsi,Wanshouxigong,7.9308887,0,0.4810669081784046
Nongzhanguan,Wanshouxigong,11.378752,0,0.4175204930709384
