horizon,grouping,group,n,mean_gain,median_gain,fraction_helped
1,station,Aotizhongxin,5138,0.9786217726242129,0.6704141497612,0.6243674581549241
1,station,Changping,5166,0.10025654008674774,0.3440587520599365,0.5530391018195896
1,station,Dingling,4999,-0.14887813000955993,0.3109901249408722,0.5449089817963593
1,station,Dongsi,5046,0.8049675404953132,0.6148916184902191,0.6173206500198177
1,station,Guanyuan,5122,0.8678720937609056,0.6914932876825333,0.6212417024599766
1,station,Gucheng,5117,0.13172185122646438,0.31581544876098633,0.5473910494430331
1,station,Huairou,5139,0.13763078266914588,0.3241966962814331,0.5536096516832069
1,station,Nongzhanguan,5123,0.7920241236538363,0.6459774971008301,0.6062853796603552
1,station,Shunyi,5065,0.07433036094253767,0.1907050609588623,0.5281342546890424
1,station,Tiantan,5148,1.027277296314938,0.7543345987796783,0.6262626262626263
1,station,Wanliu,5158,0.773688340958998,0.5264845974743366,0.5756107018224118
1,station,Wanshouxigong,5132,0.8597327724704555,0.6031822264194489,0.6108729540140296
1,season,autumn,25318,0.5809063367543839,0.5444777011871338,0.5886325934118019
1,season,summer,10673,0.44398004560196713,0.43659114837646484,0.58596458352853
1,season,winter,25362,0.5271488185382968,0.5217201113700867,0.5789764214178692
1,pollution_regime,high,7959,0.5090322934815649,0.7351630330085754,0.5405201658499812
1,pollution_regime,low,31817,0.44614914842386666,0.4743097424507141,0.6076940000628595
1,pollution_regime,middle,21577,0.6752105722391264,0.5936588048934937,0.5656022616675164
1,wind_regime,calm,19600,0.40367043422782145,0.4511722922325134,0.5612244897959183
1,wind_regime,moderate,35094,0.5634336063041013,0.4724849611520767,0.5817518664159116
1,wind_regime,strong,6519,0.7415605802166122,0.7835783958435059,0.6643657002607762
1,gap_magnitude,small,22974,0.4597114006418495,0.42530694603919983,0.608296334987377
1,gap_magnitude,medium,19188,0.6864797870374397,0.6755285263061523,0.6063164477798624
1,gap_magnitude,large,19183,0.4733740908036899,0.5536850094795227,0.5331282906740343
1,gap_direction,neighbors_higher,11315,0.1296560750731814,0.2060554027557373,0.514184710561202
1,gap_direction,neighbors_lower,7868,0.9676762448441962,1.1503210067749023,0.5603711235383834
1,gap_direction,similar,42170,0.5628361112766987,0.5084559917449951,0.607398624614655
6,station,Aotizhongxin,5117,1.3562622890604388,0.8807191848754883,0.5878444401016221
6,station,Changping,5150,2.1997286370497884,1.5797913074493408,0.6056310679611651
6,station,Dingling,4964,1.2554477128942438,1.2916726469993591,0.5815874294923449
6,station,Dongsi,4999,1.0312679042951371,0.7052268981933594,0.5703140628125625
6,station,Guanyuan,5088,0.7537114740387425,0.6721200942993164,0.5613207547169812
6,station,Gucheng,5085,0.6976370408105405,0.9459457397460938,0.5638151425762046
6,station,Huairou,5121,2.1227518908826433,1.0978236198425293,0.5883616481156024
6,station,Nongzhanguan,5094,1.5439579333447455,0.8145322799682617,0.5653710247349824
6,station,Shunyi,5020,2.5875972481911993,1.2373991012573242,0.5854581673306772
6,station,Tiantan,5118,1.5345708383432866,1.0869455337524414,0.5928096912856584
6,station,Wanliu,5140,1.4902561930598917,0.434434175491333,0.533852140077821
6,station,Wanshouxigong,5112,1.0170026559598382,0.7219212055206299,0.5665101721439749
6,season,autumn,25113,1.257876347227523,1.098562240600586,0.5880221399275276
