start,duration_h,peak_simultaneous_stations,hours_to_peak,reached_half_network
2013-03-05 15:00:00,76,12,5,True
2013-03-09 03:00:00,1,1,0,False
2013-03-09 09:00:00,1,1,0,False
2013-03-11 19:00:00,6,5,2,False
2013-03-12 14:00:00,8,2,2,False
2013-03-14 19:00:00,4,2,2,False
2013-03-15 00:00:00,2,2,1,False
2013-03-15 04:00:00,3,1,0,False
2013-03-15 08:00:00,69,12,10,True
2013-03-21 15:00:00,10,11,5,True
2013-03-25 21:00:00,1,1,0,False
2013-03-26 04:00:00,4,2,1,False
2013-03-26 09:00:00,27,12,3,True
2013-03-31 11:00:00,25,12,8,True
2013-04-02 10:00:00,1,1,0,False
2013-04-02 12:00:00,1,1,0,False
2013-04-02 21:00:00,2,1,0,False
2013-04-03 10:00:00,2,1,0,False
2013-04-03 14:00:00,2,8,0,True
2013-04-13 05:00:00,1,1,0,False
2013-04-13 07:00:00,5,1,0,False
2013-04-15 18:00:00,2,1,0,False
2013-04-16 19:00:00,2,1,0,False
2013-04-21 19:00:00,3,3,1,False
2013-04-22 10:00:00,17,9,4,True
2013-04-23 08:00:00,21,12,6,True
2013-04-24 06:00:00,6,2,1,False
2013-04-25 23:00:00,1,1,0,False
2013-05-02 18:00:00,1,1,0,False
2013-05-03 09:00:00,2,1,0,False
2013-05-03 16:00:00,1,1,0,False
2013-05-04 23:00:00,1,1,0,False
2013-05-05 10:00:00,32,12,6,True
2013-05-07 01:00:00,1,1,0,False
2013-05-07 03:00:00,2,2,0,False
2013-05-07 08:00:00,8,8,2,True
2013-05-07 20:00:00,14,11,5,True
2013-05-08 11:00:00,2,1,0,False
2013-05-08 14:00:00,2,1,0,False
2013-05-08 17:00:00,3,2,0,False
2013-05-12 15:00:00,2,1,0,False
2013-05-12 21:00:00,2,2,0,False
2013-05-14 14:00:00,3,1,0,False
2013-05-14 19:00:00,2,1,0,False
2013-05-16 10:00:00,3,1,0,False
2013-05-17 15:00:00,1,1,0,False
2013-05-18 07:00:00,9,5,3,False
2013-05-19 14:00:00,1,1,0,False
2013-05-22 00:00:00,1,1,0,False
2013-05-22 16:00:00,2,1,0,False
2013-05-23 20:00:00,14,8,12,True
2013-05-24 11:00:00,1,1,0,False
2013-05-24 16:00:00,1,2,0,False
2013-06-01 04:00:00,2,1,0,False
2013-06-02 06:00:00,30,12,8,True
2013-06-04 03:00:00,9,7,2,True
2013-06-05 14:00:00,17,7,6,True
2013-06-06 18:00:00,2,3,1,False
2013-06-07 00:00:00,1,1,0,False
2013-06-07 02:00:00,6,1,0,False
2013-06-08 10:00:00,13,9,3,True
2013-06-13 14:00:00,3,2,1,False
2013-06-13 20:00:00,1,1,0,False
2013-06-14 13:00:00,1,1,0,False
2013-06-14 18:00:00,2,2,0,False
2013-06-15 19:00:00,7,10,2,True
2013-06-16 11:00:00,15,10,8,True
2013-06-20 19:00:00,3,2,1,False
2013-06-22 10:00:00,2,1,0,False
2013-06-24 01:00:00,20,7,8,True
2013-06-25 14:00:00,3,2,1,False
2013-06-25 18:00:00,4,2,0,False
2013-06-25 23:00:00,6,3,2,False
2013-06-26 08:00:00,10,9,6,True
2013-06-26 22:00:00,5,6,2,True
2013-06-27 05:00:00,1,1,0,False
2013-06-27 08:00:00,4,6,1,True
2013-06-27 21:00:00,2,1,0,False
2013-06-28 00:00:00,23,12,11,True
2013-06-29 15:00:00,3,1,0,False
2013-06-29 22:00:00,48,12,15,True
2013-07-06 10:00:00,1,1,0,False
2013-07-07 11:00:00,3,2,0,False
2013-07-07 21:00:00,5,8,3,True
2013-07-08 04:00:00,1,1,0,False
2013-07-13 09:00:00,5,2,1,False
2013-07-13 23:00:00,4,3,1,False
2013-07-14 08:00:00,3,4,1,False
2013-07-14 18:00:00,1,1,0,False
2013-07-18 08:00:00,30,9,4,True
2013-07-20 08:00:00,1,1,0,False
2013-07-22 14:00:00,3,1,0,False
2013-07-29 22:00:00,1,1,0,False
2013-07-30 10:00:00,5,5,2,False
2013-07-30 16:00:00,2,1,0,False
2013-08-04 19:00:00,1,4,0,False
2013-08-06 11:00:00,14,8,10,True
2013-08-10 19:00:00,1,1,0,False
2013-08-11 04:00:00,14,10,9,True
2013-08-13 21:00:00,1,1,0,False
2013-08-15 03:00:00,1,1,0,False
2013-08-15 10:00:00,1,1,0,False
2013-08-15 18:00:00,11,6,3,True
2013-08-16 15:00:00,4,5,2,False
2013-08-16 20:00:00,7,4,1,False
2013-09-08 19:00:00,3,4,0,False
2013-09-10 14:00:00,1,1,0,False
2013-09-12 12:00:00,13,10,10,True
2013-09-27 13:00:00,65,11,5,True
2013-09-30 08:00:00,2,2,0,False
2013-09-30 11:00:00,21,7,13,True
2013-10-04 14:00:00,68,12,7,True
2013-10-09 15:00:00,19,10,7,True
2013-10-17 12:00:00,6,5,0,False
2013-10-17 20:00:00,35,12,17,True
2013-10-22 11:00:00,2,2,0,False
2013-10-27 02:00:00,1,1,0,False
2013-10-27 12:00:00,39,12,4,True
2013-10-29 04:00:00,2,1,0,False
2013-10-31 03:00:00,1,1,0,False
2013-10-31 11:00:00,1,1,0,False
2013-10-31 18:00:00,15,10,1,True
2013-11-01 12:00:00,43,12,2,True
2013-11-05 13:00:00,19,10,6,True
2013-11-06 09:00:00,4,5,2,False
2013-11-08 18:00:00,11,4,3,False
2013-11-09 10:00:00,3,1,0,False
2013-11-13 13:00:00,15,12,5,True
2013-11-15 21:00:00,2,1,0,False
2013-11-16 02:00:00,1,1,0,False
2013-11-21 02:00:00,1,1,0,False
2013-11-21 21:00:00,6,7,1,True
2013-11-22 11:00:00,3,1,0,False
2013-11-22 15:00:00,1,1,0,False
2013-11-22 18:00:00,17,9,2,True
2013-11-23 12:00:00,17,10,9,True
2013-11-29 23:00:00,1,1,0,False
2013-12-01 22:00:00,1,1,0,False
2013-12-02 00:00:00,1,1,0,False
2013-12-02 12:00:00,14,4,8,False
2013-12-04 03:00:00,1,1,0,False
2013-12-04 19:00:00,3,2,2,False
2013-12-06 14:00:00,52,12,25,True
2013-12-15 22:00:00,6,3,5,False
2013-12-16 16:00:00,2,1,0,False
2013-12-16 19:00:00,10,8,5,True
2013-12-21 20:00:00,9,7,3,True
2013-12-22 12:00:00,2,1,0,False
2013-12-22 18:00:00,17,9,1,True
2013-12-23 12:00:00,3,1,0,False
2013-12-23 18:00:00,1,1,0,False
2013-12-23 20:00:00,1,1,0,False
2013-12-23 22:00:00,44,12,20,True
2013-12-25 19:00:00,2,1,0,False
2013-12-29 23:00:00,1,1,0,False
2013-12-31 00:00:00,1,1,0,False
2014-01-02 10:00:00,1,1,0,False
2014-01-02 15:00:00,2,2,0,False
2014-01-02 20:00:00,5,4,4,False
2014-01-04 17:00:00,12,4,1,False
2014-01-06 09:00:00,26,8,21,True
2014-01-10 20:00:00,4,1,0,False
2014-01-11 03:00:00,4,2,0,False
2014-01-11 13:00:00,10,7,6,True
2014-01-13 08:00:00,1,1,0,False
2014-01-13 18:00:00,7,3,5,False
2014-01-14 10:00:00,2,1,0,False
2014-01-14 13:00:00,2,1,0,False
2014-01-14 23:00:00,2,1,0,False
2014-01-15 07:00:00,1,1,0,False
2014-01-15 09:00:00,5,2,3,False
2014-01-15 18:00:00,38,12,11,True
2014-01-17 17:00:00,9,8,2,True
2014-01-18 13:00:00,1,2,0,False
2014-01-19 10:00:00,1,1,0,False
2014-01-19 13:00:00,7,11,4,True
2014-01-22 19:00:00,15,9,6,True
2014-01-23 11:00:00,28,12,7,True
2014-01-24 20:00:00,2,1,0,False
2014-01-27 12:00:00,4,2,1,False
2014-01-29 16:00:00,13,9,4,True
2014-01-30 20:00:00,2,3,1,False
2014-01-31 00:00:00,7,12,1,True
2014-01-31 09:00:00,3,1,0,False
2014-01-31 21:00:00,1,1,0,False
2014-02-01 01:00:00,2,2,0,False
2014-02-01 04:00:00,3,1,0,False
2014-02-01 09:00:00,7,2,1,False
2014-02-02 06:00:00,2,1,0,False
2014-02-06 23:00:00,1,1,0,False
2014-02-08 10:00:00,1,1,0,False
2014-02-11 18:00:00,11,5,1,False
2014-02-12 10:00:00,2,1,0,False
2014-02-12 19:00:00,1,1,0,False
2014-02-12 21:00:00,88,12,22,True
2014-02-16 14:00:00,22,10,4,True
2014-02-19 23:00:00,2,2,1,False
2014-02-20 11:00:00,107,12,4,True
2014-02-24 23:00:00,15,12,0,True
2014-02-25 21:00:00,4,12,1,True
2014-02-26 06:00:00,1,7,0,True
2014-02-26 08:00:00,17,12,5,True
2014-03-01 00:00:00,2,2,0,False
2014-03-01 03:00:00,1,1,0,False
2014-03-02 12:00:00,3,2,2,False
2014-03-02 19:00:00,35,12,21,True
2014-03-08 13:00:00,3,1,0,False
2014-03-08 17:00:00,7,5,0,False
2014-03-09 06:00:00,1,1,0,False
2014-03-09 11:00:00,3,1,0,False
2014-03-09 17:00:00,2,1,0,False
2014-03-10 22:00:00,1,1,0,False
2014-03-11 00:00:00,21,11,10,True
2014-03-15 23:00:00,3,2,0,False
2014-03-16 03:00:00,2,1,0,False
2014-03-16 10:00:00,1,1,0,False
2014-03-17 08:00:00,4,3,1,False
2014-03-23 11:00:00,1,1,0,False
2014-03-23 17:00:00,99,12,7,True
2014-03-27 22:00:00,5,3,0,False
2014-03-28 06:00:00,1,1,0,False
2014-03-28 19:00:00,2,1,0,False
2014-03-28 22:00:00,3,5,2,False
2014-03-29 03:00:00,1,1,0,False
2014-03-31 09:00:00,8,12,4,True
2014-04-01 08:00:00,4,6,2,True
2014-04-01 13:00:00,1,1,0,False
2014-04-07 21:00:00,11,3,5,False
2014-04-08 09:00:00,30,12,2,True
2014-04-09 21:00:00,1,1,0,False
2014-04-10 01:00:00,1,1,0,False
2014-04-12 14:00:00,1,1,0,False
2014-04-12 17:00:00,1,1,0,False
