source,target,stratum,aligned_n,aligned_rho,opposed_n,opposed_rho,aligned_minus_opposed
Dongsi,Aotizhongxin,split:train,5071,0.44542723594400724,4906,0.24619968859251093,0.1992275473514963
Dongsi,Aotizhongxin,split:val,1100,0.4524617399349797,1300,0.23851923483070778,0.2139425051042719
Dongsi,Aotizhongxin,split:test,790,0.5601697567938261,1008,0.2016401078404529,0.3585296489533732
Dongsi,Aotizhongxin,season:winter,930,0.5138905781126272,2418,0.23454946387294806,0.2793411142396791
Dongsi,Aotizhongxin,season:spring,2276,0.3664631043452536,1797,0.24970060957144014,0.11676249477381345
Dongsi,Aotizhongxin,season:summer,2271,0.4847479235324357,1280,0.21865326855369313,0.2660946549787425
Dongsi,Aotizhongxin,season:autumn,1484,0.5305285648299741,1719,0.24757311108916244,0.28295545374081166
Dongsi,Aotizhongxin,speed:moderate,6207,0.46428378933898845,4181,0.25052543708047453,0.21375835225851392
Dongsi,Aotizhongxin,speed:strong,754,0.4227198561020491,3033,0.21825684574828882,0.20446301035376027
Nongzhanguan,Aotizhongxin,split:train,5710,0.41301338048003444,4370,0.2324073416916027,0.18060603878843173
Nongzhanguan,Aotizhongxin,split:val,1154,0.46050551176699833,1216,0.2063942472927146,0.2541112644742837
Nongzhanguan,Aotizhongxin,split:test,938,0.4562690558029009,875,0.14772752110892345,0.30854153469397744
Nongzhanguan,Aotizhongxin,season:winter,1256,0.4149880141711697,2242,0.24741846804561435,0.16756954612555536
Nongzhanguan,Aotizhongxin,season:spring,2165,0.38353308873746156,1727,0.2397537170942718,0.14377937164318977
Nongzhanguan,Aotizhongxin,season:summer,2638,0.44474876160426424,1061,0.1278847011329131,0.3168640604713512
Nongzhanguan,Aotizhongxin,season:autumn,1743,0.4583225289037038,1431,0.2076104471776927,0.2507120817260111
Nongzhanguan,Aotizhongxin,speed:moderate,7240,0.4163044449737354,3514,0.22126077856709972,0.1950436664066357
Nongzhanguan,Aotizhongxin,speed:strong,562,0.4998360318870032,2947,0.20744496893500325,0.29239106295199996
Guanyuan,Aotizhongxin,split:train,5565,0.40788789629295946,7566,0.2234064361525578,0.18448146014040165
Guanyuan,Aotizhongxin,split:val,1137,0.4029587134427344,1545,0.22512556637682474,0.17783314706590964
Guanyuan,Aotizhongxin,split:test,834,0.4984796242355275,1765,0.18617805354300332,0.3123015706925242
Guanyuan,Aotizhongxin,season:winter,1269,0.4811669565236557,3246,0.20876547517355137,0.27240148135010434
Guanyuan,Aotizhongxin,season:spring,2653,0.33448739216498646,2339,0.20555739241656007,0.1289299997484264
Guanyuan,Aotizhongxin,season:summer,2213,0.41282357517712553,2529,0.1893626133309206,0.22346096184620493
Guanyuan,Aotizhongxin,season:autumn,1401,0.4911468052935647,2762,0.26343433842950326,0.22771246686406144
Guanyuan,Aotizhongxin,speed:moderate,6073,0.42146679982631885,9628,0.21332633846055324,0.2081404613657656
Guanyuan,Aotizhongxin,speed:strong,1463,0.3947228518452039,1248,0.2074001003470038,0.1873227514982001
Wanliu,Aotizhongxin,split:train,4839,0.3375250779658262,5559,0.2099237132253382,0.127601364740488
Wanliu,Aotizhongxin,split:val,1105,0.3271373993121348,1279,0.2452028361951975,0.08193456311693731
Wanliu,Aotizhongxin,split:test,750,0.44410491256958656,881,0.26708359829876005,0.1770213142708265
Wanliu,Aotizhongxin,season:winter,1467,0.4383848996574082,2334,0.2325636993512281,0.2058212003061801
Wanliu,Aotizhongxin,season:spring,2079,0.29009489643205627,1857,0.19844632106534188,0.09164857536671439
Wanliu,Aotizhongxin,season:summer,1921,0.30166530279836107,1798,0.19712469625142456,0.1045406065469365
Wanliu,Aotizhongxin,season:autumn,1227,0.38282677274620924,1730,0.25740494759083726,0.12542182515537198
Wanliu,Aotizhongxin,speed:moderate,5476,0.3482522562452856,7320,0.217151486858855,0.13110076938643062
Wanliu,Aotizhongxin,speed:strong,1218,0.33027188484667597,399,0.3066162734513024,0.023655611395373588
Dingling,Changping,split:train,7152,0.17788330006031444,4114,0.08532248090833595,0.09256081915197849
Dingling,Changping,split:val,1886,0.19323264103304436,923,0.1554877544826207,0.037744886550423656
Dingling,Changping,split:test,2117,0.17466007557181115,831,0.122819039638894,0.051841035932917154
Dingling,Changping,season:winter,3379,0.17583531905691707,1000,0.09475638525550271,0.08107893380141436
Dingling,Changping,season:spring,2688,0.1916125906638285,1847,0.13155550196050117,0.06005708870332732
Dingling,Changping,season:summer,2393,0.1396835124848893,1891,0.06773418070874493,0.07194933177614438
Dingling,Changping,season:autumn,2695,0.20787380293391686,1130,0.08579241101490699,0.12208139191900987
Dingling,Changping,speed:moderate,9209,0.1763783555759669,4967,0.1111996664209767,0.0651786891549902
Dingling,Changping,speed:strong,1946,0.17872819818728616,901,0.031079330991308846,0.1476488671959773
Wanliu,Changping,split:train,4505,0.25615946749341756,6950,0.14310211022824004,0.11305735726517752
Wanliu,Changping,split:val,1040,0.3762624662811761,1692,0.10856440893420224,0.26769805734697383
Wanliu,Changping,split:test,925,0.2390945387948416,1916,0.07896244377704655,0.16013209501779507
Wanliu,Changping,season:winter,1010,0.22926137120893011,3805,0.10114004692041634,0.12812132428851378
Wanliu,Changping,season:spring,2581,0.28055035438680354,2653,0.11245047127034102,0.1680998831164625
Wanliu,Changping,season:summer,1765,0.27712774261649986,1864,0.14669064356484188,0.13043709905165798
Wanliu,Changping,season:autumn,1114,0.26312077377272436,2236,0.16426330424237576,0.0988574695303486
Wanliu,Changping,speed:moderate,5668,0.2638573278915445,8203,0.1263998438255905,0.13745748406595398
Wanliu,Changping,speed:strong,802,0.3362029813815905,2355,0.10935146349296819,0.2268515178886223
Aotizhongxin,Changping,split:train,3070,0.2673443189076019,4223,0.11661561139630687,0.15072870751129502
Aotizhongxin,Changping,split:val,1142,0.3032536018247577,1349,0.02004411807786902,0.28320948374688865
Aotizhongxin,Changping,split:test,819,0.1995681849597341,1029,0.07967164152914337,0.11989654343059074
Aotizhongxin,Changping,season:winter,593,0.18485825091979702,2251,0.1495227273557145,0.03533552356408251
Aotizhongxin,Changping,season:spring,1899,0.3265010294977321,1868,0.06256649547596836,0.2639345340217637
Aotizhongxin,Changping,season:summer,1564,0.2101562225535705,1093,0.08084070654495985,0.12931551600861063
Aotizhongxin,Changping,season:autumn,975,0.2659970158946927,1389,0.05843871426414331,0.2075583016305494
Aotizhongxin,Changping,speed:moderate,4553,0.24201395240246895,4032,0.09274438125946796,0.149269571143001
Aotizhongxin,Changping,speed:strong,478,0.4458149918483276,2569,0.0925577478487021,0.35325724399962555
Guanyuan,Changping,split:train,3056,0.22396121217397713,4339,0.11053242743495995,0.11342878473901719
Guanyuan,Changping,split:val,1147,0.2607751524844052,1362,0.05224212515360345,0.20853302733080176
Guanyuan,Changping,split:test,818,0.22418211985718747,1028,0.10724419836429733,0.11693792149289015
Guanyuan,Changping,season:winter,599,0.20346825591294385,2355,0.15187499754901007,0.051593258363933775
Guanyuan,Changping,season:spring,1893,0.2564050732632701,1879,0.06869753266841772,0.1877075405948524
Guanyuan,Changping,season:summer,1551,0.18755895789408394,1108,0.09745872776089876,0.09010023013318519
Guanyuan,Changping,season:autumn,978,0.2601609558343534,1387,0.06612604469812039,0.194034911136233
Guanyuan,Changping,speed:moderate,4545,0.2172945366046332,4089,0.09590965962243499,0.1213848769821982
Guanyuan,Changping,speed:strong,476,0.3532693618578649,2640,0.10109763720977981,0.25217172464808507
Changping,Dingling,split:train,4106,0.33978913355330015,7154,0.16348850798036646,0.1763006255729337
Changping,Dingling,split:val,922,0.397187486859096,1883,0.13109316898579323,0.26609431787330273
Changping,Dingling,split:test,837,0.38427274196361977,2111,0.1527299097506298,0.23154283221298996
Changping,Dingling,season:winter,998,0.2935737185217781,3374,0.15814056024543077,0.13543315827634733
Changping,Dingling,season:spring,1850,0.3740941822255862,2690,0.12876167928998186,0.24533250293560435
Changping,Dingling,season:summer,1885,0.3949045045597752,2396,0.15651249167211806,0.23839201288765716
Changping,Dingling,season:autumn,1132,0.3055336948716322,2688,0.18217831886443156,0.12335537600720062
Changping,Dingling,speed:moderate,4968,0.34172457488809804,9205,0.16164240695739274,0.1800821679307053
Changping,Dingling,speed:strong,897,0.4211886924852733,1943,0.1026868011718238,0.3185018913134495
Wanliu,Dingling,split:train,4577,0.15443208750019877,6929,0.11449684880309119,0.03993523869710758
Wanliu,Dingling,split:val,1025,0.19243171846785595,1687,0.1213280806615761,0.07110363780627985
Wanliu,Dingling,split:test,898,0.08926270537741596,1875,0.13419842171819882,-0.04493571634078286
Wanliu,Dingling,season:winter,1003,0.06822170770811177,3769,0.09264026540158186,-0.024418557693470094
Wanliu,Dingling,season:spring,2556,0.2046264098706327,2657,0.10861643398590087,0.09600997588473181
Wanliu,Dingling,season:summer,1835,0.11184898797601882,1844,0.13768091553643688,-0.025831927560418064
Wanliu,Dingling,season:autumn,1106,0.15347725869172255,2221,0.1605300652436457,-0.007052806551923141
Wanliu,Dingling,speed:moderate,5690,0.1443834916783617,8174,0.11557876289465331,0.02880472878370839
Wanliu,Dingling,speed:strong,810,0.20445808667320023,2317,0.10705341194522314,0.09740467472797709
Huairou,Dingling,split:train,4740,0.12192993881404719,6903,0.1127026840794769,0.009227254734570298
Huairou,Dingling,split:val,1088,0.1501094684481404,1820,0.11000274936182285,0.04010671908631756
Huairou,Dingling,split:test,1167,0.12091249600713412,1675,0.11747269978982189,0.0034397962173122326
Huairou,Dingling,season:winter,1761,0.055694797349216875,2762,0.12368430376755668,-0.06798950641833981
Huairou,Dingling,season:spring,1800,0.16799210510393628,2897,0.12717915158853954,0.04081295351539674
Huairou,Dingling,season:summer,2024,0.12936734738685027,2293,0.08458421524622149,0.044783132140628776
Huairou,Dingling,season:autumn,1410,0.15106032557242166,2446,0.10087329969885979,0.05018702587356187
Huairou,Dingling,speed:moderate,5975,0.12025736680068681,8999,0.11241545186983203,0.007841914930854788
Huairou,Dingling,speed:strong,1020,0.1362891208043108,1399,0.07554187265813403,0.06074724814617677
Aotizhongxin,Dingling,split:train,3101,0.19347590632574171,4211,0.11740689776556598,0.07606900856017573
Aotizhongxin,Dingling,split:val,1140,0.13052755912222513,1339,0.09182920871848904,0.03869835040373609
Aotizhongxin,Dingling,split:test,776,0.07027283182703044,1016,0.040835917099209466,0.02943691472782097
Aotizhongxin,Dingling,season:winter,584,0.11599947240855586,2226,0.127967756643885,-0.011968284235329127
Aotizhongxin,Dingling,season:spring,1878,0.20093206147064574,1856,0.09474412976262633,0.1061879317080194
Aotizhongxin,Dingling,season:summer,1591,0.13778336600741029,1088,0.10601878668054292,0.03176457932686737
Aotizhongxin,Dingling,season:autumn,964,0.13366570257108917,1396,0.05353168654404942,0.08013401602703976
Aotizhongxin,Dingling,speed:moderate,4536,0.14426073150722452,4014,0.08929524273114504,0.05496548877607947
Aotizhongxin,Dingling,speed:strong,481,0.27837923221966066,2552,0.11772273096762635,0.1606565012520343
Nongzhanguan,Dongsi,split:train,8388,0.385424826049693,6181,0.3065968765351646,0.07882794951452843
Nongzhanguan,Dongsi,split:val,1717,0.36335376797585445,1527,0.3085351080046792,0.05481865997117524
Nongzhanguan,Dongsi,split:test,1965,0.37135808039496515,1083,0.301214740692311,0.07014333970265413
Nongzhanguan,Dongsi,season:winter,3022,0.41569082104058486,2227,0.3425591302017301,0.07313169083885473
Nongzhanguan,Dongsi,season:spring,2690,0.31883281018932563,2870,0.2935117385591903,0.025321071630135306
Nongzhanguan,Dongsi,season:summer,3419,0.37648712832484227,1954,0.2879629751229555,0.08852415320188678
Nongzhanguan,Dongsi,season:autumn,2939,0.3997591577056205,1740,0.29191335513447914,0.10784580257114135
Nongzhanguan,Dongsi,speed:moderate,11137,0.3822074487133868,5527,0.306486796966679,0.07572065174670778
Nongzhanguan,Dongsi,speed:strong,933,0.33386262260656746,3264,0.28199170845079613,0.05187091415577133
Tiantan,Dongsi,split:train,6074,0.38441919353668996,7409,0.2169614634835527,0.16745773005313727
Tiantan,Dongsi,split:val,1364,0.38516659723326335,1877,0.2079269242973898,0.17723967293587356
Tiantan,Dongsi,split:test,1055,0.4319670926558465,2022,0.22044205217333876,0.21152504048250773
Tiantan,Dongsi,season:winter,1260,0.4672563689806394,3756,0.20106497411122506,0.26619139486941434
Tiantan,Dongsi,season:spring,3000,0.32682747286753433,2440,0.2304285868798308,0.09639888598770352
Tiantan,Dongsi,season:summer,2559,0.4084188939441241,2357,0.18556293088133363,0.22285596306279049
Tiantan,Dongsi,season:autumn,1674,0.38869932117407713,2755,0.2479159493233201,0.14078337185075704
Tiantan,Dongsi,speed:moderate,6972,0.39307792556741716,8483,0.22190835419656535,0.17116957137085181
Tiantan,Dongsi,speed:strong,1521,0.3758072490810299,2825,0.17855797997778988,0.19724926910324003
Aotizhongxin,Dongsi,split:train,4270,0.3317585563705879,3084,0.24597685124996888,0.085781705120619
Aotizhongxin,Dongsi,split:val,1303,0.2546398792377862,1098,0.25243787989139493,0.002201999346391259
Aotizhongxin,Dongsi,split:test,1011,0.27580845082848904,799,0.24184240240379015,0.033966048424698886
Aotizhongxin,Dongsi,season:winter,2255,0.32760104610033486,590,0.21848867277782014,0.10911237332251472
Aotizhongxin,Dongsi,season:spring,1825,0.2809247722897579,1876,0.23495712292328533,0.045967649366472546
Aotizhongxin,Dongsi,season:summer,1086,0.32909820190521827,1520,0.24371392298031883,0.08538427892489944
Aotizhongxin,Dongsi,season:autumn,1418,0.30585884257758805,995,0.2781787737113139,0.027680068866274166
Aotizhongxin,Dongsi,speed:moderate,4008,0.3261595579550957,4503,0.24702808594195144,0.07913147201314427
Aotizhongxin,Dongsi,speed:strong,2576,0.2705565297583452,478,0.2400893034610808,0.03046722629726442
Guanyuan,Dongsi,split:train,4992,0.33873509245094485,6227,0.26918638981850934,0.06954870263243551
Guanyuan,Dongsi,split:val,1198,0.3356251712180783,1519,0.2844983566385628,0.051126814579515456
Guanyuan,Dongsi,split:test,934,0.36564824662184436,1751,0.27849175053788966,0.0871564960839547
Guanyuan,Dongsi,season:winter,1848,0.3900758293317061,2643,0.2847054858002402,0.1053703435314659
Guanyuan,Dongsi,season:spring,2187,0.329740909101543,2003,0.23420738630267984,0.09553352279886318
Guanyuan,Dongsi,season:summer,1727,0.29753384078177747,2430,0.22570979148456466,0.07182404929721281
Guanyuan,Dongsi,season:autumn,1362,0.34142008310830657,2421,0.33750723222956225,0.003912850878744323
Guanyuan,Dongsi,speed:moderate,4861,0.33519572996844166,8929,0.2728841544623412,0.06231157550610045
Guanyuan,Dongsi,speed:strong,2263,0.3400939720659788,568,0.253106863582709,0.08698710848326979
Wanshouxigong,Guanyuan,split:train,5547,0.4392915627198455,6042,0.22662683480412837,0.2126647279157171
Wanshouxigong,Guanyuan,split:val,1467,0.386026243081385,1669,0.19151173691006665,0.19451450617131835
Wanshouxigong,Guanyuan,split:test,1127,0.444354752341592,1718,0.1833287186899097,0.2610260336516823
Wanshouxigong,Guanyuan,season:winter,1236,0.446180019999662,3181,0.21410427580159402,0.23207574419806798
Wanshouxigong,Guanyuan,season:spring,2680,0.3718752798072749,2216,0.2233833423424088,0.1484919374648661
Wanshouxigong,Guanyuan,season:summer,2558,0.42759994488321107,1747,0.188308922691589,0.23929102219162207
Wanshouxigong,Guanyuan,season:autumn,1667,0.49160724523693683,2285,0.21540989652184558,0.2761973487150913
Wanshouxigong,Guanyuan,speed:moderate,7102,0.43583360308783164,6603,0.2148748562020056,0.22095874688582604
Wanshouxigong,Guanyuan,speed:strong,1039,0.38295785620518175,2826,0.19264540457787296,0.19031245162730878
Dongsi,Guanyuan,split:train,7364,0.40525357342754165,5155,0.3016593182257402,0.10359425520180143
