source,target,distance_km,lag_h,wind_regime,n,rho
Dongsi,Aotizhongxin,6.134782,0,calm,7468,0.4178796668161496
Dongsi,Aotizhongxin,6.134782,0,cross,11479,0.5090197650262461
Dongsi,Aotizhongxin,6.134782,0,aligned,6972,0.584621874630698
Dongsi,Aotizhongxin,6.134782,0,opposed,7233,0.4315886085003594
Dongsi,Aotizhongxin,6.134782,1,calm,7464,0.26909085931069726
Dongsi,Aotizhongxin,6.134782,1,cross,11476,0.33319854228565726
Dongsi,Aotizhongxin,6.134782,1,aligned,6961,0.46049901066789417
Dongsi,Aotizhongxin,6.134782,1,opposed,7214,0.23997395386854176
Dongsi,Aotizhongxin,6.134782,3,calm,7447,0.032501368030322234
Dongsi,Aotizhongxin,6.134782,3,cross,11462,0.05197028258710563
Dongsi,Aotizhongxin,6.134782,3,aligned,6964,-0.005418099185916255
Dongsi,Aotizhongxin,6.134782,3,opposed,7191,0.045606510840635925
Dongsi,Aotizhongxin,6.134782,6,calm,7423,-0.05995648105157379
Dongsi,Aotizhongxin,6.134782,6,cross,11425,-0.03446677002517126
Dongsi,Aotizhongxin,6.134782,6,aligned,6990,-0.034522259040171005
Dongsi,Aotizhongxin,6.134782,6,opposed,7209,0.0005048726713297817
Dongsi,Aotizhongxin,6.134782,12,calm,7393,-0.022996917638711905
Dongsi,Aotizhongxin,6.134782,12,cross,11422,-0.0315767347365258
Dongsi,Aotizhongxin,6.134782,12,aligned,7000,-0.0458208291079502
Dongsi,Aotizhongxin,6.134782,12,opposed,7220,-0.01644447219012405
Nongzhanguan,Aotizhongxin,7.4019027,0,calm,7473,0.39449939498332653
Nongzhanguan,Aotizhongxin,7.4019027,0,cross,11487,0.4757743185353854
Nongzhanguan,Aotizhongxin,7.4019027,0,aligned,7811,0.5122402446369736
Nongzhanguan,Aotizhongxin,7.4019027,0,opposed,6467,0.4260910714728024
Nongzhanguan,Aotizhongxin,7.4019027,1,calm,7467,0.2827505229677433
Nongzhanguan,Aotizhongxin,7.4019027,1,cross,11473,0.33811886827930365
Nongzhanguan,Aotizhongxin,7.4019027,1,aligned,7802,0.4250819101265416
Nongzhanguan,Aotizhongxin,7.4019027,1,opposed,6461,0.21741831333785214
Nongzhanguan,Aotizhongxin,7.4019027,3,calm,7453,0.002721956095208469
Nongzhanguan,Aotizhongxin,7.4019027,3,cross,11458,0.055517240650898816
Nongzhanguan,Aotizhongxin,7.4019027,3,aligned,7789,0.01593507652728693
Nongzhanguan,Aotizhongxin,7.4019027,3,opposed,6450,0.013702665393134018
Nongzhanguan,Aotizhongxin,7.4019027,6,calm,7430,-0.07565224795252255
Nongzhanguan,Aotizhongxin,7.4019027,6,cross,11457,-0.028696538601146793
Nongzhanguan,Aotizhongxin,7.4019027,6,aligned,7794,-0.03835616704105208
Nongzhanguan,Aotizhongxin,7.4019027,6,opposed,6437,-0.017449132640548315
Nongzhanguan,Aotizhongxin,7.4019027,12,calm,7401,-0.02583207812291051
Nongzhanguan,Aotizhongxin,7.4019027,12,cross,11431,-0.026980202902667758
Nongzhanguan,Aotizhongxin,7.4019027,12,aligned,7815,-0.03993299240376568
Nongzhanguan,Aotizhongxin,7.4019027,12,opposed,6471,0.015718093101574876
Guanyuan,Aotizhongxin,7.6922956,0,calm,8954,0.3984448633410785
Guanyuan,Aotizhongxin,7.6922956,0,cross,5919,0.496079138524233
Guanyuan,Aotizhongxin,7.6922956,0,aligned,7542,0.5462337135911746
Guanyuan,Aotizhongxin,7.6922956,0,opposed,10890,0.42337434024771864
Guanyuan,Aotizhongxin,7.6922956,1,calm,8941,0.2678764312378047
Guanyuan,Aotizhongxin,7.6922956,1,cross,5906,0.3015820262290485
Guanyuan,Aotizhongxin,7.6922956,1,aligned,7536,0.41800827876944635
Guanyuan,Aotizhongxin,7.6922956,1,opposed,10876,0.21763941037897214
Guanyuan,Aotizhongxin,7.6922956,3,calm,8948,0.03770672503768317
Guanyuan,Aotizhongxin,7.6922956,3,cross,5897,0.015511503462083746
Guanyuan,Aotizhongxin,7.6922956,3,aligned,7532,-0.008899358529579156
Guanyuan,Aotizhongxin,7.6922956,3,opposed,10829,0.05291434021597836
Guanyuan,Aotizhongxin,7.6922956,6,calm,8903,-0.032809108002497464
Guanyuan,Aotizhongxin,7.6922956,6,cross,5920,-0.0015525696382692519
Guanyuan,Aotizhongxin,7.6922956,6,aligned,7550,-0.03725876211225271
Guanyuan,Aotizhongxin,7.6922956,6,opposed,10812,-0.0260998290651391
Guanyuan,Aotizhongxin,7.6922956,12,calm,8869,-0.025148593694546525
Guanyuan,Aotizhongxin,7.6922956,12,cross,5937,-0.010913951642925801
Guanyuan,Aotizhongxin,7.6922956,12,aligned,7554,-0.050212841615331884
Guanyuan,Aotizhongxin,7.6922956,12,opposed,10809,-0.024920300936751894
Wanliu,Aotizhongxin,9.387864,0,calm,11478,0.323319923854739
Wanliu,Aotizhongxin,9.387864,0,cross,7647,0.4093049679385411
Wanliu,Aotizhongxin,9.387864,0,aligned,6697,0.5018851443814141
Wanliu,Aotizhongxin,9.387864,0,opposed,7711,0.3585106962911107
Wanliu,Aotizhongxin,9.387864,1,calm,11456,0.2196694888137408
Wanliu,Aotizhongxin,9.387864,1,cross,7633,0.271176611658367
Wanliu,Aotizhongxin,9.387864,1,aligned,6694,0.348390428654175
Wanliu,Aotizhongxin,9.387864,1,opposed,7719,0.2219083360274464
Wanliu,Aotizhongxin,9.387864,3,calm,11456,0.0707445931015185
Wanliu,Aotizhongxin,9.387864,3,cross,7634,0.013753808886412618
Wanliu,Aotizhongxin,9.387864,3,aligned,6698,0.026855677112095626
Wanliu,Aotizhongxin,9.387864,3,opposed,7684,0.03166197138686636
Wanliu,Aotizhongxin,9.387864,6,calm,11401,-0.04167377631696942
Wanliu,Aotizhongxin,9.387864,6,cross,7648,-0.026844212036147366
Wanliu,Aotizhongxin,9.387864,6,aligned,6730,-0.008309201551031231
Wanliu,Aotizhongxin,9.387864,6,opposed,7665,-0.050807816114570976
Wanliu,Aotizhongxin,9.387864,12,calm,11345,-0.011302836543780797
Wanliu,Aotizhongxin,9.387864,12,cross,7666,-0.02985816046698187
Wanliu,Aotizhongxin,9.387864,12,aligned,6718,-0.03790912409954699
Wanliu,Aotizhongxin,9.387864,12,opposed,7690,-0.012905027976757803
Dingling,Changping,8.382936,0,calm,7612,0.21553237285119703
Dingling,Changping,8.382936,0,cross,8607,0.33028411195626467
Dingling,Changping,8.382936,0,aligned,11162,0.22774305041197182
Dingling,Changping,8.382936,0,opposed,5876,0.3333941153314968
Dingling,Changping,8.382936,1,calm,7601,0.1548523107639901
Dingling,Changping,8.382936,1,cross,8616,0.1549329007899931
Dingling,Changping,8.382936,1,aligned,11155,0.17985071720232235
Dingling,Changping,8.382936,1,opposed,5868,0.10076711774806776
Dingling,Changping,8.382936,3,calm,7584,0.04044346675040537
Dingling,Changping,8.382936,3,cross,8590,0.001738461801594619
Dingling,Changping,8.382936,3,aligned,11157,0.037603383577430316
Dingling,Changping,8.382936,3,opposed,5861,0.0030673560508280543
Dingling,Changping,8.382936,6,calm,7550,0.031795770917918076
Dingling,Changping,8.382936,6,cross,8566,-0.02034559369215831
Dingling,Changping,8.382936,6,aligned,11124,0.0042839708720749355
Dingling,Changping,8.382936,6,opposed,5900,-0.031454451468735295
Dingling,Changping,8.382936,12,calm,7541,-0.018855538087030218
Dingling,Changping,8.382936,12,cross,8614,-0.026605352390497283
Dingling,Changping,8.382936,12,aligned,11048,-0.00509209753994937
Dingling,Changping,8.382936,12,opposed,5918,-0.02345487866313109
Wanliu,Changping,26.030325,0,calm,11529,0.11420223859398096
Wanliu,Changping,26.030325,0,cross,5118,0.16149424380309657
Wanliu,Changping,26.030325,0,aligned,6463,0.15935468881788123
Wanliu,Changping,26.030325,0,opposed,10574,0.17977054745803833
Wanliu,Changping,26.030325,1,calm,11522,0.08768213765258229
Wanliu,Changping,26.030325,1,cross,5098,0.11751851210088961
Wanliu,Changping,26.030325,1,aligned,6470,0.2722955724840023
Wanliu,Changping,26.030325,1,opposed,10558,0.1268961543606665
Wanliu,Changping,26.030325,3,calm,11520,0.01454791517622553
Wanliu,Changping,26.030325,3,cross,5092,0.07174040771399467
Wanliu,Changping,26.030325,3,aligned,6467,0.11242871703310701
Wanliu,Changping,26.030325,3,opposed,10521,0.036824969513814095
Wanliu,Changping,26.030325,6,calm,11465,0.012732231741933445
Wanliu,Changping,26.030325,6,cross,5093,-0.009691048864846199
Wanliu,Changping,26.030325,6,aligned,6499,-0.03789091149018162
