lag_h,wind_regime,pair_count,median_rho,mean_rho
0,aligned,48,0.3999246904762779,0.3675218225310404
0,calm,48,0.3299377557513459,0.30469589815256315
0,cross,48,0.42755845761302663,0.38125240411269745
0,opposed,48,0.3964971373238285,0.3809082589158866
1,aligned,48,0.3397778225114759,0.31706238909084755
1,calm,48,0.2198562514743183,0.2234418007528939
1,cross,48,0.27942736425767445,0.26214281308094395
1,opposed,48,0.2201930637577899,0.20794184941804927
3,aligned,48,0.049986270076037446,0.0637448094764007
3,calm,48,0.032505985527597106,0.03512044715305517
3,cross,48,0.04929518662202435,0.04921056444014207
3,opposed,48,0.02991044716408029,0.029182763869027652
6,aligned,48,-0.023834524793216388,-0.021770746258427426
6,calm,48,-0.030995229633237302,-0.026052598679070376
6,cross,48,-0.010158844315319679,-0.013277354604817064
6,opposed,48,-0.022428652928560167,-0.021683736497807624
12,aligned,48,-0.0253231766913845,-0.023467130338593212
12,calm,48,-0.026648877992537623,-0.027292023616857893
12,cross,48,-0.01794722048362016,-0.017625988846602967
12,opposed,48,-0.016490897251151007,-0.017575305036810072
