model,seed,split,day1_mae,day2_mae,day3_mae,mae,rmse,smape,persistence_skill_mae
common_local,42,val,15.941235542297363,19.570232391357422,20.631166458129883,18.714231491088867,29.95159149169922,0.3971872329711914,0.30921815776808326
common_local+wind+meteo,42,val,15.663386344909668,19.429285049438477,20.513891220092773,18.535518646240234,29.719541549682617,0.39436838030815125,0.31581482663230187
common_local,43,val,15.789288520812988,19.379610061645508,20.523717880249023,18.5642032623291,29.60533332824707,0.3933738172054291,0.31475601681929843
common_local+wind+meteo,43,val,15.595386505126953,19.29095458984375,20.439411163330078,18.441911697387695,29.444108963012695,0.3913730978965759,0.31927005697958366
common_local,44,val,15.891216278076172,19.555252075195312,20.607341766357422,18.684589385986328,29.609182357788086,0.39769458770751953,0.310312310524509
common_local+wind+meteo,44,val,15.697402954101562,19.461503982543945,20.51303482055664,18.557321548461914,29.436872482299805,0.3949275314807892,0.31501003542461237
AirDDE-repro,2024,val,14.353700637817383,16.62660026550293,17.24205780029297,16.074140548706055,26.30219841003418,0.34486180543899536,0.406669495040864
common_local,42,test,14.520865440368652,18.079195022583008,18.99848175048828,17.199533462524414,26.927398681640625,0.39856934547424316,0.26942317665261095
common_local+wind+meteo,42,test,14.33248233795166,17.9978084564209,18.92664337158203,17.08564567565918,26.773414611816406,0.39667296409606934,0.2742607367950042
common_local,43,test,14.418251991271973,18.072154998779297,19.15578269958496,17.21538543701172,26.921144485473633,0.39776453375816345,0.26874983948390496
common_local+wind+meteo,43,test,14.275423049926758,18.01093864440918,19.09971809387207,17.128704071044922,26.808090209960938,0.3958842158317566,0.2724317647599258
common_local,44,test,14.538887977600098,18.4152889251709,19.581735610961914,17.511964797973633,27.10489845275879,0.40245676040649414,0.2561521717695999
common_local+wind+meteo,44,test,14.383867263793945,18.339920043945312,19.507286071777344,17.410362243652344,26.957717895507812,0.3998028039932251,0.26046789763168576
AirDDE-repro,2024,test,13.440411567687988,16.001819610595703,16.607913970947266,15.350053787231445,24.1722469329834,0.35400134325027466,0.3479826904304213
