source,target,distance_km,lead_hour,wind_regime,n,partial_r_source_to_target_given_target_now
9,0,63.83821400249894,3,downwind,4268,0.22623632394463505
9,0,63.83821400249894,3,crosswind,3915,-0.03948088314001453
9,0,63.83821400249894,3,upwind,3364,-0.11555947650649097
9,0,63.83821400249894,6,downwind,4262,0.18246171337315997
9,0,63.83821400249894,6,crosswind,3915,0.012930071515218959
9,0,63.83821400249894,6,upwind,3359,-0.10748841498902015
9,0,63.83821400249894,12,downwind,4261,0.11642134131000446
9,0,63.83821400249894,12,crosswind,3904,0.04513671973436217
9,0,63.83821400249894,12,upwind,3363,-0.11307925617547203
9,0,63.83821400249894,24,downwind,4257,0.05204473678288054
9,0,63.83821400249894,24,crosswind,3900,0.07435786616897225
9,0,63.83821400249894,24,upwind,3356,-0.0803495344657996
1,0,133.6604390359073,3,downwind,4239,0.16346410390909832
1,0,133.6604390359073,3,crosswind,4279,-0.01878687001627369
1,0,133.6604390359073,3,upwind,3039,-0.13973311116351528
1,0,133.6604390359073,6,downwind,4238,0.1927223614352439
1,0,133.6604390359073,6,crosswind,4272,0.013434871232475665
1,0,133.6604390359073,6,upwind,3036,-0.10220561345226675
1,0,133.6604390359073,12,downwind,4238,0.13215238508363333
1,0,133.6604390359073,12,crosswind,4261,0.046790435595290336
1,0,133.6604390359073,12,upwind,3039,-0.07603437470952408
1,0,133.6604390359073,24,downwind,4229,0.014407058277293616
1,0,133.6604390359073,24,crosswind,4263,0.061492534096712105
1,0,133.6604390359073,24,upwind,3031,-0.020402145100391327
6,0,151.85666506592253,3,downwind,5583,0.04450435260275701
6,0,151.85666506592253,3,crosswind,2049,0.04520942208096675
6,0,151.85666506592253,3,upwind,3924,-0.050540659202239394
6,0,151.85666506592253,6,downwind,5574,0.063781535150508
6,0,151.85666506592253,6,crosswind,2050,0.08545134616238019
6,0,151.85666506592253,6,upwind,3921,-0.03128467983347293
6,0,151.85666506592253,12,downwind,5569,0.09123941382348534
6,0,151.85666506592253,12,crosswind,2045,0.09542738944966202
6,0,151.85666506592253,12,upwind,3923,0.007312032423305617
6,0,151.85666506592253,24,downwind,5566,0.10749150043321322
6,0,151.85666506592253,24,crosswind,2047,0.11605339695232665
6,0,151.85666506592253,24,upwind,3909,0.06210225791604246
7,0,152.13899420222296,3,downwind,5890,0.18876202227020844
7,0,152.13899420222296,3,crosswind,1552,0.08550054879395831
7,0,152.13899420222296,3,upwind,4114,0.02608656434452702
7,0,152.13899420222296,6,downwind,5884,0.1994562338435064
7,0,152.13899420222296,6,crosswind,1551,0.11359767583292654
7,0,152.13899420222296,6,upwind,4110,0.03203803355299379
7,0,152.13899420222296,12,downwind,5883,0.14304477225413792
7,0,152.13899420222296,12,crosswind,1547,0.09633468104194212
7,0,152.13899420222296,12,upwind,4107,0.034629244176101186
7,0,152.13899420222296,24,downwind,5874,0.07701892851997479
7,0,152.13899420222296,24,crosswind,1546,-0.09223820376436377
7,0,152.13899420222296,24,upwind,4102,-0.04942601282267437
3,0,158.74974074982836,3,downwind,3521,0.09090389515587746
3,0,158.74974074982836,3,crosswind,3827,-0.041626389944481854
3,0,158.74974074982836,3,upwind,4209,-0.13811182975352196
3,0,158.74974074982836,6,downwind,3516,0.13859189811752406
3,0,158.74974074982836,6,crosswind,3827,-0.030085752951431316
3,0,158.74974074982836,6,upwind,4203,-0.10959581098791873
3,0,158.74974074982836,12,downwind,3519,0.14032737613358287
3,0,158.74974074982836,12,crosswind,3821,-0.009478801383283164
3,0,158.74974074982836,12,upwind,4198,-0.07114751466770608
3,0,158.74974074982836,24,downwind,3510,0.08596490000870033
3,0,158.74974074982836,24,crosswind,3815,-0.01502554000825146
3,0,158.74974074982836,24,upwind,4198,-0.0338359564465441
9,1,72.208496751713,3,downwind,3119,0.4181243569115535
9,1,72.208496751713,3,crosswind,5161,0.2152815481475847
9,1,72.208496751713,3,upwind,3371,-0.004000197130648651
9,1,72.208496751713,6,downwind,3121,0.32810077543516875
9,1,72.208496751713,6,crosswind,5160,0.2471776406851959
9,1,72.208496751713,6,upwind,3369,0.018260200352520135
9,1,72.208496751713,12,downwind,3120,0.14693725393843687
9,1,72.208496751713,12,crosswind,5157,0.2060157799014579
9,1,72.208496751713,12,upwind,3368,0.05297743421973166
9,1,72.208496751713,24,downwind,3114,0.0192159271172784
9,1,72.208496751713,24,crosswind,5159,0.14337086743479868
9,1,72.208496751713,24,upwind,3364,0.07745069372501016
10,1,93.31029278431775,3,downwind,5481,0.20984078639985881
10,1,93.31029278431775,3,crosswind,2651,0.05104883789035064
10,1,93.31029278431775,3,upwind,3525,-0.054128820197454526
10,1,93.31029278431775,6,downwind,5481,0.20521847522814035
10,1,93.31029278431775,6,crosswind,2651,0.058855324176737965
10,1,93.31029278431775,6,upwind,3524,-0.054076728480128865
10,1,93.31029278431775,12,downwind,5479,0.1418655771549142
10,1,93.31029278431775,12,crosswind,2649,0.045647239371488284
10,1,93.31029278431775,12,upwind,3523,-0.03795734294461188
10,1,93.31029278431775,24,downwind,5481,0.07053121966835052
10,1,93.31029278431775,24,crosswind,2643,0.026149124309292733
10,1,93.31029278431775,24,upwind,3519,-0.006102195983874551
3,1,97.23486515706671,3,downwind,3132,0.2732543474420366
3,1,97.23486515706671,3,crosswind,3563,0.09224795267080137
3,1,97.23486515706671,3,upwind,4966,0.03688648347075742
3,1,97.23486515706671,6,downwind,3131,0.27190241307282764
3,1,97.23486515706671,6,crosswind,3561,0.09161748993650112
3,1,97.23486515706671,6,upwind,4968,0.05640657975553521
3,1,97.23486515706671,12,downwind,3129,0.17913671740977252
3,1,97.23486515706671,12,crosswind,3560,0.07456078147131719
3,1,97.23486515706671,12,upwind,4966,0.06197951615484481
3,1,97.23486515706671,24,downwind,3124,0.08585172206148012
3,1,97.23486515706671,24,crosswind,3558,0.048783708053834064
3,1,97.23486515706671,24,upwind,4965,0.08332930794681927
0,1,133.6604390359073,3,downwind,4018,0.4662435059916287
0,1,133.6604390359073,3,crosswind,2678,0.2444351004593803
0,1,133.6604390359073,3,upwind,4901,0.07524148683412635
0,1,133.6604390359073,6,downwind,4018,0.5212764220612515
0,1,133.6604390359073,6,crosswind,2678,0.29983214112629414
0,1,133.6604390359073,6,upwind,4900,0.10367597933486922
0,1,133.6604390359073,12,downwind,4017,0.34893333915461566
0,1,133.6604390359073,12,crosswind,2674,0.30059671578529656
0,1,133.6604390359073,12,upwind,4900,0.15985623242062869
0,1,133.6604390359073,24,downwind,4014,0.14631523505778715
0,1,133.6604390359073,24,crosswind,2674,0.1566206841421337
0,1,133.6604390359073,24,upwind,4895,0.12213657781818334
6,1,160.36129517897675,3,downwind,4159,0.27480829650956806
6,1,160.36129517897675,3,crosswind,3420,0.18977729618097766
6,1,160.36129517897675,3,upwind,4081,0.09669017919020059
6,1,160.36129517897675,6,downwind,4159,0.3082444614382118
6,1,160.36129517897675,6,crosswind,3420,0.21395574148008784
6,1,160.36129517897675,6,upwind,4080,0.10772375865348428
6,1,160.36129517897675,12,downwind,4155,0.26130420427850554
6,1,160.36129517897675,12,crosswind,3421,0.20953746127373046
6,1,160.36129517897675,12,upwind,4078,0.11575353546932517
6,1,160.36129517897675,24,downwind,4155,0.22259105220794442
6,1,160.36129517897675,24,crosswind,3416,0.2050784163295408
6,1,160.36129517897675,24,upwind,4075,0.14682069213189608
69,2,83.86106431330954,3,downwind,6169,0.2512695417252699
69,2,83.86106431330954,3,crosswind,1509,0.17850787789941464
69,2,83.86106431330954,3,upwind,3983,0.010061204509783693
69,2,83.86106431330954,6,downwind,6169,0.30339579664837185
69,2,83.86106431330954,6,crosswind,1508,0.2091316527672617
69,2,83.86106431330954,6,upwind,3983,0.02877186061154471
69,2,83.86106431330954,12,downwind,6166,0.2502590637080081
69,2,83.86106431330954,12,crosswind,1508,0.1588418613205025
69,2,83.86106431330954,12,upwind,3981,0.073009204479877
69,2,83.86106431330954,24,downwind,6169,0.08923115014607094
69,2,83.86106431330954,24,crosswind,1504,0.08201783647391599
69,2,83.86106431330954,24,upwind,3974,0.018673619633146354
