lead_hour,wind_regime,edges,median_partial_r,q25,q75,median_n,median_distance_km
3,crosswind,920,0.14878976094832858,0.10266192813407186,0.20579715752453467,3711.5,102.78077816932856
3,downwind,920,0.23085427594951974,0.16521871712048694,0.3065367884393242,3873.5,102.78077816932856
3,upwind,920,0.08112650432869312,0.0375407277194799,0.12762876416501576,3803.0,102.78077816932856
6,crosswind,920,0.16532185626972656,0.1124674613148811,0.2161395616966213,3711.0,102.78077816932856
6,downwind,920,0.24063951345826579,0.18145404088974731,0.3090121049398535,3870.5,102.78077816932856
6,upwind,920,0.09114885320668688,0.050976420473789176,0.1366157857550791,3801.5,102.78077816932856
12,crosswind,920,0.14437270803425817,0.09159401050542931,0.1942975336704017,3709.0,102.78077816932856
12,downwind,920,0.18891925327786033,0.14012549595244486,0.2486864365720541,3870.5,102.78077816932856
12,upwind,920,0.08518464255969715,0.045114190352773774,0.12939092506105396,3797.0,102.78077816932856
24,crosswind,920,0.0863687081087702,0.041450133512171125,0.1340512086789238,3703.5,102.78077816932856
24,downwind,920,0.10359954292626142,0.05951480970168774,0.151273139894684,3868.0,102.78077816932856
24,upwind,920,0.05695585572701097,0.01628347206262032,0.09658135580596867,3792.5,102.78077816932856
