distance_bin,lead_hour,wind_regime,edges,median_partial_r,q25,q75
<50,3,crosswind,99,0.1813723509787762,0.10466679115008128,0.2343421458301586
<50,3,downwind,99,0.2604392271458845,0.17742166773581042,0.33254841050915884
<50,3,upwind,99,0.1103301747546423,0.04693071989859793,0.1529417293062725
<50,6,crosswind,99,0.16861400447116817,0.09430357679346435,0.22081870748191135
<50,6,downwind,99,0.2293937770793943,0.16396896851559964,0.2638704900288953
<50,6,upwind,99,0.0982182018965869,0.051208292556669144,0.15165398671486668
<50,12,crosswind,99,0.11507855732674728,0.05444710453051828,0.1616315345506398
<50,12,downwind,99,0.14394784829597274,0.0899191739834628,0.18369980323394564
<50,12,upwind,99,0.07968103769574385,0.03985332220062151,0.1300439396721299
<50,24,crosswind,99,0.05068255275662981,0.00510301012752578,0.10330732364116381
<50,24,downwind,99,0.06606533561364465,0.012393208029484487,0.10089289420645707
<50,24,upwind,99,0.04926515516859799,0.0045637054365553105,0.09049853020670794
50-100,3,crosswind,340,0.16581754143705624,0.12050545247998067,0.21620684428758238
50-100,3,downwind,340,0.2588977905761098,0.20163538657396923,0.3307291599243005
50-100,3,upwind,340,0.08620378805151555,0.03688877991393124,0.13189800316408534
50-100,6,crosswind,340,0.17132308444487407,0.12948762670961822,0.22262486555424277
50-100,6,downwind,340,0.25860121622856364,0.2036798128036145,0.31846325743434933
50-100,6,upwind,340,0.0957771321592715,0.05078024883620892,0.14007554391667204
50-100,12,crosswind,340,0.14748887475615163,0.10265926813132098,0.1886185143991581
50-100,12,downwind,340,0.1911146856380956,0.14553891486872858,0.2424962988122812
50-100,12,upwind,340,0.08886961586397704,0.052877262568037896,0.12747139873718702
50-100,24,crosswind,340,0.08411826786214135,0.04674521098638291,0.12356545632786504
50-100,24,downwind,340,0.09388830927194908,0.05823044408371879,0.14158112919787189
50-100,24,upwind,340,0.054993760593905275,0.022645779445859073,0.08769026130709733
100-200,3,crosswind,436,0.13729955557355894,0.09231908266691675,0.19140350369592563
100-200,3,downwind,436,0.21171816596207158,0.15488506314481837,0.2865514045553996
100-200,3,upwind,436,0.07617459028573528,0.03743324866695102,0.11557920164556325
100-200,6,crosswind,436,0.15717266096948523,0.1041159466799702,0.21427032297332882
100-200,6,downwind,436,0.2384067193728207,0.17918554478081003,0.316895851385784
100-200,6,upwind,436,0.08846974390197379,0.05356565722430387,0.1270064702992164
100-200,12,crosswind,436,0.14572967315213042,0.09562724088704211,0.20034951450050287
100-200,12,downwind,436,0.20506931712206547,0.15081462529725592,0.26794252156318976
100-200,12,upwind,436,0.08488051190327389,0.0434052618026383,0.131920846211446
100-200,24,crosswind,436,0.1009124115330142,0.04425812504226735,0.14545894549291605
100-200,24,downwind,436,0.12041961151934133,0.07267892063826008,0.17246515876185786
100-200,24,upwind,436,0.06121494810917287,0.015725276285445323,0.10282510387330665
>=200,3,crosswind,45,0.10796710986642091,0.07903575826431888,0.1512074563188324
>=200,3,downwind,45,0.1457317668519622,0.10659316283588523,0.20060308672217989
>=200,3,upwind,45,0.06345748471121149,0.04023736769150611,0.09650341039518748
>=200,6,crosswind,45,0.131840148001749,0.09616639350521484,0.18034502915764117
>=200,6,downwind,45,0.16793387502275287,0.09902390619801443,0.2342405445430031
>=200,6,upwind,45,0.08026890635446994,0.05063021543263589,0.110355543331525
>=200,12,crosswind,45,0.1372762092386058,0.06903546115903358,0.2027743965758833
>=200,12,downwind,45,0.15126846281754566,0.09157585623649579,0.23366383447438047
>=200,12,upwind,45,0.07761832301692624,0.03640728718982794,0.11795766523551651
>=200,24,crosswind,45,0.09318575934246763,0.04175497429514727,0.1440133922209282
>=200,24,downwind,45,0.09820305139264293,0.06603328612941871,0.15266076455837158
>=200,24,upwind,45,0.05660845407985833,0.007655592330652989,0.08514015240159267
