feature,timing,lead_hour,median_r,q25_r,q75_r,stations
pm,past_last,3,0.8718468080757033,0.8479182057507975,0.8925254335217689,184
pm,past_72h_mean,3,0.4691017704520305,0.42465997499481417,0.5183539312393912,184
pm,past_last,6,0.7486975241835909,0.7096701645498923,0.779292540333914,184
pm,past_72h_mean,6,0.420646540007681,0.37338076077199955,0.47782628462588406,184
pm,past_last,9,0.6543172457055886,0.6084141203166482,0.6946180436007077,184
pm,past_72h_mean,9,0.3806797562671581,0.33144238500867035,0.44316854581948595,184
pm,past_last,12,0.5782119970764623,0.528979456043389,0.6308494534076208,184
pm,past_72h_mean,12,0.3454062539662702,0.2940462534845096,0.4088734403574504,184
pm,past_last,15,0.5178545089545379,0.4670226973345085,0.5756402699731982,184
pm,past_72h_mean,15,0.3119189815036799,0.26177429109260897,0.38353851918832826,184
pm,past_last,18,0.47855369990211916,0.4175939313656509,0.5295806456928059,184
pm,past_72h_mean,18,0.28321672332488285,0.23460943411123095,0.35549615505875853,184
pm,past_last,21,0.44290030986653145,0.38505631173119137,0.4965353662203107,184
pm,past_72h_mean,21,0.26020214800011665,0.21015955326462799,0.3292002571262623,184
pm,past_last,24,0.4071920742432752,0.3451063706081128,0.46319098122096336,184
pm,past_72h_mean,24,0.2376076265787326,0.18731449874362321,0.3054725328394809,184
pm,past_last,27,0.35901489457984637,0.29962571654423353,0.4167648746775684,184
pm,past_72h_mean,27,0.2155802547764015,0.16794788621319676,0.28629414444973994,184
pm,past_last,30,0.31443516674840405,0.2575068443674223,0.37342660596062405,184
pm,past_72h_mean,30,0.19644319821063239,0.14689480142727845,0.2686743516004043,184
pm,past_last,33,0.27933987299739726,0.22456709783269213,0.3395537682503019,184
pm,past_72h_mean,33,0.18105911574469097,0.13206070753904783,0.2538153870632324,184
pm,past_last,36,0.24937964295952336,0.20007157203929857,0.3114918174993595,184
pm,past_72h_mean,36,0.16620078037731273,0.11831603500652221,0.24080262372652553,184
pm,past_last,39,0.225356592981033,0.17643397475621586,0.2847318456151111,184
pm,past_72h_mean,39,0.15432110257360232,0.10494200542324442,0.22995966656423494,184
pm,past_last,42,0.20788023353717727,0.16166716857234434,0.26926653134014156,184
pm,past_72h_mean,42,0.1437747061185593,0.09566821773420936,0.21994483978906842,184
pm,past_last,45,0.19670682734414235,0.1539724687898619,0.2560529170724253,184
pm,past_72h_mean,45,0.13254778973109937,0.08860189554751743,0.2059609646762694,184
pm,past_last,48,0.18686280280744932,0.13618990129753278,0.24626966541865508,184
pm,past_72h_mean,48,0.12088645781791184,0.08006454288675967,0.1952210436035823,184
pm,past_last,51,0.16849690024601116,0.12494104652981022,0.22604402916824523,184
pm,past_72h_mean,51,0.11291158747730301,0.07057213287154337,0.1867400723406414,184
pm,past_last,54,0.1500076805745889,0.10322814396254726,0.2084281222943078,184
pm,past_72h_mean,54,0.10559110996784446,0.06491718275676733,0.17823036932241873,184
pm,past_last,57,0.13517883898240768,0.09419594920568328,0.1942453818869929,184
pm,past_72h_mean,57,0.09754878776323977,0.05977962768573043,0.1694030832323642,184
pm,past_last,60,0.12466373335655916,0.08517214603034602,0.18129918522896543,184
pm,past_72h_mean,60,0.09257311691037741,0.05448142173720205,0.1643851998546731,184
pm,past_last,63,0.1133209911238563,0.0754919050823942,0.1717018233912414,184
