weather_feature,past_pm_quintile,future_weather_quintile,n,median_past_pm,median_future_pm,median_pm_change,median_future_log_anomaly,prob_future_mean_over_75,prob_future_mean_over_150
wind_speed,1,1,88485,29.541666666666668,41.291666666666664,8.958333333333336,-0.09162758931763904,0.15447816014013674,0.011504774820591061
wind_speed,1,2,85438,29.583333333333332,38.208333333333336,6.541666666666666,-0.17212407785477873,0.1201807158407266,0.008403754769540486
wind_speed,1,3,83446,29.5,35.625,4.75,-0.22702688568765012,0.09947750641133188,0.004613762193514368
wind_speed,1,4,82674,30.791666666666668,34.375,2.875,-0.2890562272964961,0.0829644144471055,0.0028303940779446984
wind_speed,1,5,85778,30.291666666666668,28.041666666666668,-2.041666666666666,-0.4476019693195651,0.04144419314975868,0.0011308260859427825
wind_speed,2,1,85189,34.041666666666664,43.458333333333336,8.0,0.06057463977803934,0.16833159210696216,0.018288746199626713
wind_speed,2,2,86346,33.95652173913044,40.375,5.494565217391303,-0.015252562667203762,0.13258286429018137,0.01169712551826373
wind_speed,2,3,84548,34.625,38.583333333333336,3.5,-0.0749143239031819,0.11944694138241,0.0077352509816908735
wind_speed,2,4,84211,35.25,36.541666666666664,1.2916666666666643,-0.13950512636543166,0.0957713362862334,0.004654973815772286
wind_speed,2,5,85307,35.125,31.625,-2.916666666666668,-0.27175641125602706,0.05317265875016118,0.0013011827868756375
wind_speed,3,1,83822,40.125,48.125,7.375,0.16679699140751286,0.2108277063300804,0.02451623678747823
wind_speed,3,2,85247,40.083333333333336,44.625,4.208333333333332,0.0901992777137129,0.17471582577686018,0.01542576278344106
wind_speed,3,3,85913,40.625,42.375,2.1666666666666643,0.02904986953341382,0.1532946119912004,0.0123497026061248
wind_speed,3,4,84908,41.458333333333336,40.375,-0.6666666666666679,-0.04633937327508875,0.1255005417628492,0.007537570075846799
wind_speed,3,5,85190,41.875,35.416666666666664,-5.833333333333329,-0.18586264041632256,0.07430449583284424,0.003263293813827914
wind_speed,4,1,81600,48.583333333333336,54.458333333333336,6.166666666666664,0.28843547935286473,0.28175245098039214,0.043137254901960784
wind_speed,4,2,84738,48.75,50.208333333333336,1.9583333333333286,0.20173077079578378,0.2377209752413321,0.02906606245132054
wind_speed,4,3,86542,49.125,47.583333333333336,-0.75,0.13297721283318725,0.21275218968824386,0.01951653532388898
wind_speed,4,4,87191,50.791666666666664,45.833333333333336,-3.9583333333333357,0.04334627764638318,0.18124577077909418,0.014772166852083357
wind_speed,4,5,84226,51.208333333333336,39.875,-10.083333333333332,-0.10655750414574902,0.11434711371785435,0.006933725927860755
wind_speed,5,1,84846,68.16666666666667,67.79166666666667,0.8750000000000018,0.48162323033185694,0.43748674068312,0.11677627701954128
wind_speed,5,2,82302,69.45833333333333,63.416666666666664,-5.291666666666671,0.35826721177230425,0.3876698014629049,0.07951204101965931
wind_speed,5,3,83777,70.66666666666667,59.583333333333336,-9.166666666666664,0.26795546274935117,0.34436659226279287,0.056411664299270685
wind_speed,5,4,86366,73.08333333333333,55.25,-15.041666666666671,0.13725874569205962,0.29428247226918003,0.0403167913299215
wind_speed,5,5,85496,72.95833333333333,48.041666666666664,-22.375,-0.024828882449658828,0.2132614391316553,0.022082904463366707
pbl,1,1,78391,28.166666666666668,39.333333333333336,8.791666666666671,-0.061602401661228136,0.17567067648071846,0.01444043321299639
pbl,1,2,79316,29.541666666666668,39.625,7.499999999999998,-0.14777505474452707,0.15332341519995965,0.011775682081799384
pbl,1,3,82655,29.958333333333332,37.5,5.375000000000002,-0.21446604401124367,0.10073195813925352,0.0034238703042768132
pbl,1,4,86455,30.666666666666668,35.0,3.0416666666666643,-0.2787549888197229,0.06355907697646174,0.0010988375455439246
pbl,1,5,99004,31.0,29.208333333333332,-1.9166666666666679,-0.4404391355562017,0.029281645186053088,8.080481596703163e-05
pbl,2,1,80847,34.125,42.041666666666664,6.875,0.04396643233582331,0.1814291192004651,0.020421289596398134
pbl,2,2,84527,34.416666666666664,41.5,5.833333333333336,-0.012026792612511864,0.1538206726844677,0.016290652690856177
pbl,2,3,84576,34.541666666666664,40.04257246376811,4.5,-0.053835790151167906,0.12371121831252364,0.006195611048051457
pbl,2,4,87726,34.708333333333336,36.625,1.6666666666666679,-0.12464594853768154,0.07835761347833026,0.001709869365980439
pbl,2,5,87925,35.083333333333336,31.708333333333332,-2.916666666666657,-0.26512657315689125,0.039590560136479956,0.0002615865794711402
pbl,3,1,83210,40.75,47.375,6.041666666666664,0.13930260428906505,0.22697993029683933,0.02729239274125706
pbl,3,2,84768,40.708333333333336,45.833333333333336,4.547619047619044,0.0883458502593335,0.19514439411098528,0.02137599093997735
pbl,3,3,86710,40.833333333333336,43.916666666666664,2.7916666666666714,0.0475765084432318,0.15887440894937147,0.009998846730480914
