past_pm_quintile,future_72h_rain,n,median_rain_mm,median_pm_change,prob_future_mean_over_75
1,<=0.1mm,167897,4.6982884413182546e-05,6.9999999999999964,0.1703246633352591
1,0.1-1mm,92305,0.3757190231680738,5.791666666666664,0.09614863766859867
1,1-5mm,100253,2.3420309949453895,2.625,0.04743997685854787
1,>5mm,65366,8.908538161810775,-0.125,0.006486552642046324
2,<=0.1mm,149619,0.0009452924132347107,6.375,0.1918071902632687
2,0.1-1mm,98464,0.37546134764248507,4.95833333333333,0.11889624634384141
2,1-5mm,104057,2.3178488250330247,1.708333333333334,0.06756873636564575
2,>5mm,73461,9.044545173810718,-2.041666666666668,0.014320523815357809
3,<=0.1mm,143990,0.0014430011336798998,5.166666666666664,0.2399680533370373
3,0.1-1mm,100085,0.3799064576151068,3.75,0.16264175450866764
3,1-5mm,105663,2.3329305190256946,0.16666666666666785,0.09558691311054958
3,>5mm,75342,8.984484574156824,-4.541666666666664,0.023771601497172893
4,<=0.1mm,141933,0.0015684196104643888,2.7916666666666714,0.3214756258234519
4,0.1-1mm,99526,0.38251263539041247,1.125,0.22257500552619416
4,1-5mm,107273,2.3428243212699726,-3.0,0.14848097843819041
4,>5mm,75565,9.026054692584921,-7.708333333333336,0.04331370343412956
5,<=0.1mm,148262,0.0016222226647073512,-7.5,0.46732136353212556
5,0.1-1mm,99269,0.3754522074713691,-6.291666666666668,0.37385286443904947
5,1-5mm,104128,2.3698038946836277,-11.708333333333329,0.2676033343577136
5,>5mm,71128,8.898750851177823,-16.291666666666664,0.10208356765268249
