future_day,past_category,future_category,n,probability
1,<=35,<=35,602583,0.7165128407574846
1,<=35,35-75,224551,0.2670066611652402
1,<=35,75-150,11897,0.014146355384223907
1,<=35,>150,376,0.00044708999112954434
1,35-75,<=35,208919,0.2358944770258094
1,35-75,35-75,538479,0.6080070366715369
1,35-75,75-150,132018,0.14906407300433808
1,35-75,>150,4098,0.004627130930416894
1,75-150,<=35,26474,0.07747709254582222
1,75-150,35-75,112385,0.3288986570130026
1,75-150,75-150,172250,0.5040956859944805
1,75-150,>150,29948,0.08764387578614051
1,>150,<=35,2298,0.03467527764365041
1,>150,35-75,8670,0.13082448092708837
1,>150,75-150,23953,0.36143469338483825
1,>150,>150,31275,0.4719187590535973
2,<=35,<=35,519617,0.6178605317041501
2,<=35,35-75,279381,0.33220332130788094
2,<=35,75-150,37669,0.04479104488260321
2,<=35,>150,2085,0.0024792091263433507
2,35-75,<=35,262279,0.29614428338184784
2,35-75,35-75,458480,0.5176786210291696
2,35-75,75-150,149832,0.16917820438414446
2,35-75,>150,12168,0.013739123758251039
2,75-150,<=35,51335,0.1502336838346976
2,75-150,35-75,130226,0.3811109712877633
2,75-150,75-150,127943,0.37442969145539523
2,75-150,>150,31412,0.0919283233001952
2,>150,<=35,6545,0.09875965717044906
2,>150,35-75,16332,0.2464389183969097
2,>150,75-150,23894,0.3605444229840657
2,>150,>150,19424,0.2930951231289232
3,<=35,<=35,488779,0.5811920180167753
3,<=35,35-75,293663,0.3491856065560515
3,<=35,75-150,51586,0.061339319900023066
3,<=35,>150,4379,0.005206933699883709
3,35-75,<=35,283346,0.3199314398755259
3,35-75,35-75,434470,0.4905684664075714
3,35-75,75-150,148209,0.16734564374479194
3,35-75,>150,16901,0.019083245450213743
3,75-150,<=35,59732,0.17480779980158093
3,75-150,35-75,137580,0.40263271105440135
3,75-150,75-150,114737,0.33578186777328717
3,75-150,>150,28762,0.08417300505412627
3,>150,<=35,7547,0.11387916465475616
3,>150,35-75,19267,0.2907260985031386
3,>150,75-150,24656,0.3720424915499759
3,>150,>150,14717,0.22206965234186382
