lead_hour,past_pm_anomaly_quintile,n,median_last_pm,median_future_pm,median_change_pm,median_future_log_anomaly
3,1,425780,20.0,22.0,1.0,-0.5621805204098873
3,2,425937,30.0,31.0,1.0,-0.18393418624362257
3,3,426083,39.0,39.0,0.0,0.04665682993563003
3,4,425963,51.0,50.0,0.0,0.27422004401405875
3,5,425733,80.0,75.0,-2.0,0.6232732686611007
24,1,425442,20.0,30.0,9.0,-0.27277437968447327
24,2,425515,30.0,35.0,5.0,-0.07602721817880109
24,3,425558,39.0,39.0,1.0,0.05062666904161062
24,4,425221,51.0,45.0,-3.0,0.1806575986751069
24,5,424689,80.0,56.0,-17.0,0.3526867493911281
48,1,425422,20.0,35.0,13.0,-0.12216802250313563
48,2,425414,30.0,36.0,6.0,-0.027144915255916224
48,3,425297,39.0,39.0,1.0,0.03983567503536012
48,4,425076,51.0,43.0,-6.0,0.11109039717487867
48,5,424548,80.0,48.0,-25.0,0.1872152717370663
72,1,425308,20.0,38.0,16.0,-0.050849689356188055
72,2,425391,30.0,37.0,7.0,-0.010454463054203167
72,3,425310,39.0,39.0,0.0,0.030765770878316
72,4,425197,51.0,41.0,-8.0,0.07698664742525008
72,5,424482,80.0,46.0,-29.0,0.12548524352020385
