month,dataset_clock_hour,n,median_pm,p90_pm,prob_pm_over_75,prob_pm_over_150
1,0,22569,71.0,172.0,0.46980371305773405,0.14271788736762817
1,3,22600,76.0,184.0,0.5046902654867257,0.16911504424778762
1,6,22589,64.0,169.0,0.4209571030147417,0.13134711585284872
1,9,22594,59.0,159.0,0.3831105603257502,0.11379127201912012
1,12,22616,72.0,179.0,0.47855500530597805,0.1522815705695083
1,15,22612,77.0,187.0,0.5095082257208562,0.1721652220060145
1,18,22729,73.0,181.0,0.4808834528575828,0.1598838488274891
1,21,22726,68.0,171.0,0.446845023321306,0.1399718384229517
2,0,20770,60.0,136.10000000000218,0.3697640828117477,0.07448242657679345
2,3,20776,63.0,146.0,0.3959857527916827,0.08928571428571429
2,6,20771,50.0,123.0,0.29574888065090754,0.05266958740551731
2,9,20776,46.0,110.0,0.2431651906045437,0.03609934539853677
2,12,20775,57.0,129.0,0.34397111913357403,0.060505415162454876
2,15,20780,65.0,143.0,0.41270452358036575,0.08570741097208855
2,18,20768,62.0,140.29999999999927,0.38645993836671805,0.08103813559322035
2,21,20773,58.0,134.0,0.34881817744187166,0.06941703172387234
3,0,22779,55.0,116.0,0.3066859827033671,0.037666271565915975
3,3,22787,54.0,117.0,0.29661649185939354,0.0394962039759512
3,6,22787,45.0,99.0,0.20814499495326283,0.02224952823978584
3,9,22791,41.0,92.0,0.16861919178623141,0.01689263305690843
3,12,22794,48.0,103.0,0.23146442046152496,0.024611739931560937
3,15,22795,55.0,113.0,0.2898881333625795,0.03421803026979601
3,18,22790,53.0,111.0,0.2796401930671347,0.032514260640631856
3,21,22784,52.0,111.0,0.273218047752809,0.031776685393258425
4,0,22033,46.0,95.0,0.1923478418735533,0.01665683293241955
4,3,22039,44.0,90.0,0.16656835609601162,0.01542719724125414
4,6,22041,36.0,76.0,0.10181026269225535,0.007531418719658818
4,9,22050,33.0,70.0,0.07800453514739229,0.005396825396825397
4,12,22049,39.0,77.0,0.10753322146129077,0.00721121139280693
4,15,22049,44.0,86.0,0.14989341920268492,0.010930200916141322
4,18,22036,43.0,86.0,0.1512524959157742,0.011299691414049736
4,21,22039,43.0,89.0,0.15840101638005355,0.012840872997867417
5,0,22758,43.0,86.0,0.14667369716143774,0.012391247034010018
5,3,22617,40.0,82.0,0.12831056285095283,0.011584206570278994
5,6,22768,34.0,72.0,0.08709592410400563,0.007774068868587491
5,9,22621,31.0,68.0,0.071172804031652,0.006277352902170549
5,12,22777,35.0,72.0,0.08714931729376126,0.007068534047504061
5,15,22780,40.0,80.0,0.1175153643546971,0.01009657594381036
5,18,22772,40.0,80.0,0.12010363604426488,0.010539258738802038
5,21,22610,40.0,82.0,0.1255639097744361,0.010968597965501991
6,0,22034,36.0,74.0,0.09417264228011256,0.003993827720795135
6,3,22047,33.0,68.0,0.07171043679412165,0.003583253957454529
6,6,22042,29.0,61.0,0.048906632791942656,0.0013610380183286454
6,9,21860,27.0,57.0,0.03655077767612077,0.0012808783165599268
6,12,22047,29.0,58.0,0.04132081462330476,0.0013607293509320995
6,15,22043,33.0,64.0,0.05543710021321962,0.002495123168352765
6,18,22037,33.0,66.0,0.06230430639379226,0.0034033670644824615
6,21,22038,33.0,70.0,0.07532443960431981,0.0035847173064706417
7,0,22738,31.0,68.0,0.07225789427390272,0.0030785469258509984
7,3,22746,30.0,66.0,0.06511034907236438,0.0029016090741229225
7,6,22755,27.0,59.0,0.04693473961766645,0.0013623379477038014
7,9,22760,25.0,55.0,0.034885764499121265,0.0011423550087873461
7,12,22757,26.0,56.0,0.03827393768950213,0.0010546205563123435
7,15,22756,29.0,61.0,0.049789066619792585,0.0019335559852346634
7,18,22742,29.0,62.0,0.05272183625010993,0.0015390027262334007
7,21,22736,29.0,64.0,0.06087262491203378,0.0019352568613652356
8,0,22732,30.0,63.0,0.04860988914305824,0.0013637163469998241
8,3,22733,29.0,60.0,0.04156952447983108,0.0008797782958694409
8,6,22742,25.0,53.0,0.02453610060680679,0.0005276580775657374
8,9,22737,23.0,49.0,0.017768395126885692,0.0002638870563398865
8,12,22738,26.0,52.0,0.023221039669276102,0.0002638754507872284
8,15,22740,29.0,57.0,0.035268249780123134,0.0009234828496042216
8,18,22739,28.0,58.0,0.037512643475966403,0.001011478077312107
8,21,22739,28.0,60.0,0.041690487708342494,0.001187387308148995
