lead_hour,predictor,median_r,q25_r,q75_r,stations,persistence_mae_ugm3
3,last,0.8718468080757033,0.8479182057507975,0.8925254335217689,184,11.016015074739887
3,past_24h_mean,0.6910075283533074,0.6490231788947308,0.7279730779058733,184,
3,past_72h_mean,0.4691017704520305,0.42465997499481417,0.5183539312393912,184,
6,last,0.7486975241835909,0.7096701645498923,0.779292540333914,184,16.414547337751127
6,past_24h_mean,0.61670563412404,0.5665345760223612,0.660781230889592,184,
6,past_72h_mean,0.420646540007681,0.37338076077199955,0.47782628462588406,184,
9,last,0.6543172457055886,0.6084141203166482,0.6946180436007077,184,19.284039670176618
9,past_24h_mean,0.5546699311619159,0.5001955946775066,0.6038698660976352,184,
9,past_72h_mean,0.3806797562671581,0.33144238500867035,0.44316854581948595,184,
12,last,0.5782119970764623,0.528979456043389,0.6308494534076208,184,20.928893107592497
12,past_24h_mean,0.4964551590678683,0.4408640921521526,0.5512385010606737,184,
12,past_72h_mean,0.3454062539662702,0.2940462534845096,0.4088734403574504,184,
15,last,0.5178545089545379,0.4670226973345085,0.5756402699731982,184,22.897753403660374
15,past_24h_mean,0.44650937294332,0.390443847467271,0.5030265217794625,184,
15,past_72h_mean,0.3119189815036799,0.26177429109260897,0.38353851918832826,184,
18,last,0.47855369990211916,0.4175939313656509,0.5295806456928059,184,23.866879230083804
18,past_24h_mean,0.4033315145316126,0.34745614930746116,0.46204022237452447,184,
18,past_72h_mean,0.28321672332488285,0.23460943411123095,0.35549615505875853,184,
21,last,0.44290030986653145,0.38505631173119137,0.4965353662203107,184,23.8716924295397
21,past_24h_mean,0.36477741297037214,0.30819377993437114,0.4251040023477699,184,
21,past_72h_mean,0.26020214800011665,0.21015955326462799,0.3292002571262623,184,
24,last,0.4071920742432752,0.3451063706081128,0.46319098122096336,184,24.284470466084947
24,past_24h_mean,0.32813286638122624,0.2748895599116744,0.3916037028531907,184,
24,past_72h_mean,0.2376076265787326,0.18731449874362321,0.3054725328394809,184,
27,last,0.35901489457984637,0.29962571654423353,0.4167648746775684,184,25.553423884264436
