future_day,trend_quintile,median_r_with_future_change,median_r_with_future_level,median_partial_r,q25_partial_r,q75_partial_r,same_sign_probability,n,median_past_trend,median_future_change
1,all,-0.13663602307316539,0.3367902261167759,0.10049591252043874,0.07478649201783606,0.12512826131781618,0.47403775453620256,2124354,,
1,1,,,,,,0.3928573108492674,425190,-0.6048312429350595,0.12597175342414535
1,2,,,,,,0.46671729271337586,425341,-0.18900682174005112,0.031872239483384135
1,3,,,,,,0.504167708987242,423734,0.032632848868411335,0.015045045003147073
1,4,,,,,,0.5108647324925721,425091,0.23549142180198146,0.009822455461282686
1,5,,,,,,0.4957058621452336,424998,0.5541698916557061,-0.004593179518448842
2,all,-0.268580981886879,0.13608610797209286,0.024642313082737025,-0.00374285437530802,0.04260241864756238,0.4256308892298372,2122837,,
2,1,,,,,,0.31394188449390176,424878,-0.6049270863598046,0.28722115413907545
2,2,,,,,,0.4488621390656176,425008,-0.18898702268769796,0.06660812224188462
2,3,,,,,,0.4903527522231539,423385,0.03262316741908755,-0.0038109409245095094
2,4,,,,,,0.4580225813134452,424776,0.23548174842780867,-0.05543230881306371
2,5,,,,,,0.41720144071188114,424790,0.5542333588087942,-0.12752968702589573
3,all,-0.3066527099592723,0.05803321800015191,-0.0021333889871138403,-0.025550066632724945,0.022488326531851247,0.4084941208174603,2122574,,
3,1,,,,,,0.294147549162658,424916,-0.6049157597088737,0.3459868298030513
3,2,,,,,,0.44897402044192786,424911,-0.1889795334321107,0.07324035644874982
3,3,,,,,,0.4818481614294691,423318,0.03263545983088023,-0.02698039186957857
3,4,,,,,,0.433346992219145,424632,0.23548299417964813,-0.0974655481094473
3,5,,,,,,0.3844400972699901,424797,0.5543039775948841,-0.19457393402778678
