season,lead_hour,median_r,q25_r,q75_r,stations
DJF,3,0.90103939526391,0.8812069120364519,0.9208602195660345,184
DJF,24,0.4181197160181006,0.3509781111844365,0.4873758245971281,184
DJF,48,0.18262502541449654,0.11838978671278387,0.25705052590825,184
DJF,72,0.08439035628495309,0.039235273701826306,0.14881383238200957,184
MAM,3,0.84525591512295,0.8179967019117299,0.8761010862694976,184
MAM,24,0.33494901913677044,0.2660547694924909,0.39493472894897536,184
MAM,48,0.11829383012788638,0.08011816810095049,0.1799173200233749,184
MAM,72,0.05114653133117685,-0.002945916905006487,0.10587300157625937,184
JJA,3,0.8359229658606263,0.8032435814284578,0.8636002447423472,184
JJA,24,0.4111940087228114,0.35981252687262344,0.4702421273468399,184
JJA,48,0.22798568207175968,0.1674910028195654,0.30009469952024437,184
JJA,72,0.15239683120296427,0.09586063721673838,0.22175097886724848,184
SON,3,0.8828741365122323,0.8521477908866752,0.9051379016277437,184
SON,24,0.4305482187352204,0.3749875875697299,0.5039606436226316,184
SON,48,0.20208637589115847,0.15425364816627854,0.28537979742349656,184
SON,72,0.10405355819357961,0.05873911359410887,0.17368166172008326,184
