source_index,source,target_index,target,distance_km,lead_hour,wind_regime,partial_r_control_target_pm,partial_r_control_target_and_regional_pm,partial_r_add_future_target_weather_controls
9,Langfang,0,Beijing,63.83821400249894,3,downwind,0.2262363239446373,0.21405239602586187,0.20387571539468763
9,Langfang,0,Beijing,63.83821400249894,3,crosswind,-0.039480883140016826,-0.05022283879658567,-0.05436559518914066
9,Langfang,0,Beijing,63.83821400249894,3,upwind,-0.11555947650648545,-0.12002637802220671,-0.12586708324198664
1,Tianjin,0,Beijing,133.6604390359073,3,downwind,0.16346410390909663,0.1428750292221216,0.14103191310550814
1,Tianjin,0,Beijing,133.6604390359073,3,crosswind,-0.01878687001627306,-0.03381549729968413,-0.0327464535952883
1,Tianjin,0,Beijing,133.6604390359073,3,upwind,-0.13973311116351514,-0.143644945452841,-0.15110922171273727
6,Baoding,0,Beijing,151.85666506592253,3,downwind,0.044504352602756404,0.02427818928511265,0.010767262605382844
6,Baoding,0,Beijing,151.85666506592253,3,crosswind,0.04520942208096676,0.02250176437002115,-0.021129233237173084
6,Baoding,0,Beijing,151.85666506592253,3,upwind,-0.050540659202241024,-0.06477324044990106,-0.0560847550943691
7,Zhangjiakou,0,Beijing,152.13899420222296,3,downwind,0.18876202227020694,0.18704298835891178,0.1762283902660698
7,Zhangjiakou,0,Beijing,152.13899420222296,3,crosswind,0.08550054879395928,0.07967852765270042,0.048527487037957825
7,Zhangjiakou,0,Beijing,152.13899420222296,3,upwind,0.026086564344526685,0.020703379095014646,0.009464275062667456
3,Tangshan,0,Beijing,158.74974074982836,3,downwind,0.09090389515587698,0.07930681658193264,0.07522901385081851
3,Tangshan,0,Beijing,158.74974074982836,3,crosswind,-0.041626389944483415,-0.05076989425753379,-0.039255372138121164
3,Tangshan,0,Beijing,158.74974074982836,3,upwind,-0.1381118297535199,-0.1503428012600946,-0.15139369460556484
9,Langfang,0,Beijing,63.83821400249894,6,downwind,0.18246171337316072,0.1639258730719851,0.16796233762956847
9,Langfang,0,Beijing,63.83821400249894,6,crosswind,0.012930071515218366,-0.00457591062085046,-0.0018151497662852844
9,Langfang,0,Beijing,63.83821400249894,6,upwind,-0.10748841498902181,-0.11574589610993578,-0.12114682820708611
1,Tianjin,0,Beijing,133.6604390359073,6,downwind,0.1927223614352436,0.16720826891427965,0.18266718615186273
1,Tianjin,0,Beijing,133.6604390359073,6,crosswind,0.013434871232476086,-0.012180780067973134,0.0006289588715135536
1,Tianjin,0,Beijing,133.6604390359073,6,upwind,-0.10220561345226797,-0.11483225165856259,-0.12142557576503914
6,Baoding,0,Beijing,151.85666506592253,6,downwind,0.0637815351505064,0.031939707303481925,0.019989464485089283
6,Baoding,0,Beijing,151.85666506592253,6,crosswind,0.0854513461623806,0.05210210763253677,0.02218489565522114
6,Baoding,0,Beijing,151.85666506592253,6,upwind,-0.031284679833472585,-0.052215993221633325,-0.02422215940693605
7,Zhangjiakou,0,Beijing,152.13899420222296,6,downwind,0.19945623384350566,0.19481797134207413,0.18248691163095818
7,Zhangjiakou,0,Beijing,152.13899420222296,6,crosswind,0.11359767583292646,0.10506791662520508,0.07487939101408028
7,Zhangjiakou,0,Beijing,152.13899420222296,6,upwind,0.032038033552994664,0.02389446887653556,0.01385991021476564
3,Tangshan,0,Beijing,158.74974074982836,6,downwind,0.1385918981175245,0.12200099693600099,0.12657267966053268
3,Tangshan,0,Beijing,158.74974074982836,6,crosswind,-0.030085752951430275,-0.04591179328740798,-0.026691211851173277
3,Tangshan,0,Beijing,158.74974074982836,6,upwind,-0.10959581098791964,-0.13169442958090527,-0.1280588582397742
9,Langfang,0,Beijing,63.83821400249894,12,downwind,0.11642134131000484,0.09556858344360787,0.11522954280969985
9,Langfang,0,Beijing,63.83821400249894,12,crosswind,0.04513671973436152,0.017162268793908256,0.030526423506738225
9,Langfang,0,Beijing,63.83821400249894,12,upwind,-0.11307925617547215,-0.12494397152598322,-0.11821651534281118
1,Tianjin,0,Beijing,133.6604390359073,12,downwind,0.1321523850836334,0.10408500481646321,0.14100084931778203
1,Tianjin,0,Beijing,133.6604390359073,12,crosswind,0.046790435595290183,0.006485090868787729,0.040080075086677235
1,Tianjin,0,Beijing,133.6604390359073,12,upwind,-0.07603437470952348,-0.1001594822485183,-0.09781391153870622
6,Baoding,0,Beijing,151.85666506592253,12,downwind,0.09123941382348552,0.05144926319599865,0.051545527181583665
6,Baoding,0,Beijing,151.85666506592253,12,crosswind,0.0954273894496626,0.05939196646685559,0.047366943370363505
6,Baoding,0,Beijing,151.85666506592253,12,upwind,0.007312032423305816,-0.025234672772531407,0.007337663409873639
7,Zhangjiakou,0,Beijing,152.13899420222296,12,downwind,0.143044772254138,0.1339870845269846,0.12386625067293315
7,Zhangjiakou,0,Beijing,152.13899420222296,12,crosswind,0.09633468104194232,0.08732042540638148,0.08103425602814415
7,Zhangjiakou,0,Beijing,152.13899420222296,12,upwind,0.034629244176101165,0.023558026976142954,0.020701953434628252
3,Tangshan,0,Beijing,158.74974074982836,12,downwind,0.14032737613358287,0.1208646126930333,0.14657778385068718
3,Tangshan,0,Beijing,158.74974074982836,12,crosswind,-0.00947880138328379,-0.03434181134308736,-0.008601312106992134
3,Tangshan,0,Beijing,158.74974074982836,12,upwind,-0.07114751466770496,-0.10578715337415086,-0.08505881028075642
