lead_hour,wind_regime,edges,median_target_control,median_regional_control,median_weather_control,median_distance_km
3,crosswind,920,0.14878976094832846,0.12233697005557001,0.11442805045560238,102.78077816932856
3,downwind,920,0.23085427594951957,0.20682937706294152,0.19854337807595274,102.78077816932856
3,upwind,920,0.08112650432869171,0.05595999027307232,0.05063069606334594,102.78077816932856
6,crosswind,920,0.16532185626972612,0.1238005507993479,0.1200652445650984,102.78077816932856
6,downwind,920,0.24063951345826604,0.2058453701678244,0.20294836385022247,102.78077816932856
6,upwind,920,0.09114885320668628,0.05555968211175101,0.0517243487495018,102.78077816932856
12,crosswind,920,0.1443727080342585,0.09108135967059533,0.0875955637779318,102.78077816932856
12,downwind,920,0.18891925327786038,0.14216036110239488,0.14172282152517504,102.78077816932856
12,upwind,920,0.0851846425596973,0.04152232984857075,0.039626665542189785,102.78077816932856
24,crosswind,920,0.08636870810877043,0.039334374484733474,0.03243458515886022,102.78077816932856
24,downwind,920,0.10359954292626139,0.056423101853318045,0.05104336223441011,102.78077816932856
24,upwind,920,0.056955855727010805,0.009990353300850213,0.007100440105878986,102.78077816932856
