target_index,target,lead_hour,base_adjusted_r2,aligned_neighbor_r2_gain,unweighted_neighbor_r2_gain
0,Beijing,3,0.8718444640789962,0.0038287427135551555,4.206199956668932e-06
0,Beijing,6,0.7080420991859677,0.01079471020633993,0.00041098496611557955
0,Beijing,12,0.45416307669171685,0.015324776184005073,0.0009199684350805759
0,Beijing,24,0.1783403212650777,0.00880736385737324,0.00012657904923918384
1,Tianjin,3,0.8078480429648164,0.031833866596658655,0.016385264448406378
1,Tianjin,6,0.5968171801400046,0.06773855486904046,0.04075541169367769
1,Tianjin,12,0.33102880516208155,0.05744484942254813,0.046349380176667565
1,Tianjin,24,0.12039992689198231,0.021032406872644183,0.025068716525473378
2,Shijiazhuang,3,0.8302502002838503,0.01519139405959713,0.0039163121370358045
2,Shijiazhuang,6,0.644090039351173,0.033386279176983225,0.007928010793755491
2,Shijiazhuang,12,0.4240495438901125,0.022396491324601198,0.004412088317463425
2,Shijiazhuang,24,0.24081407909592423,0.0031303430111707664,0.00012837846143021192
3,Tangshan,3,0.7837928116692767,0.02991667211697724,0.024457553725643844
3,Tangshan,6,0.579590928902023,0.0713809090874602,0.06168585762993939
3,Tangshan,12,0.3493962808674108,0.06559985642289223,0.0637888678062617
3,Tangshan,24,0.16174726509176907,0.006656554308011375,0.011095038138660973
4,Qinhuangdao,3,0.8092860624704231,0.01696678967770804,0.014173166303107054
4,Qinhuangdao,6,0.6020374595718401,0.045286264357059736,0.03720521262263077
4,Qinhuangdao,12,0.33940776436407594,0.0595194511471514,0.04886755534393172
4,Qinhuangdao,24,0.12184946763250981,0.019852475508781886,0.017203570849762873
5,Handan,3,0.7609773205146173,0.01488268382215352,0.005582605303390276
5,Handan,6,0.5448420257789679,0.02135285922552632,0.008330733397783563
5,Handan,12,0.3276522512543055,0.00558685333540998,0.0011830446375942216
5,Handan,24,0.19647789017588468,0.002484578480473121,0.0019039752681163646
6,Baoding,3,0.7946610613373577,0.019449788983510463,0.010809500629421431
6,Baoding,6,0.5753240426263044,0.05141359557280811,0.031118474777366623
6,Baoding,12,0.33878731709589793,0.0408110452434961,0.028877736047915437
6,Baoding,24,0.19026252903472995,0.0014002967598751859,0.0010391400310626464
7,Zhangjiakou,3,0.6425426743981688,0.009952379522711219,0.012206994096405355
7,Zhangjiakou,6,0.43283751570130613,0.027746921624518195,0.02874620721924548
7,Zhangjiakou,12,0.25323173595944315,0.04619468199865939,0.03939543267562462
7,Zhangjiakou,24,0.11280928415244507,0.016588049759376222,0.020461507152851
8,Chengde,3,0.785522155384841,0.0021421431490759035,0.005413882801331482
8,Chengde,6,0.5905512444055846,0.00579614574848486,0.013536148880302634
8,Chengde,12,0.37857762972608855,-0.0013206880427387713,0.014923742308347365
8,Chengde,24,0.15534723617773627,-0.00804919915239477,0.009316284901823013
9,Langfang,3,0.7928009990668641,0.03094437149123297,0.009932316411192632
9,Langfang,6,0.5986822233643931,0.05548051239956786,0.01680894621446183
9,Langfang,12,0.34494736223032296,0.04262027272337654,0.01191792243956502
9,Langfang,24,0.13243360108322844,0.008724605258604634,0.002270252988186283
10,Cangzhou,3,0.7504182206102084,0.032262230269035186,0.022186172764273482
10,Cangzhou,6,0.5293856827976633,0.07070975340260688,0.050029680600023996
10,Cangzhou,12,0.3015136530976157,0.054328854789921666,0.047230599932480355
10,Cangzhou,24,0.12444992242112629,0.013765238908832855,0.01947507200849108
11,Hengshui,3,0.7598733991462208,0.02736022378226588,0.017412053068740274
11,Hengshui,6,0.5453275322445084,0.061487174450195914,0.03857895611078199
11,Hengshui,12,0.31395474426189496,0.059571657214299245,0.04034360744554977
11,Hengshui,24,0.1533658248881571,0.023065764491827845,0.024786967690678674
12,Xingtai,3,0.780048292919456,0.01851882150019779,0.009448553582485308
12,Xingtai,6,0.5656687473545472,0.04045930718128665,0.021588415808581063
12,Xingtai,12,0.3544113829979977,0.035935382690293505,0.022770269095636064
12,Xingtai,24,0.20576698180169517,0.009919974890760463,0.0057663713720335075
13,Taiyuan,3,0.732232561530228,0.010604041080342408,0.007886220118709764
13,Taiyuan,6,0.5107136225605412,0.021389565831680613,0.019501997236087365
13,Taiyuan,12,0.2690617822627377,0.022358093755157182,0.024001521990136054
13,Taiyuan,24,0.09150481335499017,0.011818184425148814,0.01372229573296102
14,Huhehaote,3,0.7605154400072615,-0.0018922956746683095,0.003055570885847625
14,Huhehaote,6,0.5346087809395699,-0.0020632364933667047,0.008451271065878174
14,Huhehaote,12,0.2899915005993279,-0.000917339017915686,0.010702545000643715
14,Huhehaote,24,0.09150336586231567,-0.0002466315083267112,0.003176954073281002
15,Dalian,3,0.7993168213651016,0.01456227548556599,0.006027849087957504
15,Dalian,6,0.5950904038611118,0.039558544307954024,0.01917290116501169
15,Dalian,12,0.35903110347725253,0.051596728462622976,0.025565465160907408
15,Dalian,24,0.15525602787265047,0.02463302458412797,0.008747721385775176
16,Shanghai,3,0.8318047367005902,0.010273782668534515,0.010388392704569038
16,Shanghai,6,0.6414880299426662,0.005207327445669874,0.01568567021354239
16,Shanghai,12,0.3973130435306801,-0.003053477669612281,0.007415221230758551
16,Shanghai,24,0.18648744812197027,-0.0070806558904009664,0.000334786012946342
17,Nanjing,3,0.7753547732796905,0.02567711253892846,0.016276519003309065
17,Nanjing,6,0.5881369839617049,0.03002078079798831,0.022140817825527126
17,Nanjing,12,0.3963578198813502,0.011232156311839603,0.010526298894811825
17,Nanjing,24,0.2371956506951307,0.0002993697793080008,4.9172605941727454e-05
18,Suzhou,3,0.8048671993649589,0.006723946500431066,0.006489511219346045
18,Suzhou,6,0.629161350607506,0.00961765236044898,0.007379551905441373
18,Suzhou,12,0.41216598464962484,0.0031719471589534143,0.0017491179520785494
18,Suzhou,24,0.23461895432022295,0.0006244491395026586,0.0016663215765595485
19,Nantong,3,0.7579356302039744,-0.004296068427508182,0.0017172284172961572
19,Nantong,6,0.5426638152032038,-0.018339394443557033,0.0028958308479961614
19,Nantong,12,0.3195917382607839,-0.038456582724859634,0.0013543920516849717
19,Nantong,24,0.15757592615388494,-0.021668785224407183,-5.86180862046648e-05
20,Lianyungang,3,0.6842983064271835,0.025490479048972503,0.014996857278484765
20,Lianyungang,6,0.4722560343615645,0.02880214874104081,0.019828404722351256
20,Lianyungang,12,0.2455426506690066,0.011661128291773237,0.010004480940052463
20,Lianyungang,24,0.09820170569558773,-0.0018052334247132817,9.079404691147985e-05
21,Xuzhou,3,0.7699103591329544,0.01899418572555167,0.008687944300498351
21,Xuzhou,6,0.5576816586548352,0.037172128198245,0.016586559943722712
21,Xuzhou,12,0.3379679138353302,0.022345758356438372,0.009453849609456277
21,Xuzhou,24,0.17947134484882366,0.0036201178869476047,5.5550666457904185e-05
22,Yangzhou,3,0.7283397629555324,-0.0139495298361616,0.004087844032532262
22,Yangzhou,6,0.535674937010308,-0.019119700119073935,0.004239501485697961
