lead_hour,metric,spearman_with_latitude,spearman_with_longitude
3,pm_history_adjusted_r2,-0.3743156556413862,-0.11394887403440504
3,past_weather_r2_gain,0.7099612798828764,0.1753231492361927
3,realized_future_weather_r2_gain,0.710225193118992,0.31637225250910206
24,pm_history_adjusted_r2,-0.5966577411338637,-0.4387374544894146
24,past_weather_r2_gain,0.05641964130916376,0.12222650305330277
24,realized_future_weather_r2_gain,0.5535088902159465,0.48546358189979
48,pm_history_adjusted_r2,-0.6236924736568357,-0.4825817264163665
48,past_weather_r2_gain,-0.605112596559496,-0.14806303095682996
48,realized_future_weather_r2_gain,0.48364508485677404,0.4728265685500183
72,pm_history_adjusted_r2,-0.5845832289880757,-0.4231858372984531
72,past_weather_r2_gain,-0.7200612586927626,-0.14509448864402535
72,realized_future_weather_r2_gain,0.452148870181657,0.4482961222091657
