station_index,station,history_type,history_span,future_type,future_horizon,spearman_distance_rho
0,Beijing,pm_only,recent24,pm,day1,0.3967928671982168
0,Beijing,pm_only,recent24,weather,day1,0.1074451768612942
0,Beijing,pm_only,recent24,joint,day1,0.18107055026763755
0,Beijing,pm_only,recent24,pm,day3,0.09526058831514708
0,Beijing,pm_only,recent24,weather,day3,-0.02373189293297323
0,Beijing,pm_only,recent24,joint,day3,-0.006024811506202876
0,Beijing,pm_only,recent24,pm,full72,0.2821267530316882
0,Beijing,pm_only,recent24,weather,full72,0.03132190833047708
0,Beijing,pm_only,recent24,joint,full72,0.08364272091068023
0,Beijing,weather_only,recent24,pm,day1,0.14017797954449487
0,Beijing,weather_only,recent24,weather,day1,0.4099585249896312
0,Beijing,weather_only,recent24,joint,day1,0.39984489396122347
0,Beijing,weather_only,recent24,pm,day3,-0.008625374156343539
0,Beijing,weather_only,recent24,weather,day3,0.06832507108126776
0,Beijing,weather_only,recent24,joint,day3,0.05614676303669075
0,Beijing,weather_only,recent24,pm,full72,0.03332009033002258
0,Beijing,weather_only,recent24,weather,full72,0.24557227789306946
0,Beijing,weather_only,recent24,joint,full72,0.23051866412966598
0,Beijing,joint,recent24,pm,day1,0.2130798532699633
0,Beijing,joint,recent24,weather,day1,0.3943211125802781
0,Beijing,joint,recent24,joint,day1,0.4034853768713442
0,Beijing,joint,recent24,pm,day3,0.01223151755787939
0,Beijing,joint,recent24,weather,day3,0.05480718470179617
0,Beijing,joint,recent24,joint,day3,0.04787524346881087
0,Beijing,joint,recent24,pm,full72,0.09086381421595355
0,Beijing,joint,recent24,weather,full72,0.22693226223306553
0,Beijing,joint,recent24,joint,full72,0.226178428044607
0,Beijing,pm_only,full72,pm,day1,0.2441741845435461
0,Beijing,pm_only,full72,weather,day1,0.03937367484341871
0,Beijing,pm_only,full72,joint,day1,0.09021190055297514
0,Beijing,pm_only,full72,pm,day3,0.1140279405069851
0,Beijing,pm_only,full72,weather,day3,-0.04997395249348813
0,Beijing,pm_only,full72,joint,day3,-0.025357078839269707
0,Beijing,pm_only,full72,pm,full72,0.22903794625948656
0,Beijing,pm_only,full72,weather,full72,-0.03296528774132193
0,Beijing,pm_only,full72,joint,full72,0.013261150815287703
0,Beijing,weather_only,full72,pm,day1,0.028887229221807306
0,Beijing,weather_only,full72,weather,day1,0.2630652027663007
0,Beijing,weather_only,full72,joint,day1,0.24226103906525975
0,Beijing,weather_only,full72,pm,day3,-0.052860031215007805
0,Beijing,weather_only,full72,weather,day3,0.02968319992079998
0,Beijing,weather_only,full72,joint,day3,0.010546922636730658
0,Beijing,weather_only,full72,pm,full72,-0.06120186180046545
0,Beijing,weather_only,full72,weather,full72,0.12918597829649459
0,Beijing,weather_only,full72,joint,full72,0.1056645444161361
0,Beijing,joint,full72,pm,day1,0.07395426948856737
0,Beijing,joint,full72,weather,day1,0.24563689790922444
0,Beijing,joint,full72,joint,day1,0.23799675999919
0,Beijing,joint,full72,pm,day3,-0.02770529492632373
0,Beijing,joint,full72,weather,day3,0.015335259833814958
0,Beijing,joint,full72,joint,day3,0.0024441876110469023
0,Beijing,joint,full72,pm,full72,-0.013185486296371573
0,Beijing,joint,full72,weather,full72,0.10938888934722232
0,Beijing,joint,full72,joint,full72,0.0973964703491176
1,Tianjin,pm_only,recent24,pm,day1,0.34259437664859416
1,Tianjin,pm_only,recent24,weather,day1,0.08076578469144617
1,Tianjin,pm_only,recent24,joint,day1,0.1530567607641902
1,Tianjin,pm_only,recent24,pm,day3,0.07639195759798939
1,Tianjin,pm_only,recent24,weather,day3,-0.020954100738525182
1,Tianjin,pm_only,recent24,joint,day3,0.005060107265026816
1,Tianjin,pm_only,recent24,pm,full72,0.2500056580014145
1,Tianjin,pm_only,recent24,weather,full72,0.030184339546084883
1,Tianjin,pm_only,recent24,joint,full72,0.07985156746289186
1,Tianjin,weather_only,recent24,pm,day1,0.061936747984186996
1,Tianjin,weather_only,recent24,weather,day1,0.41918258379564594
1,Tianjin,weather_only,recent24,joint,day1,0.3960118620029655
1,Tianjin,weather_only,recent24,pm,day3,0.007731849432962358
1,Tianjin,weather_only,recent24,weather,day3,0.08957801539450384
1,Tianjin,weather_only,recent24,joint,day3,0.08164594741148685
1,Tianjin,weather_only,recent24,pm,full72,0.0038127339531834883
1,Tianjin,weather_only,recent24,weather,full72,0.25441235310308824
1,Tianjin,weather_only,recent24,joint,full72,0.234109464027366
1,Tianjin,joint,recent24,pm,day1,0.13184001146000288
1,Tianjin,joint,recent24,weather,day1,0.4010104137526034
1,Tianjin,joint,recent24,joint,day1,0.3982619315654829
1,Tianjin,joint,recent24,pm,day3,0.02801514700378675
1,Tianjin,joint,recent24,weather,day3,0.0729396452349113
1,Tianjin,joint,recent24,joint,day3,0.07343443985860997
1,Tianjin,joint,recent24,pm,full72,0.06253380213345053
1,Tianjin,joint,recent24,weather,full72,0.23665652766413192
1,Tianjin,joint,recent24,joint,full72,0.23150354337588586
1,Tianjin,pm_only,full72,pm,day1,0.2667704076926019
1,Tianjin,pm_only,full72,weather,day1,0.04807206451801613
