pm_component,lead_hour,pm_mode_explained_variance,pm_history_adjusted_r2,past_weather_mode_r2_gain,future_weather_mode_r2_gain
1,3,0.2563627887020957,0.9536939195736992,0.008515413298214258,0.014771817020524658
2,3,0.1136884535597657,0.9379078796232856,0.009945280741121332,0.014882836426826751
3,3,0.06983976057362848,0.9201689897980609,0.010644077895167081,0.018701888989715587
4,3,0.043029399006877696,0.9093048875986354,0.005784432541889539,0.007030768523467845
5,3,0.03896744872663853,0.8874879243264716,0.008599165735017844,0.010295789797135746
1,24,0.2563627887020957,0.5162638903295131,0.13559612029675638,0.21653697623571777
2,24,0.1136884535597657,0.3074383615926378,0.17360155905645547,0.3339393302203454
3,24,0.06983976057362848,0.33198190208021383,0.06860932515489138,0.21332039531489222
4,24,0.043029399006877696,0.23237145081038957,0.09077503833600953,0.18587824415934762
5,24,0.03896744872663853,0.15164659553265813,0.1151668626748682,0.22062279526215578
1,48,0.2563627887020957,0.15237410441399946,0.1777916836313026,0.389644284731522
2,48,0.1136884535597657,0.036864545892090206,0.09352157937848549,0.49462000948207985
3,48,0.06983976057362848,0.10026382665855604,0.08032542628928563,0.3088389647566654
4,48,0.043029399006877696,0.060577370291337806,0.09128858284212749,0.2692267601251954
5,48,0.03896744872663853,0.03972523297141173,0.07012917187879508,0.2459613903674338
1,72,0.2563627887020957,0.04298514278155119,0.17640332894947586,0.42889416090504917
2,72,0.1136884535597657,0.005664570638212796,0.03187855344915613,0.5165294244436383
3,72,0.06983976057362848,0.050022854973259756,0.07332501616475162,0.3250075814078741
4,72,0.043029399006877696,0.021829080476945983,0.06819466239272343,0.29042091964391326
5,72,0.03896744872663853,0.023979984268642673,0.03719568737771095,0.24920251041358354
