past_feature,future_feature,lead_hour,raw_median,raw_q25,raw_q75,raw_n,partial_control_target_now_median,partial_control_target_now_q25,partial_control_target_now_q75,partial_control_target_now_n
pm,pm,3,0.8720582235572534,0.8480068349561969,0.8926488130716852,184,,,,0
pm,temperature,3,0.23928047263526622,0.18511655834044127,0.28842528188690275,184,0.10114638864780243,0.07483498159760169,0.12448023020725527,184
pm,pressure,3,-0.17475474044074663,-0.2498894926871803,-0.11383352890387706,184,-0.02043534378051537,-0.08034241463065722,0.029399711018614258,184
pm,rh950,3,-0.030623859147360873,-0.16982995507886628,0.18391238732090365,184,0.018858216830303465,-0.004298053206294806,0.0427595815486627,184
pm,wind_speed,3,-0.17819014943736183,-0.23041714343009606,-0.11227459487761349,184,0.013208549155031528,-0.009221499685371785,0.041070163187336146,184
pm,wind_u,3,-0.01442797700218415,-0.08969896417634826,0.06463131154935306,184,-0.02950568979219294,-0.06291928161891891,-0.0023253717178959967,184
pm,wind_v,3,0.14456074385396517,0.06998490166442958,0.22692429497039668,184,-0.036330151945833986,-0.06764835517565158,-0.0026310590073806888,184
pm,pbl,3,-0.1465304787244519,-0.20117324280289528,-0.10006279760335735,184,-0.02622053839865318,-0.04432550375222073,-0.008145547192557088,184
pm,ventilation,3,-0.19127752435118336,-0.24070869408369203,-0.1443211468129848,184,-0.0034447674544915963,-0.017906299251078943,0.013382343579641992,184
pm,log_precipitation,3,-0.09633304678158489,-0.15539050742404914,-0.04908299642594365,184,-0.015069266544406051,-0.03642843010002174,0.007123563672169185,184
temperature,pm,3,0.19696909551548206,0.1484081893772729,0.25980677836301047,184,0.026111866343668154,-0.0005495853593624556,0.05565781644272388,184
temperature,temperature,3,0.9292860767232882,0.9211726387461971,0.9333882882174769,184,,,,0
temperature,pressure,3,-0.5636818441707685,-0.5802971190239479,-0.5206495409380287,184,-0.043733667119663394,-0.08007198540417236,-0.006563854961055401,184
temperature,rh950,3,-0.07729552927732596,-0.16907406662258914,0.012377067407401679,184,0.05293820793569027,0.028321969563375952,0.06525273093306402,184
temperature,wind_speed,3,0.032571579396818096,-0.014266802103947462,0.09220781848967588,184,0.08896286982667255,0.07597369914066027,0.1029804863685483,184
temperature,wind_u,3,-0.0226643654254145,-0.06565401528652916,0.05144450472619205,184,-0.06007895518865016,-0.07950225567400432,-0.03879801002727169,184
temperature,wind_v,3,0.26591905409821537,0.18912100171982402,0.3009665650842186,184,-0.03852033720043228,-0.05750271173290972,-0.011593717158430245,184
temperature,pbl,3,0.051462277513830236,-0.01624691461599555,0.1365515877795467,184,-0.01657524422395842,-0.06473145485031559,0.026780884529583212,184
temperature,ventilation,3,0.0010234997998199904,-0.053856212889973595,0.06944852962685272,184,0.004174457133147497,-0.015086258694186783,0.03478352807043265,184
