future_day,max_leaf_nodes,min_samples_leaf,rule,confidence,train_tail_mae
1,7,100,hard,0.0,16.715360641479492
1,7,100,hard,0.4,16.683326721191406
1,7,100,hard,0.5,16.594436645507812
1,7,100,hard,0.6,16.596153259277344
1,7,100,soft,0.0,16.663618812341305
1,7,100,soft,0.4,16.65522698282307
1,7,100,soft,0.5,16.613105974690082
1,7,100,soft,0.6,16.594103797010003
1,7,300,hard,0.0,16.737110137939453
1,7,300,hard,0.4,16.704875946044922
1,7,300,hard,0.5,16.598920822143555
1,7,300,hard,0.6,16.59895133972168
1,7,300,soft,0.0,16.66359244049619
1,7,300,soft,0.4,16.65423844991197
1,7,300,soft,0.5,16.609593040954405
1,7,300,soft,0.6,16.597969645020772
1,15,100,hard,0.0,16.910451889038086
1,15,100,hard,0.4,16.8429012298584
1,15,100,hard,0.5,16.61678123474121
1,15,100,hard,0.6,16.596553802490234
1,15,100,soft,0.0,16.692627598727185
1,15,100,soft,0.4,16.677321188008516
1,15,100,soft,0.5,16.618065965359346
1,15,100,soft,0.6,16.59702089710162
1,15,300,hard,0.0,16.891845703125
1,15,300,hard,0.4,16.82390785217285
1,15,300,hard,0.5,16.62099266052246
1,15,300,hard,0.6,16.59808349609375
1,15,300,soft,0.0,16.666713106731596
1,15,300,soft,0.4,16.65407329417315
1,15,300,soft,0.5,16.60957966193868
1,15,300,soft,0.6,16.596785749580604
2,7,100,hard,0.0,22.420976638793945
2,7,100,hard,0.4,21.542011260986328
2,7,100,hard,0.5,20.846782684326172
2,7,100,hard,0.6,20.735687255859375
2,7,100,soft,0.0,21.059458331532213
2,7,100,soft,0.4,20.949242545479244
2,7,100,soft,0.5,20.72236625004967
2,7,100,soft,0.6,20.70898394425966
2,7,300,hard,0.0,22.624149322509766
2,7,300,hard,0.4,21.737380981445312
2,7,300,hard,0.5,20.857994079589844
2,7,300,hard,0.6,20.73857307434082
2,7,300,soft,0.0,21.091596777414786
2,7,300,soft,0.4,20.98492983416998
2,7,300,soft,0.5,20.714898099731936
2,7,300,soft,0.6,20.705128030223186
2,15,100,hard,0.0,22.840335845947266
2,15,100,hard,0.4,21.935766220092773
2,15,100,hard,0.5,20.901809692382812
2,15,100,hard,0.6,20.735591888427734
2,15,100,soft,0.0,21.04337291918046
2,15,100,soft,0.4,20.9632157601141
2,15,100,soft,0.5,20.728974276534537
2,15,100,soft,0.6,20.70555322965689
2,15,300,hard,0.0,23.19087028503418
2,15,300,hard,0.4,22.24444007873535
2,15,300,hard,0.5,20.9427490234375
2,15,300,hard,0.6,20.74753189086914
2,15,300,soft,0.0,21.11909736124392
2,15,300,soft,0.4,21.03495231174975
2,15,300,soft,0.5,20.746725952868314
2,15,300,soft,0.6,20.70724480721759
3,7,100,hard,0.0,26.855131149291992
3,7,100,hard,0.4,25.780485153198242
3,7,100,hard,0.5,23.167980194091797
3,7,100,hard,0.6,22.573638916015625
3,7,100,soft,0.0,22.49093373630081
3,7,100,soft,0.4,22.426226371992296
3,7,100,soft,0.5,22.514898043653083
3,7,100,soft,0.6,22.555595137763245
3,7,300,hard,0.0,26.77494239807129
3,7,300,hard,0.4,25.73634910583496
3,7,300,hard,0.5,23.16483497619629
3,7,300,hard,0.6,22.573755264282227
3,7,300,soft,0.0,22.479550641529546
3,7,300,soft,0.4,22.43037911857511
3,7,300,soft,0.5,22.50987796391815
3,7,300,soft,0.6,22.555312190848255
3,15,100,hard,0.0,26.77264976501465
3,15,100,hard,0.4,25.8583984375
3,15,100,hard,0.5,23.45631980895996
3,15,100,hard,0.6,22.610118865966797
3,15,100,soft,0.0,22.504857724544554
3,15,100,soft,0.4,22.46704992392715
3,15,100,soft,0.5,22.50897176809886
3,15,100,soft,0.6,22.53574668880037
3,15,300,hard,0.0,26.85040283203125
3,15,300,hard,0.4,25.92184829711914
3,15,300,hard,0.5,23.445009231567383
3,15,300,hard,0.6,22.631942749023438
3,15,300,soft,0.0,22.50987748105578
3,15,300,soft,0.4,22.484092676249674
3,15,300,soft,0.5,22.509804067479386
3,15,300,soft,0.6,22.555179712693104
