representation,past_feature,future_feature,median,q25,q75
raw,temperature_c,temperature_c,0.9536089225751705,0.9472838435304466,0.9594286098864095
raw,temperature_c,pressure_hpa,-0.859460014916041,-0.8713420987342874,-0.8289842495802896
raw,temperature_c,rh950_percent,0.30192890995954935,0.1930064515793627,0.3789015175725857
raw,temperature_c,wind_speed_ms,-0.030218992192912617,-0.08597392875181288,0.04415960876156808
raw,temperature_c,wind_u_ms,-0.18088910599828287,-0.3124723797347669,-0.0301556600811046
raw,temperature_c,wind_v_ms,0.24372240496585434,0.16581341607576608,0.3154741665304355
raw,pressure_hpa,temperature_c,-0.8530833122479794,-0.8662816875243655,-0.8206267544425995
raw,pressure_hpa,pressure_hpa,0.8649392502571127,0.8252910308171366,0.8795842382049585
raw,pressure_hpa,rh950_percent,-0.28543778110154383,-0.3440291175700539,-0.178792276315443
raw,pressure_hpa,wind_speed_ms,0.0018521500107917847,-0.11126307269447998,0.04849253938042691
raw,pressure_hpa,wind_u_ms,0.17619922442116684,0.06156349635961817,0.2866876646944677
raw,pressure_hpa,wind_v_ms,-0.1896263732663216,-0.2906596750800315,-0.09463847612317619
raw,rh950_percent,temperature_c,0.16624952423799333,0.06241295781523964,0.26915469675804565
raw,rh950_percent,pressure_hpa,-0.14871101960701688,-0.22487395631539164,-0.03054671942214866
raw,rh950_percent,rh950_percent,0.4972864466894049,0.4108622983377038,0.5773484680679151
raw,rh950_percent,wind_speed_ms,-0.0785049060795645,-0.19549934190840132,-0.019791972308274758
raw,rh950_percent,wind_u_ms,-0.07264560438074935,-0.13734760461073275,0.032307111558765214
raw,rh950_percent,wind_v_ms,-0.1300788623799666,-0.18019034275849957,-0.019080170379365442
raw,wind_speed_ms,temperature_c,-0.10711490121546971,-0.1427313437121005,-0.05243610036116854
raw,wind_speed_ms,pressure_hpa,0.060457820413340066,0.001171255224316366,0.10559894472993742
raw,wind_speed_ms,rh950_percent,-0.12028263529193131,-0.2231074724531569,-0.004049360894170807
raw,wind_speed_ms,wind_speed_ms,0.17682699516373737,0.12132499179943218,0.26028417257919634
raw,wind_speed_ms,wind_u_ms,0.08070769776665213,0.031049347110185067,0.11734595164743146
raw,wind_speed_ms,wind_v_ms,-0.010340235760182104,-0.07370641773272042,0.04315097636869338
raw,wind_u_ms,temperature_c,-0.09241312876487259,-0.23506749699488874,0.038719939656791116
raw,wind_u_ms,pressure_hpa,0.0757259074773986,-0.04538582558833446,0.19736150824778348
raw,wind_u_ms,rh950_percent,-0.3366162791318613,-0.3859303869259302,-0.23885595589287878
raw,wind_u_ms,wind_speed_ms,0.003247580736444157,-0.10558968110641462,0.13139461084889173
raw,wind_u_ms,wind_u_ms,0.1645429990456258,0.1116954594489957,0.22899864838123796
raw,wind_u_ms,wind_v_ms,0.11613411750395738,0.03193644065193129,0.22494506338471867
raw,wind_v_ms,temperature_c,0.3894376586745636,0.3133458014818523,0.4364000543320029
raw,wind_v_ms,pressure_hpa,-0.41481672910324796,-0.47425000498381614,-0.3176916315751325
raw,wind_v_ms,rh950_percent,0.12838641778732796,0.045615801792777855,0.20799093626797957
raw,wind_v_ms,wind_speed_ms,0.09876041375539402,0.03103225123109647,0.16605098297117657
raw,wind_v_ms,wind_u_ms,-0.09480760099803717,-0.17298426750870927,-0.0017236882775473667
raw,wind_v_ms,wind_v_ms,0.2333928851553961,0.12951865567197654,0.3182713965753039
anomaly,temperature_c,temperature_c,0.3953686117521237,0.38038813587421105,0.4265454834427833
anomaly,temperature_c,pressure_hpa,-0.2655150027318645,-0.3158877674759437,-0.2299575078178328
anomaly,temperature_c,rh950_percent,0.15272735366163165,0.09465678895065788,0.19891304255427142
anomaly,temperature_c,wind_speed_ms,0.13637732459868684,0.07470669336877098,0.17520505881751353
anomaly,temperature_c,wind_u_ms,-0.15378142327747943,-0.19771050576758042,-0.11193192502263916
anomaly,temperature_c,wind_v_ms,-0.09416015930867083,-0.13823546787302984,-0.043327015928532144
anomaly,pressure_hpa,temperature_c,-0.06558507219341993,-0.0925588547920223,-0.027514983771427633
anomaly,pressure_hpa,pressure_hpa,0.23719708504238762,0.1986731991371833,0.2760498561777346
anomaly,pressure_hpa,rh950_percent,-0.21975568016725164,-0.29973697032102287,-0.11287650912387492
anomaly,pressure_hpa,wind_speed_ms,-0.105629753891839,-0.19214809754619108,-0.0584228027198514
anomaly,pressure_hpa,wind_u_ms,0.15066333566519924,0.09805625676026991,0.22680034975416177
anomaly,pressure_hpa,wind_v_ms,0.23275678047114617,0.19282610911388195,0.3013549182152809
anomaly,rh950_percent,temperature_c,-0.22240996946700903,-0.3028937639154905,-0.1374482183180165
anomaly,rh950_percent,pressure_hpa,0.07913990133791594,0.022793570887775293,0.11472694513116026
anomaly,rh950_percent,rh950_percent,0.34938139283156955,0.29460294252767716,0.3956263358990132
