feature,representation,predictor,lead_hour,median,q25,q75
temperature_c,raw,last_value,3,0.9664857162264564,0.9627706810635067,0.9702304525141844
temperature_c,raw,past_72h_mean,3,0.9212391552762281,0.9157217176719232,0.9258160317611694
temperature_c,raw,last_value,6,0.9018158214406049,0.8902419114282409,0.9120159853722333
temperature_c,raw,past_72h_mean,6,0.917052113051571,0.9120212083325256,0.9221207272108807
temperature_c,raw,last_value,9,0.8460033786099499,0.8263845849344206,0.8616807634834809
temperature_c,raw,past_72h_mean,9,0.9132747051726815,0.9083783561148966,0.9190084376091335
temperature_c,raw,last_value,12,0.8224508317345716,0.7997903645865815,0.8403801997962965
temperature_c,raw,past_72h_mean,12,0.9102997527392032,0.9057506833274909,0.9166246833898646
temperature_c,raw,last_value,15,0.8366176834674905,0.8176791518998576,0.8526539446134652
temperature_c,raw,past_72h_mean,15,0.9076561137276434,0.9033846654091466,0.9140702746415396
temperature_c,raw,last_value,18,0.8814102741504348,0.8704244371266772,0.891722556932607
temperature_c,raw,past_72h_mean,18,0.9052877598286453,0.9006329781482081,0.9113979725020962
temperature_c,raw,last_value,21,0.933454880339918,0.9275859013867406,0.9382001660591919
temperature_c,raw,past_72h_mean,21,0.9027915483307858,0.8977574794360087,0.9090295924112746
temperature_c,raw,last_value,24,0.956015423458313,0.9536353172629342,0.9589817536717773
temperature_c,raw,past_72h_mean,24,0.8999586063025697,0.8948969586687407,0.9067877730469127
temperature_c,raw,last_value,27,0.9253619513689277,0.9205113163247312,0.9290803926171297
temperature_c,raw,past_72h_mean,27,0.8973680709651982,0.891907180141674,0.9045138282596639
temperature_c,raw,last_value,30,0.8663292663604464,0.8562891069941971,0.8754192150002829
temperature_c,raw,past_72h_mean,30,0.8951748520774963,0.8891028561021092,0.9021411228397114
temperature_c,raw,last_value,33,0.816513327172789,0.7993576469026779,0.8306468289809733
temperature_c,raw,past_72h_mean,33,0.8930841359670282,0.8868101401286311,0.9000932204537546
temperature_c,raw,last_value,36,0.7952761644391485,0.7764672523006931,0.8116390769539991
temperature_c,raw,past_72h_mean,36,0.891124639081712,0.8848624503706505,0.8981231276747421
temperature_c,raw,last_value,39,0.8088670387683059,0.7930053105508834,0.8232972035227895
temperature_c,raw,past_72h_mean,39,0.8894118225551892,0.883244850438327,0.8965522904171136
temperature_c,raw,last_value,42,0.8516528718570122,0.8405214149463754,0.8596571424861461
temperature_c,raw,past_72h_mean,42,0.887684990856163,0.8820058590572711,0.8949931877782625
temperature_c,raw,last_value,45,0.8994853763409298,0.8956530625448201,0.906738248060077
temperature_c,raw,past_72h_mean,45,0.8862325923535622,0.8806730657334001,0.893338075835081
temperature_c,raw,last_value,48,0.9238121706235952,0.9184602246723991,0.9305352070982396
temperature_c,raw,past_72h_mean,48,0.8848106585380058,0.8791712132394539,0.8916602494517332
temperature_c,raw,last_value,51,0.8951176110638509,0.8907662547816476,0.9016040055587884
temperature_c,raw,past_72h_mean,51,0.8835451063061404,0.8773256166404133,0.890307527411917
temperature_c,raw,last_value,54,0.8414747485344953,0.8310076278902797,0.8501702839472582
temperature_c,raw,past_72h_mean,54,0.8821542847859083,0.8760451846304318,0.8889328075514589
temperature_c,raw,last_value,57,0.7954581441683732,0.7788158854697318,0.806631832237092
temperature_c,raw,past_72h_mean,57,0.8808256535473641,0.8746242642778064,0.888022270701306
temperature_c,raw,last_value,60,0.7753244667082027,0.7573707333700366,0.7896138974068421
temperature_c,raw,past_72h_mean,60,0.8796862496868466,0.8737287775602447,0.8871968073644085
temperature_c,raw,last_value,63,0.7912332190661078,0.7748597441558995,0.802842961113787
temperature_c,raw,past_72h_mean,63,0.8787801395314788,0.8726050792008274,0.8864164898234748
temperature_c,raw,last_value,66,0.8312270532227677,0.8218293997926752,0.8422538256779907
temperature_c,raw,past_72h_mean,66,0.8777293857871626,0.8716317094342079,0.885691356126974
temperature_c,raw,last_value,69,0.8816019035870842,0.8755263273725449,0.8894033359226445
temperature_c,raw,past_72h_mean,69,0.876873182720247,0.8704119070806654,0.8849979617615459
temperature_c,raw,last_value,72,0.9067659502739546,0.8978334079276674,0.9161242785205221
temperature_c,raw,past_72h_mean,72,0.8759326395532341,0.8693550921868853,0.8843107187862732
temperature_c,anomaly,last_value,3,0.9288668061230101,0.9207398575846297,0.9331896033001748
temperature_c,anomaly,past_72h_mean,3,0.6075751087500352,0.593496711464924,0.6205237356441342
temperature_c,anomaly,last_value,6,0.8158392598459704,0.800425919576993,0.8285408690583964
temperature_c,anomaly,past_72h_mean,6,0.5692200432565907,0.5533684860384824,0.5830053939075595
temperature_c,anomaly,last_value,9,0.7201689021877926,0.6969927927893423,0.7406364562742984
temperature_c,anomaly,past_72h_mean,9,0.5355368277559697,0.5175733533419713,0.5486856661144497
temperature_c,anomaly,last_value,12,0.663250651087846,0.6360751284797654,0.6847908691271967
temperature_c,anomaly,past_72h_mean,12,0.5055731181191614,0.48662056327959247,0.5187216792420767
temperature_c,anomaly,last_value,15,0.6464266082243385,0.6205170543277443,0.6607958408629548
temperature_c,anomaly,past_72h_mean,15,0.4783119275355334,0.45937828288249005,0.49205837699663524
temperature_c,anomaly,last_value,18,0.6527279344494653,0.6317156993964884,0.6673119311538741
temperature_c,anomaly,past_72h_mean,18,0.45016747125914186,0.4324697325689726,0.4671402209756192
temperature_c,anomaly,last_value,21,0.6624387497959556,0.6375877903931946,0.6781590261273907
temperature_c,anomaly,past_72h_mean,21,0.4212534708182658,0.4048801861259662,0.43896904773615364
temperature_c,anomaly,last_value,24,0.6462909781961163,0.6235371668108597,0.6657953699977489
temperature_c,anomaly,past_72h_mean,24,0.3909571545775222,0.3762220620439369,0.4110184135872478
temperature_c,anomaly,last_value,27,0.5919079372916021,0.5712452122714767,0.6111595688068958
temperature_c,anomaly,past_72h_mean,27,0.3604705219999019,0.3472149131079396,0.385373264887378
temperature_c,anomaly,last_value,30,0.5257142240922964,0.509028376907922,0.5426467188641085
temperature_c,anomaly,past_72h_mean,30,0.3337596809246116,0.3199890317286838,0.36087028015171246
temperature_c,anomaly,last_value,33,0.46966221556055654,0.45007783222444503,0.4841123749787867
temperature_c,anomaly,past_72h_mean,33,0.31127070129904105,0.29699483854092446,0.33862767188322124
temperature_c,anomaly,last_value,36,0.42843746830875495,0.41277960733554453,0.4474807329523157
temperature_c,anomaly,past_72h_mean,36,0.2905267154328817,0.2762562258469735,0.31907456598729406
temperature_c,anomaly,last_value,39,0.40741312811860414,0.3895571518384374,0.42535714837327465
temperature_c,anomaly,past_72h_mean,39,0.2704713375755381,0.2567072267153495,0.3014593073374028
temperature_c,anomaly,last_value,42,0.3994398976823112,0.3785273062142388,0.4153017426717668
temperature_c,anomaly,past_72h_mean,42,0.2523251370513506,0.2377434416308672,0.28515194496787066
temperature_c,anomaly,last_value,45,0.3933451776329523,0.3698101476932262,0.4085992305383368
temperature_c,anomaly,past_72h_mean,45,0.23382834057325996,0.2205518908318177,0.2681279258532041
temperature_c,anomaly,last_value,48,0.3795086076401518,0.3551395385606383,0.39522494859063534
temperature_c,anomaly,past_72h_mean,48,0.21486599828078312,0.2039084378019507,0.2494996464107131
temperature_c,anomaly,last_value,51,0.34973441776872227,0.3256637470777242,0.36607250725296253
temperature_c,anomaly,past_72h_mean,51,0.19842265529670639,0.1869736499266196,0.23305026767529585
temperature_c,anomaly,last_value,54,0.3118486448516934,0.2903240030215374,0.3296520533879733
temperature_c,anomaly,past_72h_mean,54,0.18268819114780213,0.17204080387168758,0.21800804480395897
temperature_c,anomaly,last_value,57,0.27605157606133635,0.260467732046908,0.30215531653870886
temperature_c,anomaly,past_72h_mean,57,0.16745139795699804,0.15670696322328967,0.20461022147117436
temperature_c,anomaly,last_value,60,0.25152895700008393,0.23738368472895546,0.2802368960779037
temperature_c,anomaly,past_72h_mean,60,0.1546240441881081,0.14314742119669463,0.1922326060248119
temperature_c,anomaly,last_value,63,0.2360217269142248,0.2223484934898156,0.26460485877092355
temperature_c,anomaly,past_72h_mean,63,0.14282708658308674,0.13027192738516877,0.18007321197113985
temperature_c,anomaly,last_value,66,0.22729301543612673,0.21153286715422856,0.2540548610188721
temperature_c,anomaly,past_72h_mean,66,0.13165199547832904,0.11757256408807441,0.16776159472516047
temperature_c,anomaly,last_value,69,0.22061029725784226,0.20328215269569438,0.2439334880039287
temperature_c,anomaly,past_72h_mean,69,0.12054911138406671,0.10514095273321343,0.15589080415563605
temperature_c,anomaly,last_value,72,0.21213349492828432,0.19556335577309242,0.23540500203320464
temperature_c,anomaly,past_72h_mean,72,0.11061793329323344,0.09432605659056445,0.14442702564665583
pressure_hpa,raw,last_value,3,0.9906389513295206,0.9851163928219461,0.9920771945505997
pressure_hpa,raw,past_72h_mean,3,0.8962037503992075,0.8752684912079709,0.9146122946115172
pressure_hpa,raw,last_value,6,0.9766773019789211,0.9621755076041595,0.9801763746985384
pressure_hpa,raw,past_72h_mean,6,0.8859667698384504,0.86309497792927,0.9060150969155929
pressure_hpa,raw,last_value,9,0.9686359647890725,0.9508771024925603,0.9735068835588415
pressure_hpa,raw,past_72h_mean,9,0.8759650339697962,0.8512454471274692,0.8975126625863503
pressure_hpa,raw,last_value,12,0.9566404486938205,0.9416496717588959,0.9659500070938385
pressure_hpa,raw,past_72h_mean,12,0.8663363920399259,0.8399339749367974,0.8891852947219369
pressure_hpa,raw,last_value,15,0.937943333033157,0.917156644918404,0.9504272856448241
pressure_hpa,raw,past_72h_mean,15,0.8571668092388431,0.8292311512232783,0.8813937010635877
pressure_hpa,raw,last_value,18,0.9190024894493409,0.8957882915957441,0.9343444385526272
pressure_hpa,raw,past_72h_mean,18,0.8486731072628668,0.8191673267405629,0.8737343555907018
pressure_hpa,raw,last_value,21,0.9091127509237177,0.8913003837556741,0.9267998052382154
pressure_hpa,raw,past_72h_mean,21,0.8408477172534068,0.8093428450410873,0.8662983161466122
pressure_hpa,raw,last_value,24,0.8998879239223982,0.8813229820539612,0.9191893572351567
pressure_hpa,raw,past_72h_mean,24,0.8336982735265226,0.7998807306637026,0.8593030299239253
pressure_hpa,raw,last_value,27,0.877613595678715,0.8565085712709529,0.9010595970263972
pressure_hpa,raw,past_72h_mean,27,0.8272217608961656,0.7916738061532098,0.8530631503076043
pressure_hpa,raw,last_value,30,0.8565131089266997,0.8289070141304355,0.8833033239792514
pressure_hpa,raw,past_72h_mean,30,0.821371268704546,0.7836856538219805,0.8473116757981223
pressure_hpa,raw,last_value,33,0.8457747755758648,0.8149019645686519,0.8749531391059018
pressure_hpa,raw,past_72h_mean,33,0.816109252516647,0.7756347409398968,0.8424839050843752
pressure_hpa,raw,last_value,36,0.8365616129883701,0.8053203213279361,0.8678973921471913
pressure_hpa,raw,past_72h_mean,36,0.8114048928241566,0.7684429026321543,0.8375219287896579
pressure_hpa,raw,last_value,39,0.8226770612944048,0.7896180587799391,0.8554468531389418
pressure_hpa,raw,past_72h_mean,39,0.8071751452943423,0.7611387611151652,0.832795793360496
pressure_hpa,raw,last_value,42,0.8107188498627504,0.7746658942999199,0.844189165114459
pressure_hpa,raw,past_72h_mean,42,0.8033687819091686,0.7556901298352616,0.8287539978711748
pressure_hpa,raw,last_value,45,0.8080766738273323,0.7757856916420276,0.8422271836785074
pressure_hpa,raw,past_72h_mean,45,0.7999451841904044,0.7490456883621779,0.824204085950249
pressure_hpa,raw,last_value,48,0.8060234069019891,0.7754625963057894,0.8408534186249188
pressure_hpa,raw,past_72h_mean,48,0.7968632098283477,0.7427537612045985,0.820087150529689
pressure_hpa,raw,last_value,51,0.7935533283623187,0.7573739788337837,0.8293210744448498
pressure_hpa,raw,past_72h_mean,51,0.7940853659174008,0.736788866008838,0.8169278544455165
pressure_hpa,raw,last_value,54,0.7810975816177672,0.7389722422007708,0.8176096866623097
pressure_hpa,raw,past_72h_mean,54,0.7915705671301552,0.7311336722814794,0.8137407348755991
pressure_hpa,raw,last_value,57,0.7777029451702941,0.7349757000828806,0.8152549371338048
pressure_hpa,raw,past_72h_mean,57,0.789270731082595,0.7263068380080511,0.8111242522351307
pressure_hpa,raw,last_value,60,0.7757212843976907,0.7326385682038628,0.8138324770263274
pressure_hpa,raw,past_72h_mean,60,0.7869340003917114,0.7224385714450643,0.808001750503494
pressure_hpa,raw,last_value,63,0.7687145351984763,0.7223551316633806,0.8047642788134639
pressure_hpa,raw,past_72h_mean,63,0.784388474192769,0.7177155180293475,0.8047889562414475
pressure_hpa,raw,last_value,66,0.7630743263425442,0.7128693748457737,0.797691213256569
pressure_hpa,raw,past_72h_mean,66,0.7822394525965672,0.7130488156662238,0.8023230422435725
pressure_hpa,raw,last_value,69,0.7653777380072453,0.7194299572461813,0.7999698504618684
pressure_hpa,raw,past_72h_mean,69,0.780729287879774,0.7086209870599423,0.8001649522463365
pressure_hpa,raw,last_value,72,0.7665356865673596,0.7252947570775208,0.8027895606371986
pressure_hpa,raw,past_72h_mean,72,0.7792882143191822,0.7044289697929645,0.7978910683276349
pressure_hpa,anomaly,last_value,3,0.9851011425424112,0.98371672037133,0.9859804414388409
pressure_hpa,anomaly,past_72h_mean,3,0.5654615251843156,0.5280048300466124,0.5992096597623431
pressure_hpa,anomaly,last_value,6,0.9539943871489507,0.9473740402280679,0.9576925680487643
pressure_hpa,anomaly,past_72h_mean,6,0.5182647270577685,0.4777436309401595,0.5540314701178429
pressure_hpa,anomaly,last_value,9,0.9108525270808714,0.8962962133919306,0.9186290987979047
pressure_hpa,anomaly,past_72h_mean,9,0.4719906336186197,0.4286133951612993,0.5093294603676006
pressure_hpa,anomaly,last_value,12,0.8596900522270743,0.8372869690724059,0.8716593318586825
