feature,lead_hour,distance_bin,bearing_source_to_target,edges,median_cross_r,median_partial_r,q25_partial_r,q75_partial_r
temperature,3,<50,N,16,0.9229566211855891,0.002102607968576877,-0.014687727578870187,0.04541376918426229
temperature,3,<50,NE,11,0.9230961043227875,0.059131004537137294,0.027181108164680237,0.08649148662225864
temperature,3,<50,E,12,0.9233260762446592,0.06885024038615557,0.02738183074570285,0.08759522814851836
temperature,3,<50,SE,11,0.9304782510662125,0.12922845238171643,0.0893300656606013,0.145057687615668
temperature,3,<50,S,16,0.9278284582334151,0.1149487238604602,0.08805518905011026,0.1429889033487282
temperature,3,<50,SW,11,0.9272678504215438,0.09094521491812842,0.06862151295382811,0.1237940209973545
temperature,3,<50,W,12,0.923847833615096,0.09110509090680313,0.05053094755349897,0.13899311403781023
temperature,3,<50,NW,11,0.9202031477880933,0.025797602327279318,-0.021951626304016824,0.09432653110726988
temperature,3,50-100,N,51,0.8988249520051007,0.024945368748801,-0.011223356667199116,0.05447130306796499
temperature,3,50-100,NE,53,0.9083276665010649,0.047148603341909574,0.01308867489899927,0.10682799047810686
temperature,3,50-100,E,49,0.9149744552653362,0.11383095470176648,0.08087122507584128,0.14596553818026525
temperature,3,50-100,SE,58,0.9136762109851131,0.15901404823216758,0.13368315025025343,0.18292355457939258
temperature,3,50-100,S,51,0.9126550872486233,0.18052172520855464,0.1352129731798849,0.20605656456370497
temperature,3,50-100,SW,53,0.9153176977496936,0.13496433614701536,0.10582032010614051,0.17935209132873195
temperature,3,50-100,W,49,0.9085864980390946,0.08453296843792998,0.04290599769627853,0.14551724895974819
temperature,3,50-100,NW,58,0.8980270513877446,0.03421992684309505,0.01240113156310824,0.06543742861359247
temperature,3,100-200,N,189,0.8486352504211543,0.026552310956859088,-0.019190487730695822,0.06278452154558857
temperature,3,100-200,NE,176,0.8733600833303553,0.06423105081194663,0.01808391403709025,0.10977812581274485
temperature,3,100-200,E,178,0.8824768962217063,0.14084422858810713,0.09006044660938325,0.17132327136904874
temperature,3,100-200,SE,167,0.8741333355197538,0.17270029068581866,0.14027656310072284,0.19930104930319337
temperature,3,100-200,S,189,0.8704974358071855,0.18698894806120644,0.15451017143244997,0.23116980707654694
temperature,3,100-200,SW,176,0.8843448107244939,0.15543304076298692,0.11526485260309295,0.19728627857459075
temperature,3,100-200,W,178,0.8713836269915016,0.07154088035716487,0.04043756119790229,0.1179569641234821
temperature,3,100-200,NW,167,0.8520790066007479,0.03292890115724325,0.003726132838737193,0.07034429051911498
temperature,3,200-400,N,528,0.7427534596428473,0.007809701155342092,-0.029506300787245383,0.038930402182457635
temperature,3,200-400,NE,525,0.7904080806595477,0.028511648717612366,-0.006345627556685479,0.07107630510642704
temperature,3,200-400,E,536,0.8149482375030311,0.1242258604955161,0.08555263183727184,0.15598315627273446
temperature,3,200-400,SE,526,0.7787206656275785,0.15289127833131236,0.12792302688336635,0.17580551546144424
temperature,3,200-400,S,528,0.7747631952442768,0.16889271068701878,0.1422164170936403,0.19757282203385396
temperature,3,200-400,SW,525,0.8132820752354398,0.16360619714848293,0.12856811603615353,0.18915092452812712
temperature,3,200-400,W,536,0.8054211846071397,0.06973098743160638,0.030807921029985013,0.112982164044496
temperature,3,200-400,NW,526,0.7512159714281592,0.022401545535935406,-0.005726931843241521,0.05351077570957905
temperature,3,400-800,N,1616,0.5733489147762781,-0.0018528295827467758,-0.0196807103180688,0.01752360952900895
temperature,3,400-800,NE,1311,0.6481143194266334,0.019932643373746606,-0.0010942057657177355,0.03989701971615295
temperature,3,400-800,E,1564,0.6758743701688392,0.08242213588149416,0.05481650246248619,0.11062530391922085
temperature,3,400-800,SE,1493,0.6177832593154147,0.11550077894680971,0.09465865179612239,0.13936059152984787
temperature,3,400-800,S,1616,0.6149452820598161,0.1471243437024745,0.1217675455748079,0.16362057112382852
temperature,3,400-800,SW,1311,0.6738731381760212,0.1385458571943994,0.11379976882611292,0.15820762022925283
temperature,3,400-800,W,1564,0.6719895216796488,0.07814353813827044,0.04386055839955856,0.11186328553998136
temperature,3,400-800,NW,1493,0.5880688300018337,0.01800425199003062,0.0008216877743839762,0.046800512465447947
temperature,3,800-1600,N,1293,0.41909984557723295,-0.0004095610593108205,-0.01443448706698749,0.014977176616591679
temperature,3,800-1600,NE,1807,0.41152297574863084,0.01534207017632083,0.004134794524277894,0.02539611206509192
temperature,3,800-1600,E,2485,0.5005230548719387,0.06582823644500428,0.04764652106994693,0.0820399702111509
temperature,3,800-1600,SE,1777,0.4814569833477369,0.10233808404016054,0.08690824000234776,0.11527176212347935
temperature,3,800-1600,S,1293,0.4559749078432898,0.11302831794166451,0.10045856628232842,0.12579555425235234
temperature,3,800-1600,SW,1807,0.43648755797025096,0.10116839464156745,0.07907634331351876,0.13262906123712348
temperature,3,800-1600,W,2485,0.4997742708215381,0.08586120614786515,0.06638740940117208,0.10337618527474637
temperature,3,800-1600,NW,1777,0.4531564973616268,0.016819121530885797,-0.001140932603295296,0.035992165120508436
temperature,3,>=1600,NE,227,0.3201858768245797,0.013975188383886845,0.0027883574343646506,0.02612327234390053
