feature,bearing_source_to_target,edges,median_best_partial_r,median_directional_advantage_over_reverse
temperature,N,3693,0.025881636650882788,-0.29185255750420414
temperature,NE,4110,0.06436887975745348,-0.1586073804453859
temperature,E,4915,0.24328308665518938,0.08949234392532573
temperature,SE,4118,0.36210334422034884,0.3148661201189801
temperature,S,3693,0.31863680742818107,0.29185255750420414
temperature,SW,4110,0.226488213568819,0.1586073804453859
temperature,W,4915,0.1508342003814655,-0.08949234392532573
temperature,NW,4118,0.042522684180132,-0.3148661201189801
pressure,N,3693,-0.1445458466366252,-0.5693081670325592
pressure,NE,4110,-0.04670163604475468,-0.2819278217523772
pressure,E,4915,0.3207608495358148,0.27208411717722575
pressure,SE,4118,0.4861709724962612,0.6269341086826505
pressure,S,3693,0.40813484380882964,0.5693081670325592
pressure,SW,4110,0.2439616320562542,0.2819278217523772
pressure,W,4915,0.04951755082188714,-0.27208411717722575
pressure,NW,4118,-0.12572532896046873,-0.6269341086826505
rh950,N,3693,0.07603246041463321,-0.0843807862598624
rh950,NE,4110,0.16788271775748548,0.11363320475367111
rh950,E,4915,0.2702490333472576,0.22949955682466028
rh950,SE,4118,0.2674622748541353,0.2179546818434128
rh950,S,3693,0.16997741741767397,0.0843807862598624
rh950,SW,4110,0.04583025814221206,-0.11363320475367111
rh950,W,4915,0.04227583682788393,-0.22949955682466028
rh950,NW,4118,0.035214152422791536,-0.2179546818434128
wind_speed,N,3693,0.027938420803222456,-0.08810579708936792
wind_speed,NE,4110,0.04896044633012374,-0.01927511645624888
wind_speed,E,4915,0.1359225467907355,0.08639705218884833
wind_speed,SE,4118,0.15578897073630626,0.13591352619654856
wind_speed,S,3693,0.1160112944690992,0.08810579708936792
wind_speed,SW,4110,0.0857568719922154,0.01927511645624888
wind_speed,W,4915,0.04477338256838864,-0.08639705218884833
wind_speed,NW,4118,0.01752280333550276,-0.13591352619654856
wind_u,N,3693,0.08175352382238668,-0.04573201304523758
wind_u,NE,4110,0.07868739709174616,-0.0028870326957377637
wind_u,E,4915,0.18832118350273586,0.1364728486085618
wind_u,SE,4118,0.26715542149094107,0.2218975186858778
wind_u,S,3693,0.13488296361991844,0.04573201304523758
wind_u,SW,4110,0.1006921929490926,0.0028870326957377637
wind_u,W,4915,0.046973599220934595,-0.1364728486085618
wind_u,NW,4118,0.03868337908360224,-0.2218975186858778
wind_v,N,3693,-0.03335307172125978,-0.33472068676187317
wind_v,NE,4110,0.1107915354600112,0.028253283982333694
wind_v,E,4915,0.29285239723790424,0.30403898100110804
wind_v,SE,4118,0.3350969551491496,0.3855769308498859
wind_v,S,3693,0.30717247030098976,0.33472068676187317
wind_v,SW,4110,0.08698640769261584,-0.028253283982333694
wind_v,W,4915,-0.014844077481155247,-0.30403898100110804
wind_v,NW,4118,-0.05175706099467315,-0.3855769308498859
pbl,N,3693,0.032106696590627586,-0.08876102536404215
pbl,NE,4110,0.060837995120468766,-0.010644195113870533
pbl,E,4915,0.15744130504931783,0.10921075548953575
pbl,SE,4118,0.16335361821086072,0.13090372024380953
pbl,S,3693,0.12470844328974696,0.08876102536404215
pbl,SW,4110,0.07197798703303669,0.010644195113870533
pbl,W,4915,0.05024055891605305,-0.10921075548953575
pbl,NW,4118,0.026000772510814688,-0.13090372024380953
