feature,lead_hour,spearman_r_with_longitude,spearman_r_with_latitude,min_station_r,max_station_r
temperature,3,0.5029858796786808,0.16599564639479109,0.8825075069052795,0.9690360059074288
temperature,24,-0.019022943114176183,-0.7156594941341913,0.576817220717616,0.7087789267253196
temperature,48,-0.33365182716572594,-0.46755600932365005,0.29201990044000653,0.447640780357473
temperature,72,-0.4306062298934715,-0.09247558320972434,0.1494742889656034,0.2965363890166181
pressure,3,0.12375411762439559,-0.7713471133285815,0.9758679390015745,0.9879050456941517
pressure,24,0.020461944481901716,-0.9144824796285951,0.48903937223668514,0.7329870223587392
pressure,48,0.047049758240064715,-0.923257113135944,0.13641522601169906,0.4060409108545646
pressure,72,0.07602627574117238,-0.9389011962782453,0.006018672510624187,0.19090801362635906
rh950,3,-0.07511317447169194,-0.31404326635973107,0.890942083211768,0.9621102302205189
rh950,24,-0.12275240315154784,-0.49927375700718535,0.21292347925361196,0.6732218787742978
rh950,48,-0.36502860665369574,-0.2470882857197896,0.036885091050047725,0.4197398519118465
rh950,72,-0.5712392363853519,0.10808499162027314,0.028882898868759128,0.31761367478674485
wind_speed,3,0.5358671572499084,-0.27465662383695166,0.5056281143586268,0.8920878704971306
wind_speed,24,0.5370287607636146,-0.4855714588430198,0.03743785443842084,0.35167361266294717
wind_speed,48,0.5382404500009632,-0.35107395349733195,-0.025009256523662877,0.08707092681780523
wind_speed,72,0.026489568684864476,0.24958871915393654,-0.05812516203557658,0.03729678298360192
wind_u,3,0.5434493652597715,-0.00046618250467145685,0.6081809177123235,0.9403024743600912
wind_u,24,0.35471672670532256,-0.08041262930785383,0.02019284180115508,0.40748515580802797
wind_u,48,-0.011695016470497583,0.14981217853634102,-0.06735487757653745,0.13485859778818965
wind_u,72,-0.4182562462676504,-0.12788811619887883,-0.10421798494072315,0.06623559816008627
wind_v,3,0.5778678892720233,-0.11696557569686578,0.5017859636041537,0.9495289353370072
wind_v,24,0.4783957157442546,-0.5685211226907592,0.021807324444986904,0.5152320541950658
wind_v,48,0.03294484791277378,-0.7391940051241548,-0.06913090468749086,0.22055389925400326
wind_v,72,-0.27570842403344187,-0.43113020361773036,-0.06978311304067425,0.08062817688468142
pbl,3,0.5601587332164666,-0.15279805821502188,0.4983359201014191,0.924346116891431
pbl,24,0.02157731501993797,-0.53627169578702,0.22146356984843144,0.4471111806182584
pbl,48,-0.5590260253125542,-0.28809886151297415,0.03200852793746733,0.29030651555555925
pbl,72,-0.6618077093486929,0.030999210186665634,-0.027590342516715338,0.2299525075912024
ventilation,3,0.6382751247327156,-0.37130280672689797,0.4253571505174134,0.9154532986525394
ventilation,24,0.4637976536764847,-0.4704340120591011,0.10762526142183519,0.38334061150747534
ventilation,48,0.17899867080194948,-0.41390649380670763,-0.014336154842751497,0.12109185489135713
ventilation,72,-0.562560921577315,0.17772533759704107,-0.0428346777871005,0.09656796780091928
dewpoint_deficit,3,-0.0010595056924351293,0.7309703145768718,0.836122779067707,0.9285308119153858
dewpoint_deficit,24,-0.08044152491764751,-0.48450039490666713,0.32749876336731176,0.6283734730897744
dewpoint_deficit,48,-0.3561460962031168,-0.21503149621467513,0.06522960630843436,0.3807600250885944
dewpoint_deficit,72,-0.44543738321357706,0.04662402958910443,0.009079375953661857,0.278476243267861
log_precipitation,3,0.014199302652616978,-0.4136310223266745,0.494188946873319,0.7465834979954233
log_precipitation,24,-0.11946793550499893,-0.6477605902409893,0.010201752051085028,0.21491147116195178
log_precipitation,48,-0.09742058523241702,-0.33924986996975587,-0.04009974891774185,0.07813514215078425
log_precipitation,72,0.25685885457802776,-0.4436670455202173,-0.048479135715023,0.03856536065979113
