feature,past_hour,future_day,median,q25,q75,stations
temperature,-69,1,0.16844613765427913,0.1569958985890179,0.20152737956931088,184
temperature,-69,2,0.08485606894361679,0.07164960365540488,0.11649994965876904,184
temperature,-69,3,0.030897280617814875,0.010979507108684413,0.04721656691947304,184
temperature,-66,1,0.18352001013722946,0.17105943979525054,0.21534752876759228,184
temperature,-66,2,0.09450683784641484,0.08063365261811392,0.12575566698548177,184
temperature,-66,3,0.03734618686121705,0.01865553229170204,0.05560548081098829,184
temperature,-63,1,0.19843452119969507,0.1843949591604164,0.2287317361308197,184
temperature,-63,2,0.10227024799588819,0.0898703343066666,0.13501250376304497,184
temperature,-63,3,0.04346992061794477,0.02493348635301851,0.0646224920014952,184
temperature,-60,1,0.21374105375007707,0.19849262205394883,0.2431869778922282,184
temperature,-60,2,0.11100515611516218,0.09885139196495396,0.14551007882593814,184
temperature,-60,3,0.05039878829431561,0.03194639859468157,0.07343369828781152,184
temperature,-57,1,0.2290150966960653,0.21415711525154393,0.25824964569681436,184
temperature,-57,2,0.12076418659496418,0.10905777818539551,0.15612321393012724,184
temperature,-57,3,0.056621508541532924,0.039328062812317655,0.08260745533947467,184
temperature,-54,1,0.2461609914307728,0.2306490635983155,0.2745716486457084,184
temperature,-54,2,0.1319203311625669,0.12053925359460335,0.16687751492211017,184
temperature,-54,3,0.06382843403422446,0.0472436454816229,0.09197924606155254,184
temperature,-51,1,0.26566753041039015,0.24923714550462422,0.2931716017698186,184
temperature,-51,2,0.14347485914110134,0.13231595740459595,0.17890808845538508,184
temperature,-51,3,0.0714244708776795,0.05496670800483521,0.10061645956660525,184
temperature,-48,1,0.28755959091439737,0.2695925773954693,0.31336988018995765,184
temperature,-48,2,0.15565064851049654,0.14518917940285217,0.1912064427158443,184
temperature,-48,3,0.07866538272906748,0.06350214236585293,0.10970467201064532,184
temperature,-45,1,0.3111639932920765,0.29358404310025615,0.33482812139013424,184
temperature,-45,2,0.16963259833872196,0.15827161656177402,0.20348577116944908,184
temperature,-45,3,0.08639000440799288,0.07237532472285678,0.11895712319778902,184
temperature,-42,1,0.3363031095487071,0.31860238398699536,0.3583227881495466,184
temperature,-42,2,0.18482908127617775,0.1721496471095587,0.21653061097747894,184
temperature,-42,3,0.09533115026857039,0.08185825316947241,0.12739930158565116,184
temperature,-39,1,0.36150754936214696,0.3427622216063301,0.38146676876248176,184
temperature,-39,2,0.19960652047331312,0.18581886667508465,0.23057058406656855,184
temperature,-39,3,0.10358947727662203,0.09104050894195702,0.13698544451760958,184
temperature,-36,1,0.38624472796169707,0.3659339912758991,0.40317353695213914,184
temperature,-36,2,0.21534791714808013,0.20035743486010593,0.2447910458706573,184
temperature,-36,3,0.11248389548988327,0.10037595870753732,0.14726884918542393,184
temperature,-33,1,0.4107880023831266,0.3889118579085346,0.42733393644761963,184
temperature,-33,2,0.23077115286428773,0.2160166181794062,0.25966183464693854,184
temperature,-33,3,0.12222769482057774,0.1104791986994472,0.15797970579309562,184
temperature,-30,1,0.43766901314419165,0.4156403640101474,0.4534481505737436,184
temperature,-30,2,0.24765019098576826,0.23279063071177486,0.27605510594473515,184
temperature,-30,3,0.13355654302515757,0.12197768933281422,0.16895799837910508,184
temperature,-27,1,0.4682885362259414,0.4467699881285443,0.4832886840806013,184
temperature,-27,2,0.26712668128169337,0.2512057301842173,0.29502763961188316,184
temperature,-27,3,0.1450823853532413,0.13417392195350117,0.18094704380091217,184
temperature,-24,1,0.5034777790878111,0.4833916487541403,0.5161840597340819,184
temperature,-24,2,0.2890385324009035,0.2714747492352167,0.3152095770323151,184
temperature,-24,3,0.15767064418539242,0.14705969951324782,0.19318806993396156,184
temperature,-21,1,0.5421972220742117,0.5213726883798367,0.5554379968380914,184
temperature,-21,2,0.3127291007104831,0.2956526038955889,0.3375068633153201,184
temperature,-21,3,0.1712957589999039,0.16047148160790548,0.2053308182119771,184
temperature,-18,1,0.5779609713630197,0.5593996682356668,0.5941851813984538,184
temperature,-18,2,0.33763842115793535,0.3207731290272098,0.3602855727909151,184
temperature,-18,3,0.1868348590153602,0.17425947163233507,0.2182164642464773,184
temperature,-15,1,0.61298961277448,0.594989983300803,0.6277929678807048,184
temperature,-15,2,0.3629626197919139,0.3447478320279158,0.38290454399506946,184
temperature,-15,3,0.2019127393569608,0.1876372137778355,0.2319536527105079,184
temperature,-12,1,0.6462936865956163,0.6317570237873069,0.6614302235571459,184
temperature,-12,2,0.3878012691848246,0.36788899911875816,0.4051695284218122,184
temperature,-12,3,0.21700252782917312,0.20225278017963433,0.24613596987689157,184
temperature,-9,1,0.6789583307759977,0.6629538844226175,0.6939557296833915,184
temperature,-9,2,0.4119469141151596,0.39057928147681403,0.42910282887122325,184
temperature,-9,3,0.23262982430984872,0.21818430868523456,0.2611681366809536,184
temperature,-6,1,0.7146192458604286,0.6968360550273619,0.7290571850931323,184
temperature,-6,2,0.4392774121268077,0.4177776535528267,0.45453212743330745,184
temperature,-6,3,0.24949942075537343,0.23486268975026453,0.2779119979388858,184
temperature,-3,1,0.7562724278737443,0.7403520866665442,0.7667523489926198,184
temperature,-3,2,0.4696552104468009,0.448416040462432,0.4843067582982692,184
temperature,-3,3,0.2693685133443907,0.2532290546441028,0.29672108265494246,184
temperature,0,1,0.802505664006865,0.7893032442239369,0.8109546037294455,184
temperature,0,2,0.5050029688014754,0.4849893011304075,0.5173591862198104,184
temperature,0,3,0.291214621295411,0.2733770519787387,0.3175048196629249,184
pressure,-69,1,0.03734332432839842,0.010322413192034223,0.07490422476198068,184
pressure,-69,2,-0.03782482966403887,-0.0438847402236515,-0.021937002012027022,184
pressure,-69,3,-0.08083408156609902,-0.09085097137018115,-0.06879334934756128,184
pressure,-66,1,0.0507664465610432,0.0211002233351174,0.09008053932142912,184
pressure,-66,2,-0.032103168953476854,-0.03913684026162943,-0.012167771621631488,184
pressure,-66,3,-0.07457122083263529,-0.08152228570744444,-0.06385018007761374,184
