feature,component,lead_hour,r
temperature,1,3,0.9607337749751392
temperature,2,3,0.9362020643698059
temperature,3,3,0.9047829685589857
temperature,1,24,0.7901540565096534
temperature,2,24,0.5536697898534506
temperature,3,24,0.46865859269888566
temperature,1,48,0.5051146444886316
temperature,2,48,0.2345149618902216
temperature,3,48,0.15569712249103174
temperature,1,72,0.29027025004871626
temperature,2,72,0.12921336788077734
temperature,3,72,0.09572566653532995
pressure,1,3,0.9906105126523219
pressure,2,3,0.9844723976879134
pressure,3,3,0.9765941329276109
pressure,1,24,0.7005392673045923
pressure,2,24,0.5210992719003635
pressure,3,24,0.3133336656589136
pressure,1,48,0.33562953793151223
pressure,2,48,0.14734586359667992
pressure,3,48,-0.098950300559629
pressure,1,72,0.13081440980996067
pressure,2,72,0.0033696180374638445
pressure,3,72,-0.11145898188429451
rh950,1,3,0.9863833521515223
rh950,2,3,0.9705455052514834
rh950,3,3,0.9648856658671765
rh950,1,24,0.7408854571768816
rh950,2,24,0.5206946122366648
rh950,3,24,0.41604154090004847
rh950,1,48,0.41688595781417975
rh950,2,48,0.21545947202136012
rh950,3,48,0.09852833172404415
rh950,1,72,0.23502551445807449
rh950,2,72,0.15711872079507103
rh950,3,72,0.08197514937901118
wind_speed,1,3,0.9433419440035989
wind_speed,2,3,0.927272349049309
wind_speed,3,3,0.9122848239063365
wind_speed,1,24,0.41986848455291004
wind_speed,2,24,0.26750482250927277
wind_speed,3,24,0.20976325054166883
wind_speed,1,48,0.09763578884989264
wind_speed,2,48,0.04837360338721188
wind_speed,3,48,-0.0030585732782006385
wind_speed,1,72,-0.038837441271335135
wind_speed,2,72,0.018267500882387475
wind_speed,3,72,-0.0132917283797714
wind_u,1,3,0.9733673976809017
wind_u,2,3,0.9426132223198777
wind_u,3,3,0.9419021393204876
wind_u,1,24,0.4839103592953735
wind_u,2,24,0.2180196367949176
wind_u,3,24,0.15964240899056006
wind_u,1,48,0.09592515440927135
wind_u,2,48,-0.024410615199951902
wind_u,3,48,-0.048051584843500465
wind_u,1,72,-0.059327039472648
wind_u,2,72,0.007501350089598421
wind_u,3,72,-0.043385113725940345
wind_v,1,3,0.9722319152927112
wind_v,2,3,0.9482818471877409
wind_v,3,3,0.9304048191834127
wind_v,1,24,0.4071338168218065
wind_v,2,24,0.12759889040056416
wind_v,3,24,0.14975642733518926
wind_v,1,48,0.015553643431918463
wind_v,2,48,-0.053518321672981345
wind_v,3,48,-0.01675093551112671
wind_v,1,72,-0.05195937817181931
wind_v,2,72,0.001489148590671432
wind_v,3,72,-0.0007727338362046044
pbl,1,3,0.7087797928916544
pbl,2,3,0.6850180413568363
pbl,3,3,0.6445616861414113
pbl,1,24,0.5480655443916359
pbl,2,24,0.3663714616919597
pbl,3,24,0.3848090117948689
pbl,1,48,0.19967472239483985
pbl,2,48,0.13939593423959448
pbl,3,48,0.1459319698705769
pbl,1,72,0.06812859995695675
pbl,2,72,0.14059168096792532
pbl,3,72,0.08302542453280376
