feature,representation,lead_hour,median,q25,q75,stations
temperature,total,3,0.9292860767232884,0.9211726387462004,0.933388288217474,184
temperature,regional_top3,3,0.9547649052202631,0.9491994409458658,0.9575039903038524,184
temperature,local_after_top3,3,0.823099927321076,0.7978126722293292,0.855857688348966,184
temperature,total,24,0.6481142078230879,0.6247136199832624,0.6672953589767996,184
temperature,regional_top3,24,0.725742917493406,0.7105229477994557,0.7482138254209805,184
temperature,local_after_top3,24,0.29757937452988603,0.26978381258229633,0.35263912150934174,184
temperature,total,48,0.3808581725040762,0.3566193757854389,0.3960068752396261,184
temperature,regional_top3,48,0.43405063881637,0.40852440421359004,0.46688264632540777,184
temperature,local_after_top3,48,0.13146229664291353,0.10235727857121868,0.15895354290846156,184
temperature,total,72,0.21083762895108094,0.1946682890322167,0.23525866708836293,184
temperature,regional_top3,72,0.248778634126785,0.22580490206265164,0.2815702965023673,184
temperature,local_after_top3,72,0.07365317199266425,0.04993821289703319,0.09696629170219377,184
pressure,total,3,0.985272349148204,0.9838212682494458,0.9861867224806098,184
pressure,regional_top3,3,0.9885784188442805,0.9875605640957179,0.989866396806471,184
pressure,local_after_top3,3,0.9175073055839851,0.8955615357061096,0.9322239689436516,184
pressure,total,24,0.6218977356204773,0.5719936767889482,0.6589655219545045,184
pressure,regional_top3,24,0.6459790453550911,0.6031611930147354,0.6931186344914971,184
pressure,local_after_top3,24,0.18871484468966493,0.1192403250595277,0.23482876538185354,184
pressure,total,48,0.26086934044362986,0.2055100664770467,0.31336936537347787,184
pressure,regional_top3,48,0.2822257999254798,0.21966962519150876,0.33412295187327107,184
pressure,local_after_top3,48,0.03677945309250008,0.012129217678733532,0.06610079062594049,184
pressure,total,72,0.088598489355554,0.05203489302055626,0.1271808470764779,184
pressure,regional_top3,72,0.11023976936798897,0.057577378482322694,0.13006996493941803,184
pressure,local_after_top3,72,0.027895132479420066,0.008422821695132353,0.05550611346938857,184
rh950,total,3,0.931372661070075,0.9207144063122362,0.9466322526064143,184
rh950,regional_top3,3,0.9802014637230827,0.9763490690769088,0.9823213282721959,184
