feature,component,explained_variance_ratio,cumulative_explained_variance
temperature,1,0.6168188663693277,0.6168188663693277
temperature,2,0.10534389490309391,0.7221627612724216
temperature,3,0.06685684050353431,0.789019601775956
temperature,4,0.03890205835748978,0.8279216601334458
temperature,5,0.028549276546175652,0.8564709366796215
temperature,6,0.019674634031333967,0.8761455707109554
temperature,7,0.014870735989053144,0.8910163067000086
temperature,8,0.010820217877718077,0.9018365245777266
temperature,9,0.00936350344341594,0.9112000280211425
temperature,10,0.0071443235580838345,0.9183443515792263
pressure,1,0.7485004764236479,0.7485004764236479
pressure,2,0.10207964265384194,0.8505801190774899
pressure,3,0.0898160578753027,0.9403961769527925
pressure,4,0.01844569287365096,0.9588418698264435
pressure,5,0.01091542843516414,0.9697572982616076
pressure,6,0.00891565103739367,0.9786729492990013
pressure,7,0.0047482427827661156,0.9834211920817674
pressure,8,0.0033202598778526342,0.98674145195962
pressure,9,0.0022296524611942706,0.9889711044208143
pressure,10,0.0018906632749613188,0.9908617676957756
rh950,1,0.40569317174835745,0.40569317174835745
rh950,2,0.12129555469835972,0.5269887264467171
rh950,3,0.09834876581813544,0.6253374922648526
rh950,4,0.045672295520101464,0.671009787784954
rh950,5,0.03827039295529007,0.7092801807402441
rh950,6,0.027273801615902465,0.7365539823561466
rh950,7,0.02305897003384956,0.7596129523899962
rh950,8,0.01888262623022211,0.7784955786202182
rh950,9,0.015999726937541658,0.7944953055577599
rh950,10,0.014853263784220534,0.8093485693419805
wind_speed,1,0.2431875247583671,0.2431875247583671
wind_speed,2,0.11754320136181153,0.36073072612017865
wind_speed,3,0.07123575271553859,0.43196647883571726
wind_speed,4,0.050380631295721776,0.48234711013143905
wind_speed,5,0.04348599430965146,0.5258331044410905
wind_speed,6,0.03459942049137032,0.5604325249324609
wind_speed,7,0.029325319103569447,0.5897578440360303
wind_speed,8,0.02496262029358999,0.6147204643296202
wind_speed,9,0.023266005872691942,0.6379864702023121
wind_speed,10,0.01947034984895565,0.6574568200512678
wind_u,1,0.36956389159343916,0.36956389159343916
wind_u,2,0.10575971127589308,0.47532360286933223
wind_u,3,0.08678087408852651,0.5621044769578587
wind_u,4,0.040086343647102174,0.6021908206049609
wind_u,5,0.03640910081342734,0.6385999214183882
wind_u,6,0.030335818105698187,0.6689357395240864
wind_u,7,0.02363199066044155,0.6925677301845279
wind_u,8,0.020824023567623477,0.7133917537521515
wind_u,9,0.01829182294358597,0.7316835766957375
wind_u,10,0.015754241115965188,0.7474378178117027
wind_v,1,0.3605208238154606,0.3605208238154606
wind_v,2,0.1468430626289432,0.5073638864444038
wind_v,3,0.07201804220166684,0.5793819286460706
wind_v,4,0.06194239632425772,0.6413243249703283
wind_v,5,0.0396617407747785,0.6809860657451068
wind_v,6,0.03293209058588493,0.7139181563309918
wind_v,7,0.026485559205808515,0.7404037155368003
wind_v,8,0.021567638532365672,0.7619713540691659
wind_v,9,0.016234047152377674,0.7782054012215436
wind_v,10,0.014305691849254287,0.7925110930707979
pbl,1,0.30040483945646906,0.30040483945646906
pbl,2,0.11680146095391242,0.4172063004103815
pbl,3,0.07813816076032783,0.4953444611707093
pbl,4,0.053431854007639515,0.5487763151783488
pbl,5,0.045309700934331454,0.5940860161126802
pbl,6,0.032074209799862426,0.6261602259125426
pbl,7,0.028637362887318885,0.6547975887998615
pbl,8,0.02483199665517466,0.6796295854550363
pbl,9,0.020729218317777305,0.7003588037728136
pbl,10,0.017997073290463947,0.7183558770632775
