feature,future_day,past_quintile,future_quintile,median,q25,q75,stations
temperature,1,1,1,0.6194158075601375,0.6099656357388317,0.6332689003436426,184
temperature,1,1,2,0.2609536082474227,0.2533290378006873,0.2693298969072165,184
temperature,1,1,3,0.08462199312714777,0.07893041237113402,0.09063573883161512,184
temperature,1,1,4,0.02534364261168385,0.019652061855670103,0.031464776632302405,184
temperature,1,1,5,0.005584192439862543,0.003006872852233677,0.00902061855670103,184
temperature,1,2,1,0.20833333333333334,0.20092353951890035,0.21778350515463918,184
temperature,1,2,2,0.37371134020618557,0.35738831615120276,0.3905713058419244,184
temperature,1,2,3,0.27878006872852235,0.26320876288659795,0.29091494845360827,184
temperature,1,2,4,0.11146907216494845,0.10094501718213059,0.1208118556701031,184
temperature,1,2,5,0.02491408934707904,0.019759450171821305,0.03221649484536082,184
temperature,1,3,1,0.09235395189003437,0.08709192439862543,0.09836769759450172,184
temperature,1,3,2,0.20790378006872853,0.19716494845360824,0.2191795532646048,184
temperature,1,3,3,0.33719931271477666,0.3247422680412371,0.35223367697594504,184
temperature,1,3,4,0.27190721649484534,0.2615979381443299,0.28361254295532645,184
temperature,1,3,5,0.0859106529209622,0.07774914089347079,0.09460910652920962,184
temperature,1,4,1,0.0468213058419244,0.041666666666666664,0.05154639175257732,184
temperature,1,4,2,0.10373711340206186,0.09611254295532647,0.11447594501718213,184
temperature,1,4,3,0.2027491408934708,0.19243986254295534,0.21585051546391754,184
temperature,1,4,4,0.3850945017182131,0.3642611683848797,0.40002147766323026,184
temperature,1,4,5,0.2615979381443299,0.25128865979381443,0.2710481099656357,184
temperature,1,5,1,0.028767711464147704,0.0249033920137398,0.0317732932589094,184
temperature,1,5,2,0.048948046371833406,0.04540575354229283,0.054100472305710606,184
temperature,1,5,3,0.09360240446543582,0.08587376556462001,0.1031558608844998,184
temperature,1,5,4,0.20759982825246887,0.19836839845427223,0.2195148132245599,184
temperature,1,5,5,0.6195792185487333,0.6074495491627308,0.636968656075569,184
temperature,3,1,1,0.34664948453608246,0.3336554982817869,0.3599656357388316,184
temperature,3,1,2,0.24484536082474226,0.23056271477663232,0.26245704467353953,184
temperature,3,1,3,0.1640893470790378,0.15420962199312716,0.17697594501718214,184
temperature,3,1,4,0.12886597938144329,0.12059707903780069,0.13745704467353953,184
temperature,3,1,5,0.11232817869415808,0.09460910652920962,0.13058419243986255,184
temperature,3,2,1,0.20940721649484537,0.18932560137457044,0.22336769759450173,184
temperature,3,2,2,0.24613402061855671,0.22411941580756015,0.25945017182130586,184
temperature,3,2,3,0.2259450171821306,0.21338058419243985,0.23582474226804123,184
temperature,3,2,4,0.18599656357388317,0.17568728522336768,0.195446735395189,184
temperature,3,2,5,0.14282646048109965,0.12714776632302405,0.15528350515463918,184
temperature,3,3,1,0.16237113402061856,0.15367268041237114,0.17053264604810997,184
temperature,3,3,2,0.1958762886597938,0.18814432989690721,0.20672250859106528,184
temperature,3,3,3,0.23818728522336768,0.22540807560137457,0.24924828178694158,184
temperature,3,3,4,0.2263745704467354,0.21595790378006874,0.23507302405498282,184
temperature,3,3,5,0.17847938144329897,0.16623711340206185,0.18943298969072164,184
temperature,3,4,1,0.13616838487972507,0.12618127147766323,0.14615549828178695,184
temperature,3,4,2,0.15893470790378006,0.1479810996563574,0.1759020618556701,184
temperature,3,4,3,0.20618556701030927,0.19201030927835053,0.21262886597938144,184
temperature,3,4,4,0.24914089347079038,0.23099226804123713,0.2667525773195876,184
temperature,3,4,5,0.24119415807560138,0.22938144329896906,0.26256443298969073,184
temperature,3,5,1,0.14963503649635035,0.13557320738514383,0.16069128381279518,184
temperature,3,5,2,0.1494203520824388,0.13857878917990554,0.15854443967367968,184
temperature,3,5,3,0.16895663374838987,0.15586088449978533,0.18258909403177329,184
temperature,3,5,4,0.2112494632889652,0.1996565049377415,0.2215543151567196,184
temperature,3,5,5,0.31902103907256335,0.3004508372692143,0.3453198797767282,184
pressure,1,1,1,0.5485395189003437,0.5282431271477663,0.582581615120275,184
pressure,1,1,2,0.24420103092783504,0.23528780068728522,0.2548324742268041,184
pressure,1,1,3,0.11426116838487972,0.0974012027491409,0.12714776632302405,184
pressure,1,1,4,0.05627147766323024,0.04939862542955326,0.06786941580756013,184
pressure,1,1,5,0.02620274914089347,0.02276632302405498,0.030927835051546393,184
pressure,1,2,1,0.2551546391752577,0.24699312714776633,0.266430412371134,184
pressure,1,2,2,0.3333333333333333,0.31486254295532645,0.3583548109965636,184
pressure,1,2,3,0.22573024054982818,0.21305841924398625,0.23807989690721648,184
pressure,1,2,4,0.12650343642611683,0.11469072164948453,0.13670532646048109,184
pressure,1,2,5,0.05025773195876289,0.04542525773195876,0.055949312714776635,184
