feature,lead_hour,median,q25,q75,stations
temperature,3,0.9292860767232936,0.9211726387462016,0.9333882882174765,184
temperature,6,0.81645362753174,0.801179479976885,0.8299768217455926,184
temperature,9,0.7212313980035505,0.6979207651077957,0.7418547354412949,184
temperature,12,0.6648046321059854,0.6365593009438406,0.6857188257177317,184
temperature,15,0.6480002955790158,0.6217740327007136,0.6627963644583261,184
temperature,18,0.6539498099879693,0.6332515127536564,0.6690786977578874,184
temperature,21,0.6640917886583931,0.6392318284511269,0.6797654385516654,184
temperature,24,0.6481142078230884,0.6247136199832641,0.6672953589768,184
temperature,27,0.5935056068809447,0.5727045145872084,0.6127104542121111,184
temperature,30,0.52726873484035,0.5103588572254921,0.5443823561025797,184
temperature,33,0.4708151121591919,0.45215857106839125,0.48668809088348375,184
temperature,36,0.4301416939319158,0.4150536152236738,0.449332763493409,184
temperature,39,0.4086740251609871,0.3921198306921145,0.42740912747643167,184
temperature,42,0.4006754935513889,0.3808019286701966,0.4167429073393069,184
temperature,45,0.39472713740444865,0.3716622691990366,0.4105910227212923,184
temperature,48,0.3808581725040748,0.35661937578544034,0.3960068752396232,184
temperature,51,0.3505378136761231,0.32695012215944447,0.36731079737147476,184
temperature,54,0.31287096310284956,0.2913457038610954,0.33062985313143956,184
temperature,57,0.2769978707013554,0.2607745021496688,0.30252247989015485,184
temperature,60,0.2517869094578078,0.2374703299631802,0.28082970778503735,184
temperature,63,0.23607596650319174,0.22165145538821476,0.2649670217374126,184
temperature,66,0.22662502338403323,0.21120262519787242,0.25331499712512157,184
temperature,69,0.22013517296567725,0.20298632777523878,0.24385539083625493,184
temperature,72,0.21083762895108096,0.19466828903221692,0.2352586670883626,184
pressure,3,0.9852723491482029,0.9838212682494409,0.986186722480617,184
pressure,6,0.9543039335332644,0.9476774217375928,0.958170162617314,184
pressure,9,0.9119071800370098,0.8969168536847394,0.919228553613099,184
pressure,12,0.8607367638784992,0.8379627245269934,0.8726488077443173,184
pressure,15,0.8040773769535356,0.7739870658927974,0.8215781343002969,184
pressure,18,0.7436181517304349,0.7057417410834044,0.7676540750194247,184
pressure,21,0.6823828893339456,0.6377212827776608,0.7131882268036864,184
pressure,24,0.6218977356204765,0.5719936767889455,0.6589655219545024,184
pressure,27,0.5626360026711894,0.5093009742638119,0.6051448654847406,184
pressure,30,0.5068076289119128,0.45139282990038404,0.5549022013072906,184
pressure,33,0.4554506458413643,0.3997388549717533,0.5066603626726734,184
pressure,36,0.408304687389639,0.3516515528765479,0.4605834155446498,184
pressure,39,0.3654682265769179,0.3066526454633012,0.41941970724308975,184
pressure,42,0.3269806219331932,0.2667954895908143,0.38192155427766133,184
pressure,45,0.2924145562761804,0.23390331606457693,0.34702939183830156,184
pressure,48,0.2608693404436306,0.2055100664770462,0.3133693653734759,184
pressure,51,0.23168920584456437,0.1795725525528517,0.28158512880892517,184
pressure,54,0.2050336958576322,0.1539965205796173,0.2529723773517918,184
pressure,57,0.18011836215336913,0.13115138849246238,0.22696508094969534,184
pressure,60,0.15843386938325563,0.1109585986214247,0.20414705284186788,184
pressure,63,0.13888701798394532,0.09415538220600826,0.18134358729998612,184
pressure,66,0.12107629102951213,0.07778832475314892,0.1625322450202348,184
pressure,69,0.10426929271623069,0.06303650310054551,0.14373622224720933,184
pressure,72,0.0885984893555545,0.05203489302055604,0.1271808470764778,184
rh950,3,0.9313726610700721,0.9207144063122354,0.946632252606409,184
rh950,6,0.8379548812074096,0.811976859830064,0.8727252625883465,184
rh950,9,0.7582480832988592,0.7100382466931336,0.8030368459842757,184
rh950,12,0.6904132487165386,0.6305911179448447,0.7414808410183459,184
rh950,15,0.6332402052255011,0.5662982540548732,0.6893992324630319,184
rh950,18,0.5851615373414479,0.518523117307808,0.6429786681506029,184
rh950,21,0.5496499151709429,0.480720818774858,0.6023619487525278,184
rh950,24,0.5109719387747497,0.44657718615415815,0.5601715145728039,184
rh950,27,0.4592136442310663,0.394519848458144,0.5124000094891834,184
rh950,30,0.4120976457012566,0.3415528160717577,0.46745345473378325,184
rh950,33,0.37044919350415084,0.30396283098102156,0.4238120784861313,184
rh950,36,0.33681169761569274,0.2715355994292952,0.3919754277171947,184
rh950,39,0.31172917551387325,0.25091620819788996,0.3662535802363094,184
rh950,42,0.28815412351853575,0.23053859856112907,0.3374860034876114,184
rh950,45,0.2711777079841702,0.21594667821082097,0.3153003861655887,184
rh950,48,0.2531346823497075,0.19818641602395873,0.2957291253983799,184
rh950,51,0.2304951767023633,0.17874921918465453,0.272006665982459,184
rh950,54,0.21438888703448958,0.1651055801954617,0.2504010730083298,184
rh950,57,0.1960388557925535,0.15362192526207955,0.23431349431967458,184
rh950,60,0.1852286159200962,0.14494378651894235,0.22178839557741523,184
rh950,63,0.1748531662894009,0.13526887008997726,0.21206460233960475,184
rh950,66,0.1670859846410187,0.1253285503716387,0.2025052006445768,184
rh950,69,0.15791696638495822,0.11799304461901029,0.19372669291068773,184
rh950,72,0.14838415335827354,0.11001340618912495,0.1842077305669612,184
wind_speed,3,0.8166150966856082,0.7855479665414342,0.842487673671297,184
wind_speed,6,0.6240311470621258,0.5494285223019308,0.6676505774346502,184
wind_speed,9,0.474315759453814,0.40063596584567557,0.5388310845546574,184
wind_speed,12,0.3724557952261681,0.30541240260674873,0.44664033883672294,184
wind_speed,15,0.3039843463889743,0.24012023738883664,0.3778234462243478,184
wind_speed,18,0.26469671415765506,0.20075550243833232,0.3340551338986104,184
wind_speed,21,0.23753711485343207,0.17309492760333717,0.30288846566311756,184
wind_speed,24,0.20483300737455012,0.14344709353323348,0.2719723457850602,184
wind_speed,27,0.1587588550747067,0.10113112735962625,0.2228831116482391,184
wind_speed,30,0.11954798100875276,0.06748663056161759,0.17964556419524466,184
wind_speed,33,0.10025909749782871,0.05223659648253211,0.14981131211897586,184
wind_speed,36,0.08519751649238282,0.04191262876150732,0.12668996197948168,184
wind_speed,39,0.07134717506523401,0.03287853963541179,0.10775689070914557,184
wind_speed,42,0.06129457797961999,0.026671235294023866,0.0886131859187616,184
wind_speed,45,0.0493967964731763,0.017998621760124234,0.07273594099463992,184
wind_speed,48,0.034161383625143135,0.011574543221339316,0.05508606139576161,184
wind_speed,51,0.018508988754164422,0.0010124030384660995,0.037383429053339357,184
wind_speed,54,0.009817320185822,-0.0048203336487522685,0.02467525765134335,184
wind_speed,57,0.0033074608829712126,-0.008486216843811015,0.019649951068352135,184
wind_speed,60,0.0001729873715301247,-0.013711384611906696,0.012443027321826467,184
wind_speed,63,-0.002508886332860974,-0.0171099087404986,0.010272636772335586,184
wind_speed,66,-0.005341412729899379,-0.01951521854139602,0.006479795213366773,184
wind_speed,69,-0.007557075752524503,-0.021931196178839478,0.003609378577680405,184
wind_speed,72,-0.012417506249818763,-0.025437938958529475,0.0038291490059208302,184
wind_u,3,0.8866445923807562,0.8480495565786699,0.9119075688989124,184
wind_u,6,0.7475927704659863,0.689768339748128,0.8017953706489346,184
wind_u,9,0.635895989635624,0.5646230362359269,0.6957162210374471,184
wind_u,12,0.5424015680233147,0.4643694475455646,0.6073481536313905,184
wind_u,15,0.464045913490478,0.3840135421625267,0.5229943937622284,184
wind_u,18,0.3980385601738361,0.3212335418646454,0.44964135031011987,184
wind_u,21,0.34231043918057813,0.27070838046069823,0.38625719578433626,184
wind_u,24,0.28796844408697564,0.2218546616016035,0.3295225474365326,184
