feature,year,lead_hour,distance_range_km,bearing_source_to_target,edges,median_partial_r
pressure,2015,6,100-800,N,2333,-0.18992680704838014
pressure,2015,6,100-800,NE,2012,-0.029014114190592563
pressure,2015,6,100-800,E,2278,0.29821703662220006
pressure,2015,6,100-800,SE,2186,0.3999338751155467
pressure,2015,6,100-800,S,2333,0.3435359053124421
pressure,2015,6,100-800,SW,2012,0.1473180803541344
pressure,2015,6,100-800,W,2278,-0.1394715707523918
pressure,2015,6,100-800,NW,2186,-0.22879868985328083
pressure,2016,6,100-800,N,2333,-0.3020837128331306
pressure,2016,6,100-800,NE,2012,-0.059708780989429236
pressure,2016,6,100-800,E,2278,0.36201700488501304
pressure,2016,6,100-800,SE,2186,0.5049062374989095
pressure,2016,6,100-800,S,2333,0.43823742013249256
pressure,2016,6,100-800,SW,2012,0.1768551739807246
pressure,2016,6,100-800,W,2278,-0.1975796792365515
pressure,2016,6,100-800,NW,2186,-0.342958422638128
pressure,2017,6,100-800,N,2333,-0.27174624080714394
pressure,2017,6,100-800,NE,2012,-0.032894842705550285
pressure,2017,6,100-800,E,2278,0.3611668063980818
pressure,2017,6,100-800,SE,2186,0.47156608726249244
pressure,2017,6,100-800,S,2333,0.3942389250545191
pressure,2017,6,100-800,SW,2012,0.1302565856488574
pressure,2017,6,100-800,W,2278,-0.2279817698772446
pressure,2017,6,100-800,NW,2186,-0.32980255229525846
pressure,2018,6,100-800,N,2333,-0.23587952647825852
pressure,2018,6,100-800,NE,2012,-0.03674769757537279
pressure,2018,6,100-800,E,2278,0.3343499396950316
pressure,2018,6,100-800,SE,2186,0.4369371574469183
pressure,2018,6,100-800,S,2333,0.385110690229647
pressure,2018,6,100-800,SW,2012,0.15282261491701774
pressure,2018,6,100-800,W,2278,-0.1870114595065187
pressure,2018,6,100-800,NW,2186,-0.26900803175709487
temperature,2015,6,100-800,N,2333,0.011721987566952459
temperature,2015,6,100-800,NE,2012,0.04240062394760846
temperature,2015,6,100-800,E,2278,0.12138552752307383
temperature,2015,6,100-800,SE,2186,0.16238667421024255
temperature,2015,6,100-800,S,2333,0.2019971385474658
temperature,2015,6,100-800,SW,2012,0.18427408729314276
temperature,2015,6,100-800,W,2278,0.10672377690552828
temperature,2015,6,100-800,NW,2186,0.035247701153318475
temperature,2016,6,100-800,N,2333,0.02850734592895736
temperature,2016,6,100-800,NE,2012,0.04858602066397679
temperature,2016,6,100-800,E,2278,0.13463885651171942
temperature,2016,6,100-800,SE,2186,0.17179371204636656
temperature,2016,6,100-800,S,2333,0.20394091945319653
temperature,2016,6,100-800,SW,2012,0.19253290228959707
temperature,2016,6,100-800,W,2278,0.1053073129183146
temperature,2016,6,100-800,NW,2186,0.056988260406547406
temperature,2017,6,100-800,N,2333,-0.008616955357592698
temperature,2017,6,100-800,NE,2012,0.021980049408880525
temperature,2017,6,100-800,E,2278,0.1054546912491017
