signal,mean_incremental_delta,std_incremental_delta,improving_seed_horizons,comparisons
wind_aligned_innovation,-0.11212189992268876,0.1251572570409046,19,21
wind_lagged_innovation_3h,-0.05335789635067891,0.05432252262155004,19,21
spatial_innovation,-0.04111067464681146,0.0528331241512986,17,21
neighbor_trend,-0.03816544097145987,0.03470113506363716,20,21
boundary_layer_height,-0.02555016108921592,0.01321745846604955,20,21
dewpoint_deficit,-0.02468694959368021,0.026802770959755255,18,21
regional_factor,-0.022362754458472817,0.038653070003500246,15,21
wind_lagged_innovation_6h,-0.018526031857445096,0.018012990017643577,19,21
ventilation,-0.015470550173804842,0.008587293710810387,21,21
dewpoint,-0.00487604595365979,0.011375209340877594,12,21
precipitation,-0.001067661103748138,0.005235234023529774,10,21
