horizon_hours,signal,mean_residual_correlation,std_residual_correlation
3,boundary_layer_height,-0.06788794761235134,0.0022366832543093723
3,dewpoint,-0.012335765288819868,0.010444311603440785
3,dewpoint_deficit,-0.028904819651847834,0.007024636160373553
3,neighbor_trend,0.17688500821524256,0.004356397437926636
3,precipitation,-0.03586660086696394,0.0033219217058215074
3,regional_factor,0.07443267410184186,0.02901390649098921
3,spatial_innovation,0.13211345745414063,0.025365590263703074
3,ventilation,-0.05278989949821591,0.0026990394305503383
3,wind_aligned_innovation,0.2035126757685853,0.022302493238716702
3,wind_lagged_innovation_3h,0.14478326162203145,0.01212461469795598
3,wind_lagged_innovation_6h,0.06849969915382147,0.006072873102522554
6,boundary_layer_height,-0.050224970869679635,0.009028490501828199
6,dewpoint,-0.0021605652624031337,0.02032108379998714
6,dewpoint_deficit,-0.03791992797779503,0.015584420410879249
6,neighbor_trend,0.1093307485957916,0.0033862861667735005
6,precipitation,-0.03763362825567677,0.0028372983202941573
6,regional_factor,0.09827440233643887,0.031821789998960355
6,spatial_innovation,0.1471520897263822,0.027066594489063758
6,ventilation,-0.04154571080489377,0.003433047168767941
6,wind_aligned_innovation,0.2172911624855023,0.024960196978469754
6,wind_lagged_innovation_3h,0.130672125456746,0.01584019403698758
6,wind_lagged_innovation_6h,0.06608710924467787,0.012075170252530376
12,boundary_layer_height,-0.05755348176923677,0.005875256644138673
12,dewpoint,-0.004602522773449633,0.028946993179179956
12,dewpoint_deficit,-0.050765319711223666,0.024162954548215064
12,neighbor_trend,0.0974579920118589,0.005562127812207637
12,precipitation,-0.0389761829777028,0.004963281915712967
12,regional_factor,0.07997477200186383,0.02642993224140151
12,spatial_innovation,0.10234203299640583,0.021420724434318278
12,ventilation,-0.04281129307261953,0.001266618229953573
12,wind_aligned_innovation,0.15617770103562956,0.019806046283073232
12,wind_lagged_innovation_3h,0.09193987512047959,0.012933102712813204
12,wind_lagged_innovation_6h,0.046076783002339305,0.010632563194709649
24,boundary_layer_height,-0.054106343639547194,0.005387781140160296
24,dewpoint,0.0008771339241094994,0.024540886634877152
24,dewpoint_deficit,-0.05647843328062383,0.016183303432497603
24,neighbor_trend,0.0779842041080225,0.00492607540308674
24,precipitation,-0.036137242899364964,0.007642589823985573
24,regional_factor,0.0359549252659972,0.025844281422591552
24,spatial_innovation,0.03459716188169593,0.02067174079053517
24,ventilation,-0.03718906560969793,0.009910287562237372
24,wind_aligned_innovation,0.06067249926259586,0.019573747872943265
24,wind_lagged_innovation_3h,0.0351874836077631,0.01228812458258492
24,wind_lagged_innovation_6h,0.02360062270434493,0.008983116446891128
36,boundary_layer_height,-0.06518382451633616,0.0017187724036469112
36,dewpoint,0.008656659264285466,0.032544140998341006
36,dewpoint_deficit,-0.07239785758293336,0.020358304443288566
36,neighbor_trend,0.04033764869386967,0.004422527606915426
36,precipitation,-0.0312078795353606,0.007946577983774575
36,regional_factor,0.03727514358931983,0.023406179024084265
36,spatial_innovation,0.033546277969439334,0.019706138307788525
36,ventilation,-0.042855766923435006,0.004826392319910554
36,wind_aligned_innovation,0.04211468368350999,0.017659122822275806
36,wind_lagged_innovation_3h,0.02753578099670673,0.01041466336889937
36,wind_lagged_innovation_6h,0.013873117577780134,0.007513564998753533
48,boundary_layer_height,-0.06580304231019411,0.0025833270736929145
48,dewpoint,0.022106932891683,0.03171981650767682
48,dewpoint_deficit,-0.0789866512415275,0.02089429400942155
48,neighbor_trend,0.030895827630779065,0.003941927459264326
48,precipitation,-0.027174931822832232,0.007909633269351141
48,regional_factor,0.019221471757205535,0.02319660964667204
48,spatial_innovation,0.012675192647898398,0.019747435139618196
48,ventilation,-0.0390303736345814,0.006751893222409089
48,wind_aligned_innovation,0.013527496040703434,0.017361849006543226
48,wind_lagged_innovation_3h,0.006893912868177101,0.011539071671031478
48,wind_lagged_innovation_6h,0.0069429179696453664,0.009215347684907971
72,boundary_layer_height,-0.06343571412137043,0.0063320841956172914
72,dewpoint,0.024770858128523768,0.029667202770820775
72,dewpoint_deficit,-0.0771739599689128,0.01753087775963556
72,neighbor_trend,0.018723326838484933,0.004674573545861361
72,precipitation,-0.030198253803887364,0.008135251914730909
72,regional_factor,0.0169519236526284,0.03143918523568032
72,spatial_innovation,0.010726731326116568,0.026782877797927037
72,ventilation,-0.03271488607076747,0.010943518393545609
72,wind_aligned_innovation,0.011185275369802067,0.023497631923744267
72,wind_lagged_innovation_3h,0.007204510787315099,0.015409855225296074
72,wind_lagged_innovation_6h,0.0066323045076239,0.011234616359422833
