horizon_hours,points,mae,event_phase
3,478459,8.436092376708984,normal
3,11335,39.86964797973633,onset
3,27828,23.643789291381836,continuation
3,11378,33.90134811401367,decay
6,473324,10.987137794494629,normal
6,16470,49.8333740234375,onset
6,22630,32.699790954589844,continuation
6,16576,37.015159606933594,decay
12,469171,12.891313552856445,normal
12,20623,56.44530487060547,onset
12,18389,42.2203483581543,continuation
12,20817,35.038787841796875,decay
24,465585,14.048194885253906,normal
24,24209,63.18642807006836,onset
24,14679,51.495452880859375,continuation
24,24527,31.76603126525879,decay
36,461810,15.27911376953125,normal
36,27984,68.47260284423828,onset
36,10716,56.11252975463867,continuation
36,28490,29.29540252685547,decay
48,461070,15.382000923156738,normal
48,28724,70.24349975585938,onset
48,9980,57.93762969970703,continuation
48,29226,28.333959579467773,decay
72,459571,15.940132141113281,normal
72,30223,74.81986999511719,onset
72,8663,56.19430160522461,continuation
72,30543,28.48215675354004,decay
