horizon_hours,pm_bin,points,mae
3,"[0,35)",231513,6.7133588790893555
3,"[35,75)",200398,9.689336776733398
3,"[75,115)",61588,15.499160766601562
3,"[115,150)",18732,22.49122428894043
3,"[150,250)",13805,32.65790557861328
3,"[250,inf)",2704,74.28309631347656
6,"[0,35)",231527,9.3868408203125
6,"[35,75)",200429,12.108304977416992
6,"[75,115)",61606,20.344636917114258
6,"[115,150)",18725,30.92966651916504
6,"[150,250)",13771,46.38765335083008
6,"[250,inf)",2682,108.85033416748047
12,"[0,35)",231556,11.561990737915039
12,"[35,75)",200468,13.518693923950195
12,"[75,115)",61611,23.395851135253906
12,"[115,150)",18731,37.18378448486328
12,"[150,250)",13723,58.688751220703125
12,"[250,inf)",2650,141.0040283203125
24,"[0,35)",231612,12.966608047485352
24,"[35,75)",200540,14.006260871887207
24,"[75,115)",61629,25.255613327026367
24,"[115,150)",18685,43.29793930053711
24,"[150,250)",13621,71.21784973144531
24,"[250,inf)",2652,167.77481079101562
36,"[0,35)",231689,14.119155883789062
36,"[35,75)",200676,15.0036039352417
36,"[75,115)",61616,27.16245460510254
36,"[115,150)",18599,47.598838806152344
36,"[150,250)",13530,79.25587463378906
36,"[250,inf)",2630,182.50733947753906
48,"[0,35)",231700,13.944573402404785
48,"[35,75)",200671,15.1365385055542
48,"[75,115)",61645,27.679914474487305
48,"[115,150)",18562,49.04697036743164
48,"[150,250)",13489,82.70877838134766
48,"[250,inf)",2675,187.29022216796875
72,"[0,35)",231317,14.270936965942383
72,"[35,75)",200750,15.79712963104248
72,"[75,115)",61832,28.84429931640625
72,"[115,150)",18585,51.101959228515625
72,"[150,250)",13531,87.78425598144531
72,"[250,inf)",2727,196.2952117919922
