horizon_hours,signal,residual_correlation
3,spatial_innovation,0.16020138514988383
3,neighbor_trend,0.17981665435613714
3,regional_factor,0.10589006619706935
3,wind_aligned_innovation,0.22817857025242863
3,wind_lagged_innovation_3h,0.15847280854059353
3,wind_lagged_innovation_6h,0.07512845561651021
3,dewpoint,-0.015072237199937182
3,precipitation,-0.03327049777111306
3,boundary_layer_height,-0.06530611216264524
3,ventilation,-0.05589862419700052
3,dewpoint_deficit,-0.02184222912402139
6,spatial_innovation,0.17499466585812679
6,neighbor_trend,0.1100644787322069
6,regional_factor,0.12939462789627657
6,wind_aligned_innovation,0.24256961167691535
6,wind_lagged_innovation_3h,0.14499218655929905
6,wind_lagged_innovation_6h,0.07446191621935902
6,dewpoint,-0.01897473933671156
6,precipitation,-0.038956163563486954
6,boundary_layer_height,-0.039935589986561826
6,ventilation,-0.03793984655176511
6,dewpoint_deficit,-0.022231678218799282
12,spatial_innovation,0.12623375445278184
12,neighbor_trend,0.10153347772505034
12,regional_factor,0.10859086790923742
12,wind_aligned_innovation,0.17791988627938332
12,wind_lagged_innovation_3h,0.10518145508325961
12,wind_lagged_innovation_6h,0.05516353854846095
12,dewpoint,-0.02887635832043486
12,precipitation,-0.04375553897194958
12,boundary_layer_height,-0.05098503412461107
12,ventilation,-0.04351456782917004
12,dewpoint_deficit,-0.027622743949295696
24,spatial_innovation,0.05523082781917246
24,neighbor_trend,0.07974854468142936
24,regional_factor,0.06028948024475866
24,wind_aligned_innovation,0.07913355173016631
24,wind_lagged_innovation_3h,0.04516771071955657
24,wind_lagged_innovation_6h,0.02898203753358546
24,dewpoint,-0.023948450922080318
24,precipitation,-0.044493478296776814
24,boundary_layer_height,-0.05890879229415417
24,ventilation,-0.04840125276436611
24,dewpoint_deficit,-0.04026111739856915
36,spatial_innovation,0.05630072687863463
36,neighbor_trend,0.04531118272697368
36,regional_factor,0.06409052859480788
36,wind_aligned_innovation,0.06235332195257545
36,wind_lagged_innovation_3h,0.038785530322198995
36,wind_lagged_innovation_6h,0.020615387662817335
36,dewpoint,-0.023062991991049504
36,precipitation,-0.0400990458675316
36,boundary_layer_height,-0.0641394363519136
36,ventilation,-0.047722331915714865
36,dewpoint_deficit,-0.052146441296814415
48,spatial_innovation,0.0344410776158373
48,neighbor_trend,0.026359919620454714
48,regional_factor,0.04386702278844804
48,wind_aligned_innovation,0.031800596123252554
48,wind_lagged_innovation_3h,0.016042326425847454
48,wind_lagged_innovation_6h,0.011529669301475235
48,dewpoint,-0.01036503731512492
48,precipitation,-0.035458214306694255
48,boundary_layer_height,-0.0684406827386743
48,ventilation,-0.0468254111883691
48,dewpoint_deficit,-0.06162542822304973
72,spatial_innovation,0.03953292387462048
72,neighbor_trend,0.014871620582098935
72,regional_factor,0.05012623533803035
72,wind_aligned_innovation,0.035368187052921655
72,wind_lagged_innovation_3h,0.020207291587377996
72,wind_lagged_innovation_6h,0.013587821141067312
72,dewpoint,-0.005165665157302389
72,precipitation,-0.038494571312853325
72,boundary_layer_height,-0.0700235206433714
72,ventilation,-0.04500153359352266
72,dewpoint_deficit,-0.06430867653044856
