horizon_hours,points,mae,season
3,124200,15.564408302307129,DJF
3,135424,10.239594459533691,MAM
3,135424,6.900697231292725,JJA
3,133952,9.140201568603516,SON
6,124200,21.276758193969727,DJF
6,135424,13.557269096374512,MAM
6,135424,8.989656448364258,JJA
6,133952,12.35871696472168,SON
12,124200,25.640148162841797,DJF
12,135424,15.827240943908691,MAM
12,135424,10.391499519348145,JJA
12,133952,14.677644729614258,SON
24,124200,28.80433464050293,DJF
24,135424,17.39203453063965,MAM
24,135424,11.145718574523926,JJA
24,133952,16.333894729614258,SON
36,124200,31.14461326599121,DJF
36,135424,18.767303466796875,MAM
36,135424,11.968689918518066,JJA
36,133952,17.70862579345703,SON
48,124200,31.978885650634766,DJF
48,135424,18.729482650756836,MAM
48,135424,11.954960823059082,JJA
48,133952,18.0804443359375,SON
72,124200,34.002845764160156,DJF
72,135424,18.969263076782227,MAM
72,135424,12.381007194519043,JJA
72,133952,18.69213104248047,SON
