horizon_hours,signal,alpha,base_mae,corrected_mae,delta_mae,baseline_probe_mae,incremental_delta_vs_baseline_probe
3,baseline_current_pm+prediction,100.0,9.578635215759277,9.61549186706543,0.036856651306152344,,
3,spatial_innovation,100.0,9.578635215759277,9.634801255880776,0.056166040121498284,9.61549186706543,0.01930938881534594
3,neighbor_trend,100.0,9.578635215759277,9.56626476556956,-0.012370450189717275,9.61549186706543,-0.04922710149586962
3,regional_factor,100.0,9.578635215759277,9.625503540039062,0.046868324279785156,9.61549186706543,0.010011672973632812
3,wind_aligned_innovation,0.01,9.578635215759277,9.642699241638184,0.06406402587890625,9.61549186706543,0.027207374572753906
3,wind_lagged_innovation_3h,100.0,9.578635215759277,9.586594581604004,0.007959365844726562,9.61549186706543,-0.02889728546142578
3,wind_lagged_innovation_6h,100.0,9.578635215759277,9.612913131713867,0.034277915954589844,9.61549186706543,-0.0025787353515625
3,dewpoint,100.0,9.578635215759277,9.611927032470703,0.03329181671142578,9.61549186706543,-0.0035648345947265625
3,precipitation,100.0,9.578635215759277,9.612512588500977,0.03387737274169922,9.61549186706543,-0.002979278564453125
3,boundary_layer_height,100.0,9.578635215759277,9.58509349822998,0.006458282470703125,9.61549186706543,-0.03039836883544922
3,ventilation,100.0,9.578635215759277,9.59721565246582,0.01858043670654297,9.61549186706543,-0.018276214599609375
3,dewpoint_deficit,0.01,9.578635215759277,9.641207695007324,0.06257247924804688,9.61549186706543,0.02571582794189453
6,baseline_current_pm+prediction,100.0,12.632706642150879,12.679665565490723,0.04695892333984375,,
6,spatial_innovation,100.0,12.632706642150879,12.689066458565774,0.05635981641489529,12.679665565490723,0.009400893075051542
6,neighbor_trend,100.0,12.632706642150879,12.696666751622878,0.06396010947199926,12.679665565490723,0.01700118613215551
6,regional_factor,100.0,12.632706642150879,12.679852485656738,0.047145843505859375,12.679665565490723,0.000186920166015625
6,wind_aligned_innovation,100.0,12.632706642150879,12.690857887268066,0.0581512451171875,12.679665565490723,0.01119232177734375
6,wind_lagged_innovation_3h,100.0,12.632706642150879,12.660429954528809,0.027723312377929688,12.679665565490723,-0.019235610961914062
6,wind_lagged_innovation_6h,100.0,12.632706642150879,12.68055248260498,0.04784584045410156,12.679665565490723,0.0008869171142578125
6,dewpoint,100.0,12.632706642150879,12.667318344116211,0.03461170196533203,12.679665565490723,-0.012347221374511719
6,precipitation,100.0,12.632706642150879,12.670488357543945,0.037781715393066406,12.679665565490723,-0.009177207946777344
6,boundary_layer_height,100.0,12.632706642150879,12.679278373718262,0.04657173156738281,12.679665565490723,-0.0003871917724609375
6,ventilation,0.01,12.632706642150879,12.670539855957031,0.037833213806152344,12.679665565490723,-0.009125709533691406
6,dewpoint_deficit,0.01,12.632706642150879,12.706852912902832,0.07414627075195312,12.679665565490723,0.027187347412109375
12,baseline_current_pm+prediction,100.0,14.398489952087402,14.466575622558594,0.0680856704711914,,
12,spatial_innovation,100.0,14.398489952087402,14.452821501190598,0.05433154910319615,14.466575622558594,-0.013754121367995253
12,neighbor_trend,100.0,14.398489952087402,14.456525995222679,0.058036043135276216,14.466575622558594,-0.01004962733591519
12,regional_factor,0.01,14.398489952087402,14.427597999572754,0.029108047485351562,14.466575622558594,-0.038977622985839844
12,wind_aligned_innovation,0.01,14.398489952087402,14.432884216308594,0.034394264221191406,14.466575622558594,-0.03369140625
12,wind_lagged_innovation_3h,100.0,14.398489952087402,14.45001220703125,0.051522254943847656,14.466575622558594,-0.01656341552734375
12,wind_lagged_innovation_6h,100.0,14.398489952087402,14.472535133361816,0.07404518127441406,14.466575622558594,0.005959510803222656
12,dewpoint,0.01,14.398489952087402,14.449870109558105,0.051380157470703125,14.466575622558594,-0.01670551300048828
12,precipitation,100.0,14.398489952087402,14.456981658935547,0.05849170684814453,14.466575622558594,-0.009593963623046875
12,boundary_layer_height,100.0,14.398489952087402,14.457704544067383,0.05921459197998047,14.466575622558594,-0.008871078491210938
12,ventilation,100.0,14.398489952087402,14.463017463684082,0.06452751159667969,14.466575622558594,-0.0035581588745117188
12,dewpoint_deficit,100.0,14.398489952087402,14.469121932983398,0.0706319808959961,14.466575622558594,0.0025463104248046875
24,baseline_current_pm+prediction,0.01,15.568011283874512,15.618494987487793,0.05048370361328125,,
24,spatial_innovation,0.01,15.568011283874512,15.618780533850984,0.05076924997647225,15.618494987487793,0.0002855463631910027
24,neighbor_trend,100.0,15.568011283874512,15.55112628917277,-0.01688499470174243,15.618494987487793,-0.06736869831502368
24,regional_factor,0.01,15.568011283874512,15.611406326293945,0.043395042419433594,15.618494987487793,-0.007088661193847656
24,wind_aligned_innovation,0.01,15.568011283874512,15.61582088470459,0.047809600830078125,15.618494987487793,-0.002674102783203125
24,wind_lagged_innovation_3h,0.01,15.568011283874512,15.616740226745605,0.04872894287109375,15.618494987487793,-0.0017547607421875
24,wind_lagged_innovation_6h,0.01,15.568011283874512,15.620722770690918,0.05271148681640625,15.618494987487793,0.002227783203125
24,dewpoint,0.01,15.568011283874512,15.62320613861084,0.055194854736328125,15.618494987487793,0.004711151123046875
24,precipitation,100.0,15.568011283874512,15.605996131896973,0.03798484802246094,15.618494987487793,-0.012498855590820312
24,boundary_layer_height,100.0,15.568011283874512,15.629220008850098,0.06120872497558594,15.618494987487793,0.010725021362304688
24,ventilation,100.0,15.568011283874512,15.621384620666504,0.05337333679199219,15.618494987487793,0.0028896331787109375
24,dewpoint_deficit,100.0,15.568011283874512,15.616840362548828,0.048829078674316406,15.618494987487793,-0.0016546249389648438
36,baseline_current_pm+prediction,100.0,16.439189910888672,16.53655433654785,0.09736442565917969,,
36,spatial_innovation,100.0,16.439189910888672,16.537439370774948,0.09824945988627576,16.53655433654785,0.0008850342270960709
36,neighbor_trend,100.0,16.439189910888672,16.5200230914788,0.08083318059012967,16.53655433654785,-0.016531245069050016
36,regional_factor,100.0,16.439189910888672,16.530567169189453,0.09137725830078125,16.53655433654785,-0.0059871673583984375
36,wind_aligned_innovation,100.0,16.439189910888672,16.533605575561523,0.09441566467285156,16.53655433654785,-0.002948760986328125
36,wind_lagged_innovation_3h,100.0,16.439189910888672,16.53714370727539,0.09795379638671875,16.53655433654785,0.0005893707275390625
36,wind_lagged_innovation_6h,100.0,16.439189910888672,16.542139053344727,0.10294914245605469,16.53655433654785,0.005584716796875
36,dewpoint,0.1,16.439189910888672,16.551815032958984,0.1126251220703125,16.53655433654785,0.015260696411132812
36,precipitation,100.0,16.439189910888672,16.523242950439453,0.08405303955078125,16.53655433654785,-0.013311386108398438
36,boundary_layer_height,100.0,16.439189910888672,16.541994094848633,0.10280418395996094,16.53655433654785,0.00543975830078125
36,ventilation,100.0,16.439189910888672,16.535430908203125,0.09624099731445312,16.53655433654785,-0.0011234283447265625
36,dewpoint_deficit,100.0,16.439189910888672,16.53484535217285,0.09565544128417969,16.53655433654785,-0.001708984375
48,baseline_current_pm+prediction,100.0,16.781944274902344,16.83626365661621,0.05431938171386719,,
48,spatial_innovation,100.0,16.781944274902344,16.83153608518048,0.049591810278137416,16.83626365661621,-0.0047275714357297716
48,neighbor_trend,100.0,16.781944274902344,16.794750418599993,0.012806143697648764,16.83626365661621,-0.04151323801621842
48,regional_factor,0.01,16.781944274902344,16.836288452148438,0.05434417724609375,16.83626365661621,2.47955322265625e-05
48,wind_aligned_innovation,100.0,16.781944274902344,16.837331771850586,0.05538749694824219,16.83626365661621,0.001068115234375
48,wind_lagged_innovation_3h,100.0,16.781944274902344,16.838197708129883,0.05625343322753906,16.83626365661621,0.001934051513671875
48,wind_lagged_innovation_6h,100.0,16.781944274902344,16.83782958984375,0.05588531494140625,16.83626365661621,0.0015659332275390625
48,dewpoint,0.01,16.781944274902344,16.864980697631836,0.08303642272949219,16.83626365661621,0.028717041015625
48,precipitation,100.0,16.781944274902344,16.82550621032715,0.04356193542480469,16.83626365661621,-0.0107574462890625
48,boundary_layer_height,100.0,16.781944274902344,16.829097747802734,0.047153472900390625,16.83626365661621,-0.0071659088134765625
48,ventilation,100.0,16.781944274902344,16.82723617553711,0.045291900634765625,16.83626365661621,-0.009027481079101562
48,dewpoint_deficit,100.0,16.781944274902344,16.821653366088867,0.03970909118652344,16.83626365661621,-0.01461029052734375
72,baseline_current_pm+prediction,0.01,17.17908477783203,17.143802642822266,-0.035282135009765625,,
72,spatial_innovation,100.0,17.17908477783203,17.13614325735194,-0.04294152048009181,17.143802642822266,-0.0076593854703261854
72,neighbor_trend,100.0,17.17908477783203,17.114905893356557,-0.06417888447547426,17.143802642822266,-0.028896749465708638
72,regional_factor,0.01,17.17908477783203,17.143085479736328,-0.035999298095703125,17.143802642822266,-0.0007171630859375
72,wind_aligned_innovation,0.01,17.17908477783203,17.141246795654297,-0.037837982177734375,17.143802642822266,-0.00255584716796875
72,wind_lagged_innovation_3h,1.0,17.17908477783203,17.14260482788086,-0.036479949951171875,17.143802642822266,-0.00119781494140625
72,wind_lagged_innovation_6h,1.0,17.17908477783203,17.142942428588867,-0.03614234924316406,17.143802642822266,-0.0008602142333984375
72,dewpoint,0.01,17.17908477783203,17.189802169799805,0.010717391967773438,17.143802642822266,0.04599952697753906
72,precipitation,100.0,17.17908477783203,17.132522583007812,-0.04656219482421875,17.143802642822266,-0.011280059814453125
72,boundary_layer_height,100.0,17.17908477783203,17.13064193725586,-0.048442840576171875,17.143802642822266,-0.01316070556640625
72,ventilation,100.0,17.17908477783203,17.13401985168457,-0.04506492614746094,17.143802642822266,-0.009782791137695312
