horizon_hours,signal,residual_correlation
3,spatial_innovation,0.038891515218875766
3,neighbor_trend,0.12475923056085184
3,regional_factor,0.033077337843025675
3,wind_aligned_innovation,0.06903903482649144
3,wind_lagged_innovation_3h,0.08853648975554239
3,wind_lagged_innovation_6h,0.02095474724570211
3,dewpoint,-0.01489272774543947
3,precipitation,-0.032644488779177465
3,boundary_layer_height,-0.12387768270321997
3,ventilation,-0.09327932022522796
3,dewpoint_deficit,-0.08025455527419535
6,spatial_innovation,0.04919857553478787
6,neighbor_trend,0.014330268784236004
6,regional_factor,0.05528923549242036
6,wind_aligned_innovation,0.07292154602926436
6,wind_lagged_innovation_3h,0.06612732818782577
6,wind_lagged_innovation_6h,0.006434866996673602
6,dewpoint,-0.019769234163964346
6,precipitation,-0.0417900956932812
6,boundary_layer_height,-0.07612118054411779
6,ventilation,-0.0657048542080577
6,dewpoint_deficit,-0.05337153363072745
12,spatial_innovation,0.02627173601555358
12,neighbor_trend,0.048098707754130866
12,regional_factor,0.03833102093673288
12,wind_aligned_innovation,0.04802011025737852
12,wind_lagged_innovation_3h,0.03270553637108557
12,wind_lagged_innovation_6h,-0.013160709505395031
12,dewpoint,-0.028654026176135952
12,precipitation,-0.04882491878416276
12,boundary_layer_height,-0.0522790827099958
12,ventilation,-0.034840343929067666
12,dewpoint_deficit,-0.031193958549551568
24,spatial_innovation,-0.050698601618570746
24,neighbor_trend,0.08103113869977555
24,regional_factor,-0.03652238734573089
24,wind_aligned_innovation,-0.0294052131489882
24,wind_lagged_innovation_3h,-0.012929549948238184
24,wind_lagged_innovation_6h,-0.012655648178723408
24,dewpoint,-0.03188401020324971
24,precipitation,-0.04873629613304057
24,boundary_layer_height,-0.04755769233265585
24,ventilation,-0.02596816978045754
24,dewpoint_deficit,-0.029711326334315575
36,spatial_innovation,-0.0038749234357481907
36,neighbor_trend,0.04346918707466495
36,regional_factor,0.006247236922606704
36,wind_aligned_innovation,0.005094579380177185
36,wind_lagged_innovation_3h,0.00329520542615809
36,wind_lagged_innovation_6h,-0.013274584897896832
36,dewpoint,-0.02337337832082473
36,precipitation,-0.04204358193898162
36,boundary_layer_height,-0.040842710742774326
36,ventilation,-0.02038598966415003
36,dewpoint_deficit,-0.029027418405667835
48,spatial_innovation,-0.04247344148935955
48,neighbor_trend,0.06033177131679482
48,regional_factor,-0.031392420528586505
48,wind_aligned_innovation,-0.032151564205435516
48,wind_lagged_innovation_3h,-0.019193986375819802
48,wind_lagged_innovation_6h,-0.012498693102620704
48,dewpoint,-0.022957756130448197
48,precipitation,-0.03837737882291474
48,boundary_layer_height,-0.053652646011596555
48,ventilation,-0.02801533350695023
48,dewpoint_deficit,-0.04237932190595376
72,spatial_innovation,-0.045721346068816275
72,neighbor_trend,0.05074547609905603
72,regional_factor,-0.03558520863173533
72,wind_aligned_innovation,-0.03539229060806191
72,wind_lagged_innovation_3h,-0.023250816582300483
72,wind_lagged_innovation_6h,-0.017018727820936302
72,dewpoint,-0.030867895218609553
72,precipitation,-0.03935836932249652
72,boundary_layer_height,-0.05379710318009172
72,ventilation,-0.02588400479172203
72,dewpoint_deficit,-0.04096138800964503
