horizon_hours,points,mae,season
3,124200,15.702559471130371,DJF
3,135424,10.165477752685547,MAM
3,135424,6.713712215423584,JJA
3,133952,9.103689193725586,SON
6,124200,20.704891204833984,DJF
6,135424,13.265190124511719,MAM
6,135424,8.738171577453613,JJA
6,133952,12.0374755859375,SON
12,124200,23.316450119018555,DJF
12,135424,15.175930976867676,MAM
12,135424,10.113266944885254,JJA
12,133952,13.777865409851074,SON
24,124200,24.938289642333984,DJF
24,135424,16.53592300415039,MAM
24,135424,10.805967330932617,JJA
24,133952,14.776622772216797,SON
36,124200,26.171756744384766,DJF
36,135424,17.455453872680664,MAM
36,135424,11.360147476196289,JJA
36,133952,15.566145896911621,SON
48,124200,26.36132049560547,DJF
48,135424,17.76757049560547,MAM
48,135424,11.497965812683105,JJA
48,133952,15.720620155334473,SON
72,124200,26.83235740661621,DJF
72,135424,18.199949264526367,MAM
72,135424,11.951685905456543,JJA
72,133952,15.916783332824707,SON
