horizon_hours,points,mae,event_phase
3,478459,8.335023880004883,normal
3,11335,39.70295715332031,onset
3,27828,24.418392181396484,continuation
3,11378,30.677230834960938,decay
6,473324,10.728887557983398,normal
6,16470,47.913185119628906,onset
6,22630,32.77421951293945,continuation
6,16576,33.23025131225586,decay
12,469171,12.31697940826416,normal
12,20623,51.60715103149414,onset
12,18389,39.59973907470703,continuation
12,20817,29.511903762817383,decay
24,465585,13.46904468536377,normal
24,24209,52.79254150390625,onset
24,14679,45.39606857299805,continuation
24,24527,24.884265899658203,decay
36,461810,14.19180965423584,normal
36,27984,54.3831787109375,onset
36,10716,47.82059860229492,continuation
36,28490,23.63507843017578,decay
48,461070,14.491537094116211,normal
48,28724,54.21009826660156,onset
48,9980,50.124568939208984,continuation
48,29226,22.003814697265625,decay
72,459571,14.867536544799805,normal
72,30223,54.44330596923828,onset
72,8663,49.883052825927734,continuation
72,30543,21.60639190673828,decay
