horizon_hours,pm_bin,points,mae
3,"[0,35)",231513,6.450672626495361
3,"[35,75)",200398,9.466802597045898
3,"[75,115)",61588,15.809242248535156
3,"[115,150)",18732,23.29253578186035
3,"[150,250)",13805,33.314334869384766
3,"[250,inf)",2704,73.20059967041016
6,"[0,35)",231527,8.852677345275879
6,"[35,75)",200429,11.780879974365234
6,"[75,115)",61606,20.365942001342773
6,"[115,150)",18725,30.930980682373047
6,"[150,250)",13771,45.32670974731445
6,"[250,inf)",2682,104.46172332763672
12,"[0,35)",231556,10.390603065490723
12,"[35,75)",200468,13.063117027282715
12,"[75,115)",61611,22.938940048217773
12,"[115,150)",18731,35.44773483276367
12,"[150,250)",13723,53.185386657714844
12,"[250,inf)",2650,128.6888427734375
24,"[0,35)",231612,11.440703392028809
24,"[35,75)",200540,13.9550199508667
24,"[75,115)",61629,24.042585372924805
24,"[115,150)",18685,37.93717956542969
24,"[150,250)",13621,58.608314514160156
24,"[250,inf)",2652,141.61207580566406
36,"[0,35)",231689,12.01697063446045
36,"[35,75)",200676,14.739197731018066
36,"[75,115)",61616,25.084150314331055
36,"[115,150)",18599,39.467247009277344
36,"[150,250)",13530,61.614933013916016
36,"[250,inf)",2630,149.334716796875
48,"[0,35)",231700,12.246098518371582
48,"[35,75)",200671,14.909748077392578
48,"[75,115)",61645,25.24092674255371
48,"[115,150)",18562,39.651100158691406
48,"[150,250)",13489,62.39950942993164
48,"[250,inf)",2675,151.63955688476562
72,"[0,35)",231317,12.59504508972168
72,"[35,75)",200750,15.216266632080078
72,"[75,115)",61832,25.627304077148438
72,"[115,150)",18585,39.79219436645508
72,"[150,250)",13531,62.48490905761719
72,"[250,inf)",2727,153.34841918945312
