horizon_hours,signal,residual_correlation
3,spatial_innovation,0.04666107792718972
3,neighbor_trend,0.12432473902665818
3,regional_factor,0.03674013022966289
3,wind_aligned_innovation,0.07891878975584771
3,wind_lagged_innovation_3h,0.10036803650564599
3,wind_lagged_innovation_6h,0.030516272124745326
3,dewpoint,-0.012289956007557327
3,precipitation,-0.03245884951682351
3,boundary_layer_height,-0.10053548864976238
3,ventilation,-0.07408982831228018
3,dewpoint_deficit,-0.06368068785856715
6,spatial_innovation,0.05734892970210464
6,neighbor_trend,0.010250466314988193
6,regional_factor,0.05994518444114352
6,wind_aligned_innovation,0.08278888320678257
6,wind_lagged_innovation_3h,0.08182643790702923
6,wind_lagged_innovation_6h,0.019133920441984233
6,dewpoint,-0.02059014755317715
6,precipitation,-0.03940201452321553
6,boundary_layer_height,-0.05912597728135645
6,ventilation,-0.047190303057045344
6,dewpoint_deficit,-0.039887034749927774
12,spatial_innovation,0.03610794112385609
12,neighbor_trend,0.04228887730278734
12,regional_factor,0.04603433035977572
12,wind_aligned_innovation,0.05870938166484203
12,wind_lagged_innovation_3h,0.04962131461920053
12,wind_lagged_innovation_6h,-0.0003963407326520427
12,dewpoint,-0.0270264298630891
12,precipitation,-0.044618893078439914
12,boundary_layer_height,-0.04979515400603212
12,ventilation,-0.030660403809077166
12,dewpoint_deficit,-0.029852615479759145
24,spatial_innovation,-0.03883539321546886
24,neighbor_trend,0.07357332106437205
24,regional_factor,-0.025964874275140548
24,wind_aligned_innovation,-0.017237107963059044
24,wind_lagged_innovation_3h,-0.0006830376204655028
24,wind_lagged_innovation_6h,-0.003800808930720214
24,dewpoint,-0.023588275025650387
24,precipitation,-0.04088486472730607
24,boundary_layer_height,-0.038268833314832655
24,ventilation,-0.018068829336395212
24,dewpoint_deficit,-0.027981943409284952
36,spatial_innovation,0.005150188757952007
36,neighbor_trend,0.03303950025450288
36,regional_factor,0.012455630229391163
36,wind_aligned_innovation,0.013826915460326458
36,wind_lagged_innovation_3h,0.012041179261169061
36,wind_lagged_innovation_6h,-0.006219227842639513
36,dewpoint,-0.023218839365123915
36,precipitation,-0.03565649051456442
36,boundary_layer_height,-0.027370341022091113
36,ventilation,-0.009791524914160372
36,dewpoint_deficit,-0.017146889065454307
48,spatial_innovation,-0.035711746876750335
48,neighbor_trend,0.048340453257074055
48,regional_factor,-0.02796156704410066
48,wind_aligned_innovation,-0.02567925836029191
48,wind_lagged_innovation_3h,-0.012555116321323716
48,wind_lagged_innovation_6h,-0.006550076090925347
48,dewpoint,-0.023926765293517362
48,precipitation,-0.033768142880364255
48,boundary_layer_height,-0.033413240014797674
48,ventilation,-0.011202579897461633
48,dewpoint_deficit,-0.02204753689638324
72,spatial_innovation,-0.039360854939356295
72,neighbor_trend,0.04102315279843274
72,regional_factor,-0.031334197175664436
72,wind_aligned_innovation,-0.029101586394461722
72,wind_lagged_innovation_3h,-0.016465798852854183
72,wind_lagged_innovation_6h,-0.010040498578567146
72,dewpoint,-0.028893491143210468
72,precipitation,-0.03510602988247422
72,boundary_layer_height,-0.034305889385077226
72,ventilation,-0.0097444107761747
72,dewpoint_deficit,-0.018636157722187945
